"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","gene_symbol","rank"
"534198",0.0286874275809065,0.0286874275809065,36.6649574433797,10,"-",1
"433098",-0.0272925849074974,0.0272925849074974,388.18937116825,4.15572786361572,"Cap1",2
"18321",-0.0261582351183524,0.0261582351183524,39.4780417126537,5.21292681825734,"Thrsp",3
"457865",0.0249958682607604,0.0249958682607604,21.7769871314574,10,"-",4
"35860",-0.0248815302805118,0.0248815302805118,26.5356591088489,5.00736107892421,"-",5
"146021",-0.0243905702218851,0.0243905702218851,26.6762026187644,5.04974982908656,"LOC108352533",6
"354681",-0.0243297861449733,0.0243297861449733,23.6142005522539,4.6260317242761,"Macrod2",7
"208999",-0.0241710224438342,0.0241710224438342,24.7212060010181,4.94516368585046,"-",8
"270602",-0.0240663703360458,0.0240663703360458,21.8426066102038,4.57064431494972,"-",9
"275669",-0.0238645175729707,0.0238645175729707,19.6422826986739,4.66361697161096,"-",10
"128848",0.0235296232268352,0.0235296232268352,14.5147897484212,10,"-",11
"23297",0.0234388878036121,0.0234388878036121,19.7745665936458,10,"-",12
"170748",-0.0234116002464369,0.0234116002464369,39.0889068034769,2.74008930888859,"LOC100361879",13
"494843",-0.0232372600533746,0.0232372600533746,19.835128003223,4.44543745849905,"-",14
"465508",-0.0232014035439691,0.0232014035439691,19.7168200818951,4.39563545508986,"Kcnk13",15
"157795",0.0230348288738268,0.0230348288738268,86.6457395277354,2.79982281140627,"-",16
"572970",0.0225963506599177,0.0225963506599177,169.27628335645,2.45524871282497,"-",17
"56517",-0.0221596404541581,0.0221596404541581,17.9179305912226,4.29634745476877,"LOC689961",18
"176730",-0.0219013569070199,0.0219013569070199,15.7859386494442,4.11751271730878,"Rnf17",19
"75091",-0.0218985370255071,0.0218985370255071,14.7471590016738,4.17893407174913,"Trim37",20
"121081",-0.021856419229428,0.021856419229428,18.4848826250921,4.87396620115181,"LOC501835",21
"433229",0.0218202415406008,0.0218202415406008,10.7607110984766,10,"Macf1",22
"470412",0.0217321403865487,0.0217321403865487,2635.40723976686,2.31404948013595,"-",23
"180115",-0.0217313523099401,0.0217313523099401,14.808973053472,4.15608868603484,"-",24
"508357",-0.0215831045709884,0.0215831045709884,15.1450481001958,4.08428396810411,"Ptpn9",25
"576849",-0.0215825454905687,0.0215825454905687,180.592279597696,2.63663650530796,"LOC102550607",26
"73573",-0.0213718376264494,0.0213718376264494,18.5063174076429,4.4048191714654,"Psmd11",27
"330098",-0.0213414342946328,0.0213414342946328,13.133891860997,4.20005311775927,"-",28
"299208",-0.0213120726225113,0.0213120726225113,18.883322706738,4.49483811041017,"-",29
"182412",-0.0212746352893726,0.0212746352893726,13.9262787891819,3.99111459893312,"-",30
"212124",-0.0212319082560095,0.0212319082560095,14.1359115876986,4.16181202060041,"Arhgef10",31
"277976",0.0210856754500362,0.0210856754500362,9.83399378375082,10,"LOC120100880",32
"103037",-0.021017072562463,0.021017072562463,12.2176966346147,3.98887127041188,"-",33
"202725",-0.0209916432965857,0.0209916432965857,32.618664352682,2.10822391898034,"LOC689851",34
"527263",-0.020750260387638,0.020750260387638,73.3784087656088,2.2348514924706,"-",35
"148821",-0.020730779324351,0.020730779324351,11.0515633663114,4.42228165409891,"Slc9c2",36
"411736",-0.0205233763812759,0.0205233763812759,13.922420962363,4.15219659825155,"-",37
"522280",0.0204435312882607,0.0204435312882607,9.80006827797799,10,"Hoatz",38
"561147",-0.0204342366491638,0.0204342366491638,14.956299101106,4.06481419556858,"RGD1566100",39
"130490",0.0203980213147063,0.0203980213147063,9.78351241107141,4.65157925199094,"Taok3",40
"567691",-0.0203611774847878,0.0203611774847878,12.8590058571044,3.81881125219032,"-",41
"357860",0.020337488783836,0.020337488783836,8.35854222662611,10,"-",42
"246208",0.0202790653515674,0.0202790653515674,16.7325004269034,4.56051431816806,"Camk2a",43
"539343",-0.0202641709648163,0.0202641709648163,11.1741477876995,3.74856904465746,"Ccnyl1",44
"531257",-0.0202364258846588,0.0202364258846588,10.4880504860195,3.92319311350966,"-",45
"286858",-0.0202289024690426,0.0202289024690426,14.6504660574978,4.14816632510421,"Arsb",46
"104836",-0.0201107055315326,0.0201107055315326,14.6033303916568,4.26881825564979,"Lsamp",47
