"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.01,314,0.91594288850711,0.27854848683415,2198,299,0.949904865695655,0.0209933793752909,2094,306,1.86584775420276,0.299541866209441,1.56630588799332,2198
0.02,628,0.983482976986004,0.252589441401726,2512,598,1,0.0275042102808012,2393,613,1.983482976986,0.280093651682527,1.70338932530348,2512
0.03,942,0.937030511061226,0.244831996193694,2826,897,0.910246300253497,0.0546855998879539,2692,920,1.84727681131472,0.299517596081648,1.54775921523308,2826
0.04,1256,1,0.332426292226786,3140,1196,0.955922632219073,0.0373871977819559,2991,1226,1.95592263221907,0.369813490008742,1.58610914221033,3140
0.05,1570,0.972571233005856,0.326391390845219,3454,1496,0.976079393820604,0.102270171761486,3291,1533,1.94865062682646,0.428661562606704,1.51998906421976,3454
0.06,1884,0.819378005956378,0.212350827788118,3768,1795,0.854754888058959,0.12559400479074,3590,1840,1.67413289401534,0.337944832578858,1.33618806143648,3768
0.07,2198,0.491676001946342,0.133252033024179,3769,2094,0.381824588104716,0.0214064007824201,3591,2146,0.873500590051058,0.154658433806599,0.718842156244459,3769
0.08,2512,0.323587616136593,0.168576750300003,3769,2393,0.288362111625877,0.0733072253518393,3591,2452,0.61194972776247,0.241883975651843,0.370065752110627,3769
0.09,2827,0.287466186552816,0.147864299900347,3769,2692,0.247442453753859,0.00950018107880442,3591,2760,0.534908640306675,0.157364480979152,0.377544159327524,3769
0.1,3141,0.167345167878426,0.125175936510129,3769,2991,0.163889619359821,0.0628360815751367,3591,3066,0.331234787238247,0.188012018085266,0.143222769152981,3769
0.11,3455,0.200322251131802,0.14839539677259,3769,3290,0.10809154363197,0.0113821694317717,3591,3372,0.308413794763772,0.159777566204362,0.14863622855941,3769
