"crossing_rank","crossing_type"
26.353779651654,"sign_change"
826.070296427536,"sign_change"
2682.66582766544,"sign_change"
3191.48592682306,"sign_change"
4255.28208808589,"sign_change"
4890.81781165186,"sign_change"
5217.87683829261,"sign_change"
5315.10860503009,"sign_change"
5748.83443188652,"sign_change"
6259.98096804818,"sign_change"
6918.77375516051,"sign_change"
7829.79140634421,"sign_change"
9264.69330553703,"sign_change"
9793.11617313651,"sign_change"
9886.94614963737,"sign_change"
10674.2183849059,"sign_change"
11605.948457583,"sign_change"
12635.3589000131,"sign_change"
13252.6275607797,"sign_change"
13617.9723367881,"sign_change"
14121.1672843452,"sign_change"
14279.561066284,"sign_change"
14568.376780977,"sign_change"
14948.9692717336,"sign_change"
15257.723603941,"sign_change"
15784.2474073653,"sign_change"
16529.1281690365,"sign_change"
16730.9669220131,"sign_change"
17569.7028414626,"sign_change"
18299.107302381,"sign_change"
18996.0700437176,"sign_change"
19585.8327026316,"sign_change"
20286.202304359,"sign_change"
20617.8162525863,"sign_change"
20855.2472583716,"sign_change"
21651.3928907489,"sign_change"
22311.2032737202,"sign_change"
22693.1669877789,"sign_change"
22911.0072787015,"sign_change"
24008.3387937476,"sign_change"
24899.6876693117,"sign_change"
25781.2240527963,"sign_change"
26894.2874740861,"sign_change"
27518.9174578456,"sign_change"
28175.1942466533,"sign_change"
28737.0312096843,"sign_change"
29176.4241952428,"sign_change"
29941.7961997816,"sign_change"
30259.2130097225,"sign_change"
31735.3175710445,"sign_change"
