"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.01,305,1,2137,0.651387418577488,0.0611344808496742,1069,370.5,0.285207814283924,0.450870420213998,698.5,0.00142959256611866,0.904092498248246
0.02,611,1,2443,0.682881561842528,0.0736985912371104,1222,332,0.28458378514264,0.456502302170332,890,0.00112233445566779,0.963164982478491
0.03,916,1,2748,0.678821886875744,0.0525424130918179,1374.5,398,0.288017333340643,0.462316321431081,976.5,0.0010230179028133,0.932954693789277
0.04,1221,1,3053,0.695697126204379,0.0661460647685764,1527,1830,0.291215461909438,0.469615466935631,303,0.00328947368421053,0.974936711433444
0.05,1527,1,3359,0.722037925393497,0.0732683693102271,1680,364.5,0.294255953873376,0.477522006519478,1315.5,0.000759589821496392,1.0181782864858
0.06,1832,1,3664,0.726526926700943,0.0661983872017955,1832.5,1938,0.298249199415557,0.48648602449773,105.5,0.00938967136150235,1.02508680378964
0.07,2137,305,3969,0.433388520857351,0.0840989694778922,2137,2137,0.299896100425187,0.504199077000707,0,1,1.61800639576039
0.08,2443,611,4275,0.306048402742224,0.123168109019797,2443,2443,0.305519650478459,0.516205166740843,0,1,1.48121891587828
0.09,2748,916,4580,0.276519368035841,0.0755454072466716,2748,2966.5,0.31034285413355,0.528890617358632,218.5,0.00455580865603645,0.388900114623909
0.1,3053,1221,4885,0.214705406693143,0.0923005283246935,3053,3351.5,0.318724158872824,0.542292892992723,298.5,0.00333889816360601,0.318742959450439
0.11,3359,1527,5191,0.189944255319106,0.094841183180203,3359,3267,0.323038839066638,0.556155628332496,92,0.010752688172043,0.293746505722624
0.12,3664,1832,5496,0.166272627860639,0.118953026468957,3664,3664,0.330238935793173,0.572675430050744,0,1,1.27693360363535
0.13,3970,2138,5802,0.122924651626258,0.164091507898705,3970,3970,0.337863748700907,0.584491028693366,0,1,1.26696752095984
0.14,4275,2443,6107,0.099786697950793,0.174271316296991,4275,4275,0.345840193938145,0.601293955957812,0,1,1.24565432781204
0.15,4580,2748,6412,0.127717823981764,0.109617351611639,4580,4611.5,0.350724252601692,0.609509652399794,31.5,0.0307692307692308,0.241959520792294
0.16,4886,3054,6718,0.115605575684233,0.108903758668588,4886,4627.5,0.355081806565661,0.622449835747357,258.5,0.00385356454720617,0.196941140891
0.17,5191,3359,7023,0.0854329802218133,0.157304521687288,5191,5191,0.360663435070575,0.634593224638504,0,1,1.20567078767951
0.18,5496,3664,7328,0.108099501168667,0.0955427939248014,5496,5645.5,0.365292572550247,0.644123430480236,149.5,0.00664451827242525,0.173663963123467
0.19,5802,3970,7634,0.0796722630351677,0.109761760133402,5802,5802,0.368461291156923,0.649434820271027,0,1,1.14280208383973
0.2,6107,4275,7939,0.0651620610896624,0.158013592659326,6284,6107,0.370984539026003,0.657886522347094,177,0.00561797752808989,0.183180095160989
0.21,6412,4580,8244,0.108533732111163,0.0833185961039488,6412,6229.5,0.37469524523819,0.66800949933638,182.5,0.00544959128065395,0.159037273533163
0.22,6718,4886,8550,0.0773682295530953,0.08770667378262,6718,6718,0.376851824303789,0.67608385077082,0,1,1.11416289503018
0.23,7023,5191,8855,0.101002930873286,0.0621546520844555,7023,6713.5,0.379002269667309,0.681163823253056,309.5,0.00322061191626409,0.121735590638574
0.24,7328,5496,9160,0.072731837680188,0.133768293532816,7042,7328,0.381830502135522,0.684430324519255,286,0.00348432055749129,0.163978191739631
0.25,7634,5802,9466,0.0660475087326567,0.150665039207794,7200.5,7634,0.383282927432191,0.686547639267595,433.5,0.00230149597238205,0.172680080112163
0.26,7939,6107,9771,0.0539063556410432,0.21071338001067,7332,7939,0.387150561118868,0.692959647977322,607,0.00164473684210526,0.223723383657408
0.27,8244,6412,10076,0.0418437339995301,0.192791629162258,7529,8244,0.390154265556887,0.703327503918665,715,0.00139664804469274,0.185663130277465
0.28,8550,6718,10382,0.0789975257400418,0.145151862395028,8550,8454,0.392326853145818,0.704522934730857,96,0.0103092783505155,0.192828468296736
0.29,8855,7023,10687,0.0293597532953723,0.212218764115289,7900.5,8855,0.392148335189502,0.71318653200002,954.5,0.0010465724751439,0.189831093920474
0.3,9160,7328,10992,0.037942482221086,0.126449900818696,10290,8510.5,0.395519175052805,0.714869110753614,1779.5,0.0005616399887672,0.103003763550652
0.31,9466,7634,11298,0.0407463549467505,0.21398905876698,10140.5,9466,0.398650061768525,0.726405174202395,674.5,0.00148038490007402,0.20854687210792
0.32,9771,7939,11603,0.0417528358919549,0.194122128005137,10260.5,9771,0.400707669359179,0.725187390267996,489.5,0.00203873598369011,0.18770488800435
0.33,10077,8245,11909,0.063274547397088,0.113740189612755,10768,9972,0.402598851223562,0.723183483467043,796,0.00125470514429109,0.125232660339855
0.34,10382,8550,12214,0.056832270435033,0.121457802369016,10920,10032,0.403114459878904,0.726223869180033,888,0.00112485939257593,0.124781763562827
0.35,10687,8855,12519,0.0395130959926057,0.0712136904910219,11020,10307.5,0.403727566814907,0.72723859059332,712.5,0.00140154169586545,0.0425923421420164
0.36,10993,9161,12825,0.0510335489495704,0.266923785083526,12444.5,10993,0.401825775820493,0.729296069041702,1451.5,0.000688468158347676,0.283280201153667
0.37,11298,9466,13130,0.0640720343641175,0.0825214712514081,11298,11459,0.405906817211988,0.735797579605885,161,0.00617283950617284,0.0954037155745812
0.38,11603,9771,13435,0.0833417524830904,0.090592746248027,11603,11465,0.402872273220612,0.730614238832983,138,0.00719424460431655,0.133197963105468
0.39,11909,10077,13741,0.027596282162613,0.225952158933717,12011.5,11909,0.402348561668537,0.730314734053442,102.5,0.00966183574879227,0.211716259273175
0.4,12214,10382,14046,0.027503369393476,0.103790176728074,12058,12214,0.40483354328541,0.733257263539788,156,0.00636942675159236,0.067869744430989
0.41,12519,10687,14351,0.0256864043806279,0.164824695765164,13029,12519,0.405462641196424,0.724166419384357,510,0.00195694716242661,0.131022061541155
0.42,12825,10993,14657,0.0358463007582308,0.079709180524928,14157,12890.5,0.403630406260045,0.719772313248026,1266.5,0.000788954635108481,0.0465130693220261
0.43,13130,11298,14962,0.0270666235816124,0.282693779427877,14262.5,13130,0.399342234753779,0.716201392801845,1132.5,0.000882223202470225,0.267403689032955
0.44,13435,11603,15267,0.0308439631633256,0.150841944086639,12999.5,13435,0.401222694161754,0.719216805467966,435.5,0.00229095074455899,0.122642416387931
