"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","deseq2_strong_call","deseq2_weak_call","HBFSS_only_call","overlap_call","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT2_ZT8_leading_edge_dataset","248551","Mbp",19521.7279148751,9.27034547303423e-07,"upregulated",1,0.776958332812417,0.999728640857564,0.666538592725373,0.97452747309108,1.63320033056724e-07,0.933385805359946,0.0299388080155969,0.00558953341819088,1,FALSE,FALSE,"weak_effect",0.0865051367400647,0.305364279825221,0.283285054786294,FALSE,FALSE,1,0.00558953341819088,FALSE,TRUE,FALSE,FALSE,43465.985678831,15093.8089141589,16249.3508279312,11550.3543435041,14171.7626770732,20029.5558512608,18913.8654592648,21614.3494253831,16913.3457476471,17214.9002236969,0.207808774502376,0.0671047237913107,0.111950160844428,8,FALSE,0.000117865770874726,0.176174699779844
"RT2_ZT8_leading_edge_dataset","55601","Bc1",17415.033995383,2.05736453631919e-06,"upregulated",1,0.587204092776154,0.999728640857564,0.408923023749659,0.959135910117725,7.98994874653324e-07,0.933385805359946,0.0299388080155969,0.132693633553651,1,FALSE,FALSE,"intermediate",0.3114622623468,0.573709324624913,0.542892104029218,FALSE,FALSE,1,0.132693633553651,FALSE,FALSE,FALSE,FALSE,30736.9350899331,7100.17882289202,8415.38884685703,26372.167359738,23813.9019884729,15575.3215198889,15516.1102368228,26944.5593249963,16040.6293557196,3635.14740850928,0.395285051576039,0.0674256897255374,0.395285051576039,12,TRUE,0.000117865770874726,0.388358436508679
"RT2_ZT8_leading_edge_dataset","25328","-",5583.56779872237,7.80211386512701e-07,"upregulated",1,0.44362116929547,0.999728640857564,0.243897753991364,0.933329969559193,4.7810745122925e-07,0.933385805359946,0.0299388080155969,0.418565503869826,1,FALSE,FALSE,"intermediate",0.781742659785072,1.0204283362051,0.766092661335062,FALSE,FALSE,1,0.418565503869826,FALSE,FALSE,FALSE,FALSE,16763.1556384408,684.366247823403,6345.08549278409,1709.24526159478,9799.57012789252,1075.42085611666,10898.4601474555,653.104016516879,630.29517194762,7276.97502665136,1.25051832402814,0.0737280398702391,1.25051832402814,11,TRUE,0.000117865770874726,0.612792199004221
"RT2_ZT8_leading_edge_dataset","8277","Apoe",5319.97934756213,4.52639444519193e-06,"upregulated",0.844984597087584,0.139504294110348,0.999728640857564,0.0245998071405846,0.622920984800805,7.28327780463361e-06,0.933385805359946,0.0299388080155969,0.0858840954576636,1,FALSE,FALSE,"weak_effect",0.499690128473053,0.338167818558339,1.47763950633537,FALSE,FALSE,1,0.0858840954576636,FALSE,TRUE,FALSE,FALSE,13549.4553497651,3485.71832872995,5070.418902414,2628.19432696832,6424.77154902399,4765.63990166587,4067.23206007143,4749.73914655575,4215.57742533388,4243.04648509307,0.204669840079974,0.0741876660092618,0.137163112698851,10,FALSE,0.000117865770874726,1.60906829769777
"RT2_ZT8_leading_edge_dataset","179269","Lcp1",8455.63668273145,-1.07366813562986e-06,"downregulated",1,0.6796873475468,0.999728640857564,0.529974759706858,0.968172622581906,2.96058419693818e-07,0.933385805359946,0.0299388080155969,0.02896763114678,1,FALSE,FALSE,"weak_effect",-0.162842269912293,0.394396437400588,-0.412889809516444,FALSE,FALSE,1,0.02896763114678,FALSE,TRUE,FALSE,FALSE,13849.3738115247,6240.60707173618,3516.80865376347,9252.98168007027,7035.56326111327,4966.09935784706,6688.35751738384,14274.8176882636,15636.5939890865,3095.16379652552,0.295936410399965,0.0705771238742068,0.186712749770653,10,FALSE,0.000117865770874726,0.275744813382339
"RT2_ZT8_leading_edge_dataset","415923","-",10101.3637207139,2.10245143466784e-05,"upregulated",1,0.928694436690925,0.999728640857564,0.891727153536736,0.980836801244646,1.04634821235382e-06,0.933385805359946,0.0299388080155969,0.013026631178908,1,FALSE,FALSE,"weak_effect",-0.0340466181946,0.380462008371239,-0.0894875636607027,FALSE,FALSE,1,0.013026631178908,FALSE,TRUE,FALSE,FALSE,11998.7558591423,5471.05803776219,4982.14559283158,12364.0419704803,15096.4196245754,8666.40441377016,6595.85798167854,21670.9081141426,10071.963739584,4096.08187317172,0.289098271519016,0.0695791215279664,0.173764332613921,11,FALSE,0.000117865770874726,0.0497680086731294
"RT2_ZT8_leading_edge_dataset","565080","-",1573.31946584857,2.88923654085165e-07,"upregulated",1,0.796762210954855,0.999728640857564,0.695248688326249,0.975553639144049,4.56094365517277e-08,0.933385805359946,0.0299388080155969,0.228253070863392,1,FALSE,FALSE,"intermediate",0.248164152630884,0.963595906889569,0.257539650030212,FALSE,FALSE,1,0.228253070863392,FALSE,FALSE,FALSE,FALSE,5836.97813469458,482.057130715777,168.307776937141,1219.69603222306,833.984768382922,2018.46282607594,2913.27745622319,1131.17377518876,1004.55951156564,124.697246478726,1.114624398419,0.0973732206202521,1.114624398419,9,TRUE,0.000117865770874726,0.157859821813978
"RT2_ZT8_leading_edge_dataset","470412","-",1126.17338892911,-2.05778757606778e-06,"downregulated",1,0.835133152335342,0.999728640857564,0.751566579135533,0.977344000071164,2.55232620798603e-07,0.933385805359946,0.0299388080155969,0.220321948742799,1,FALSE,FALSE,"intermediate",-0.204328464797969,0.981769173474528,-0.208122713890925,FALSE,FALSE,1,0.220321948742799,FALSE,FALSE,FALSE,FALSE,3715.35762605847,267.164192926816,293.067387813623,517.953109574175,438.414932005359,2933.76826750701,2111.9200924397,501.883943412697,295.15846783512,187.045869718089,1.15682253579966,0.110444777862986,1.15682253579966,9,TRUE,0.000117865770874726,0.124032540465779
"RT2_ZT8_leading_edge_dataset","335788","Cst3",8877.71602448991,1.67429569163769e-06,"upregulated",1,0.706061228172147,0.999728640857564,0.566182494642359,0.970147242108062,4.13623972135905e-07,0.933385805359946,0.0299388080155969,0.000906584979764864,1,FALSE,FALSE,"weak_effect",0.0892639054795579,0.236679349143999,0.377151220849642,FALSE,FALSE,1,0.000906584979764864,FALSE,TRUE,FALSE,FALSE,5041.45450182088,9007.11164921748,8209.41779116473,12905.3865108095,10601.6701739478,7896.08537146385,7944.88586379636,10580.6422803445,8083.25913497737,8507.24696735664,0.0561025137389932,0.0702858868300132,0.0671690218563246,10,FALSE,0.000117865770874726,0.247043562377758
"RT2_ZT8_leading_edge_dataset","56995","Fth1",2574.06035543183,2.10722421731615e-07,"upregulated",1,0.95606249298209,0.999728640857564,0.933211261562245,0.981673052261577,6.3258932074461e-09,0.933385805359946,0.0299388080155969,0.00446385423581909,1,FALSE,FALSE,"weak_effect",-0.0174747084541079,0.317172055146784,-0.0550953596653423,FALSE,FALSE,1,0.00446385423581909,FALSE,TRUE,FALSE,FALSE,4782.55627810459,2304.77515709692,1353.52408026372,2103.55795146415,2246.87652652747,2347.5189145243,3095.52901667224,3576.89054807056,2402.94718050206,1526.42790109226,0.154281960946703,0.0845739245696622,0.120434637826568,7,FALSE,0.000117865770874726,0.030020028981553
