"comparison_name","error_message"
"RT0_ZT6","could not find function ""log_step"""
"RT2_ZT8","could not find function ""log_step"""
"RT4_ZT10","could not find function ""log_step"""
"RT8_ZT14","could not find function ""log_step"""
