"comparison","group","manual_leading_edge_n","cutoff_center_rank","terminal_start_rank","cutoff_range_rank_min","cutoff_range_rank_max","pre_cutoff_size","post_cutoff_size","pre_cutoff_median_log_nb2","post_cutoff_median_log_nb2","post_minus_pre_log_nb2","pre_cutoff_median_nb2_nb1_contrast","post_cutoff_median_nb2_nb1_contrast","post_minus_pre_nb2_nb1_contrast","pre_cutoff_median_log_alpha_mu","post_cutoff_median_log_alpha_mu","post_minus_pre_log_alpha_mu","pre_cutoff_mean_combined_nb_support","post_cutoff_mean_combined_nb_support","post_minus_pre_mean_combined_nb_support","post_cutoff_more_nb2","selection_mode"
"RT0_ZT6","control",5000,5000,5806.57751825306,3906.14480424098,5806.57751825306,4999,26758,2.34180580614733,4.13836144763888,1.79655564149155,0.798507696217771,1.76555709683403,0.96704940061626,1.1882244473578,1.89711998488588,0.708895537528085,0.237812645100799,0.540017243747291,0.302204598646491,TRUE,"manual_5000_local_pair"
"RT0_ZT6","treatment",5000,5000,6681.95021265762,4933.8330478071,6681.95021265762,4999,26758,3.48124008933569,3.53222564406856,0.0509855547328675,1.11496142666964,1.36524095192206,0.25027952525242,1.53345200545618,1.54044504094715,0.00699303549097063,0.30546794870656,0.430986103528556,0.125518154821997,TRUE,"manual_5000_local_pair"
"RT2_ZT8","control",5000,5000,5838.07207904611,4202.21545692242,5838.07207904611,4999,26758,2.30258509299405,3.40119738166216,1.09861228866811,0.204946192262302,1.22050210627715,1.01555591401484,0.693147180559946,1.38629436111989,0.693147180559945,0.22780011046768,0.462701764923516,0.234901654455836,TRUE,"manual_5000_local_pair"
"RT2_ZT8","treatment",5000,5000,6660.30752300755,4764.2681341809,6660.30752300755,4999,26758,1.6094379124341,3.51154543883102,1.90210752639692,0.635988766719997,1.26025364022453,0.624264873504529,1.17445048966267,1.46040233327361,0.285951843610947,0.217757394162948,0.396625453706061,0.178868059543112,TRUE,"manual_5000_local_pair"
"RT4_ZT10","control",5000,5000,6197.83106062942,4754.66337008084,6197.83106062942,4999,26758,2.99071973173045,3.10009228887823,0.109372557147787,0.422414666421937,1.01341341846811,0.590998752046168,0.964276796441485,1.19737359011015,0.233096793668666,0.252996243271835,0.442869514125416,0.189873270853581,TRUE,"manual_5000_local_pair"
"RT4_ZT10","treatment",5000,5000,5929.02824530387,4219.43283488189,5929.02824530387,4999,26758,3.17387845893747,5.02650864325255,1.85263018431508,1.09861228866811,2.17692537286529,1.07831308419718,1.32267243052315,2.2553322081435,0.93265977762035,0.332968432163807,0.712420250077368,0.379451817913561,TRUE,"manual_5000_local_pair"
"RT8_ZT14","control",5000,5000,7034.83060521075,2456.33264423732,7034.83060521075,4999,26758,3.75419892023458,3.96081316959758,0.206614249362999,1.03759818291296,1.53200617230128,0.494407989388321,1.31058253938419,1.68175857401373,0.371176034629532,0.36651433011894,0.532421839027671,0.165907508908731,TRUE,"manual_5000_local_pair"
"RT8_ZT14","treatment",5000,5000,5120.06236629427,3664.72289646432,5120.06236629427,4999,26758,2.12823170584927,4.15731936138349,2.02908765553422,0.421594490038048,1.68562705079165,1.2640325607536,0.838329190404443,1.81237875643079,0.974049566026348,0.18475370633274,0.509822635094974,0.325068928762235,TRUE,"manual_5000_local_pair"
