"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.005,157,0.194114669357187,0,159,150,0.203848208687406,0.0165704639809658,151,154,0.397962878044593,0.0165704639809658,0.381392414063628,159
0.01,314,0.085584254794348,0.0235116492557624,159,299,0.121799332288562,0.0460787945720752,151,306,0.20738358708291,0.0695904438278376,0.137793143255072,159
0.015,471,0.084501056401859,0.0154675506865765,159,449,0.088300341754669,0.0674345924909533,151,460,0.172801398156528,0.0829021431775298,0.0898992549789981,159
0.02,628,0.133599155165412,0.0643595920032048,159,598,0.219091720889327,0.110895028649273,151,613,0.352690876054739,0.175254620652478,0.177436255402261,159
0.025,785,0.084979476463138,0.0452870662378852,159,748,0.161289144320148,0.0795347809139286,151,766,0.246268620783286,0.124821847151814,0.121446773631472,159
0.03,942,0.066713838644531,0.0132078555807144,159,897,0.216136532501624,0.075954950170973,151,920,0.282850371146156,0.0891628057516875,0.193687565394468,159
0.035,1099,0.0247496885095318,0.00543790342401748,159,1047,0.174134400293264,0.0698691052205486,151,1073,0.198884088802795,0.075307008644566,0.123577080158229,159
0.04,1256,0.232894478753647,0.00529167562174204,159,1196,0.202661908969806,0.0403226542448606,151,1226,0.435556387723453,0.0456143298666027,0.38994205785685,159
0.045,1413,0.225580327834707,0.219209766853294,159,1346,0.193914235884897,0.13984286529688,151,1380,0.419494563719604,0.359052632150173,0.0604419315694308,159
0.05,1570,0.227348901735885,0.0786679177887011,159,1496,0.303661601182306,0.100662924571545,151,1533,0.531010502918191,0.179330842360246,0.351679660557945,159
0.055,1727,0.261303056009509,0.0672374319946392,159,1645,0.284025646161724,0.111751512843047,151,1686,0.545328702171233,0.178988944837686,0.366339757333547,159
0.06,1884,0.209284982683685,0.0845480325171639,159,1795,0.153011640692008,0.208639409332485,151,1840,0.362296623375693,0.293187441849649,0.0691091815260437,159
0.065,2041,0.190891685872634,0.0230009297390281,159,1944,0.262484825710152,0.119497569253096,151,1992,0.453376511582785,0.142498498992124,0.310878012590662,159
0.07,2198,0.510653333431376,0.0259238306577377,159,2094,0.421014462770394,0.210126917693283,151,2146,0.93166779620177,0.236050748351021,0.695617047850749,159
0.075,2355,0.411113947393939,0.0897668662800397,159,2243,0.169612365580669,0.159079728110422,151,2299,0.580726312974609,0.248846594390461,0.331879718584147,159
0.08,2512,0.0713071818074148,0.0366397325978574,159,2393,0.570007227918497,0.351776272900776,151,2452,0.641314409725912,0.388416005498633,0.252898404227279,159
0.085,2670,0.320517386647246,0.0281004938670789,159,2542,0.418069319840967,0.321786936907388,151,2606,0.738586706488213,0.349887430774467,0.388699275713746,159
0.09,2827,0.408276198647609,0.319450679263878,159,2692,0.421590015455725,0.286282330892974,151,2760,0.829866214103334,0.605733010156853,0.224133203946482,159
0.095,2984,0.168137688084229,0.0367704823545832,159,2842,0.276451969450901,0.180950372141115,151,2913,0.444589657535131,0.217720854495698,0.226868803039432,159
0.1,3141,0.446111444992164,0.1055177855921,159,2991,0.510761559555016,0.30710801086902,151,3066,0.95687300454718,0.41262579646112,0.54424720808606,159
0.105,3298,0.305836374141273,0.0789233907581238,159,3141,0.331854678701607,0.178017262889054,151,3220,0.63769105284288,0.256940653647177,0.380750399195703,159
0.11,3455,0.601051225586672,0.160501422586013,159,3290,0.731133800154113,0.383325869982719,151,3372,1.33218502574079,0.543827292568733,0.788357733172052,159
0.115,3612,0.228285692565366,0.084340320156667,159,3440,0.407505824113793,0.416599247534762,151,3526,0.63579151667916,0.500939567691429,0.134851948987731,159
0.12,3769,0.167521763580764,0.146913400632348,159,3589,0.0851713520034149,0.266433842306124,151,3679,0.252693115584178,0.413347242938472,-0.160654127354294,159
0.125,3926,0.273608280992313,0.159610954071564,159,3739,0.886189753982781,0.260350105206424,151,3832,1.15979803497509,0.419961059277989,0.739836975697105,159
0.13,4083,0.171117162570187,0.325517906956879,159,3888,0.53182713216245,0.469693885347953,151,3986,0.702944294732637,0.795211792304832,-0.0922674975721951,159
0.135,4240,0.24808752358432,0.493068291540409,159,4038,0.18353576812646,0.106455874124533,151,4139,0.431623291710781,0.599524165664942,-0.167900873954162,159
0.14,4397,0.25707592228897,0.0819917888715349,159,4188,0.52327792240792,0.146112436064088,151,4292,0.78035384469689,0.228104224935623,0.552249619761267,159
0.145,4554,0.228068452630944,0.0538468423745683,159,4337,0.533332649438565,0.427583603767012,151,4446,0.761401102069509,0.481430446141581,0.279970655927928,159
0.15,4711,0.204812454237973,0.0697363581540554,159,4487,0.172964403683164,0.385866536593586,151,4599,0.377776857921137,0.455602894747642,-0.0778260368265045,159
0.155,4868,0.340646827968578,0.0257654793342081,159,4636,0.251679672015551,0.11853541667113,151,4752,0.592326499984129,0.144300896005338,0.448025603978791,159
