"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","hc_threshold_source"
"RT0_ZT6_leading_edge_dataset","15145","LOC102548165",149.910740330005,1.27887049760751,"upregulated",1,0.00211523338305254,0.00211523338305254,0.763087176370256,0.0192378016377448,0.999999999999,2.19434298321754,0.0335276149601091,1.47459733969688,0.92300542548935,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",1.83966588916297,0.598546225916922,3.07355691090485,TRUE,TRUE,2.67464170801466,1,0.92300542548935,TRUE,FALSE,690.450068643656,225.211959874682,67.5628074230421,131.206237555539,56.4326525617665,37.1047105871429,75.7659699919494,107.127105874554,48.0174863674205,60.228404420301,0.565713792004603,0.227136939587686,0.420921515442316,6,FALSE,0.117425844674393,1.71584455761759,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","466749","RGD1566401",334.979539808281,-1.03790292025624,"downregulated",1,0.000300639352769127,0.000300639352769127,0.616611312529479,0.00590384774063701,0.999999999999,2.313345338157,0.0335276149601091,1.47459733969688,0.800427116862174,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-1.27821635818774,0.353611424309236,-3.61474847902519,TRUE,TRUE,3.52195417221261,1,0.800427116862174,TRUE,FALSE,175.268094348005,129.496876927942,375.124841214503,109.784811015859,188.567643925903,610.001442052629,479.074056410634,351.376907268536,479.387691766543,451.713033152258,0.132117641124698,0.169863756589852,0.146306074170014,9,FALSE,0.209988511844247,2.22886485143126,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","358487","Ttpal",68.9207154391395,1.07894203717201,"upregulated",1,0.00130923498875482,0.00130923498875482,0.763087176370256,0.0143725242530668,0.999999999999,1.987915044268,0.0335276149601091,1.47459733969688,0.851950408769158,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",1.45644092182196,0.453162602127636,3.21394774190071,TRUE,TRUE,2.88298239687144,1,0.851950408769158,TRUE,FALSE,203.15165481246,84.4544849530058,41.3444045424586,85.6857061587194,90.8428065628437,36.1152516381524,32.6376486119167,39.9941195265001,29.1253605835174,45.8557170018201,0.16446812601375,0.348956814510929,0.228741824290865,10,FALSE,0.117425844674393,1.84246694982659,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","101579","-",66.6655819556048,1.40459691949683,"upregulated",1,0.00228654345254544,0.00228654345254544,0.763087176370256,0.0201718387235938,0.999999999999,2.38114926635549,0.0335276149601091,1.47459733969688,0.942446827861035,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",2.05204672744463,0.672748045847718,3.05024554156658,TRUE,TRUE,2.64082054104849,1,0.942446827861035,TRUE,FALSE,240.329735431734,65.3114683636578,70.5880077554172,142.809510264532,17.8932800805601,11.8735073878857,15.1531939983899,28.5672282332143,64.5480964283358,9.58179161232061,0.633688101810494,0.356584450240244,0.520828335218827,10,FALSE,0.117425844674393,1.69525451273843,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","500103","Gpd1",176.868732068611,1.93916090746212,"upregulated",1,1.20994223779136e-08,1.20994223779136e-08,3.72238729456512e-05,1.42502658408983e-05,0.999999999999,9.397517054488,0.0335276149601091,1.47459733969688,0.998581380085737,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",2.07455400595215,0.364064185540781,5.6983193852771,TRUE,TRUE,7.91723536225153,1,0.998581380085737,TRUE,FALSE,416.925618373285,362.591255398238,222.85642448496,264.197593989385,163.792333045127,76.1883390722668,46.6252123027381,68.5613477597144,45.6559706444326,101.293225615961,0.115858334905587,0.21133636547585,0.150558539562072,10,FALSE,4.42917844282749,4.84617703374963,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","171529","Ramp3",119.501475458546,-0.823443816796731,"downregulated",1,0.000722692384488332,0.000722692384488332,0.763087176370256,0.0100265884931956,0.999999999999,1.64593804544229,0.0335276149601091,1.47459733969688,0.61914610269674,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-1.05837789461549,0.313053384749152,-3.3808223969965,TRUE,FALSE,3.14104652172052,1,0.61914610269674,TRUE,FALSE,58.4226981160017,82.202365354259,97.8148107467924,56.2312446666596,93.5956188829299,184.534093986724,162.022612752015,131.409249872786,196.005805007995,132.7762551993,0.037693631761816,0.253516590724412,0.107548008045587,9,FALSE,0.117425844674393,1.99884680881463,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","257551","Prdx2",54.7617628568515,1.41013618164418,"upregulated",1,0.000969468831577538,0.000969468831577538,0.763087176370256,0.0119785290870036,0.999999999999,2.70971276274608,0.0335276149601091,1.47459733969688,0.938983666372648,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",1.86096689620779,0.564059215375106,3.29924030222646,TRUE,TRUE,3.01346614892821,1,0.938983666372648,TRUE,FALSE,118.173184825549,39.4120929780694,149.243216397168,51.768447470893,70.1967141621974,13.8524252858667,37.3001698421905,19.99705976325,40.1457672907942,7.52855055253763,0.325316069987384,0.407257421024354,0.356414077787779,9,FALSE,0.117425844674393,1.92159650820861,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","390593","Herc3",27.1891035939554,1.30540814097157,"upregulated",1,0.00375856673686566,0.00375856673686566,0.763087176370256,0.0273149049621673,0.999999999999,2.04113656894537,0.0335276149601091,1.47459733969688,0.948954635879017,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",2.2734554595861,0.78456036327394,2.89774447704579,TRUE,TRUE,2.42497773404495,1,0.948954635879017,TRUE,FALSE,103.567510296548,54.0508703699237,6.05040066475004,37.4874964444397,23.3989047207325,9.89458948990478,4.66252123027381,22.8537825865715,7.87171907662632,2.05324105978299,0.667955164695477,0.695047280453466,0.678230846676454,7,FALSE,0.117425844674393,1.56360030620479,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","40451","Ttc9b",81.3885462155099,1.07268319040309,"upregulated",1,0.00334442407364523,0.00334442407364523,0.763087176370256,0.0254351199480352,0.999999999999,1.71046436941225,0.0335276149601091,1.47459733969688,0.89017971884293,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",1.6878401111687,0.575236225148259,2.93416867258956,TRUE,TRUE,2.47567865911371,1,0.89017971884293,TRUE,FALSE,55.7671209289107,152.01807291541,57.4788063151254,167.801174560826,188.567643925903,29.6837684697143,59.4471456859911,4.28508423498215,59.82506498236,39.0115801358768,0.432761768899425,0.3144148547655,0.381121111854236,10,FALSE,0.117425844674393,1.59456620996316,"hc.thresh_primary"
"RT0_ZT6_leading_edge_dataset","570401","Klhl34",24.8658329264586,1.00296472376849,"upregulated",1,0.00439085636038739,0.00439085636038739,0.763087176370256,0.0300388602255448,0.999999999999,1.52682979799385,0.0335276149601091,1.47459733969688,0.909045564871621,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",1.84936000691296,0.649211402450233,2.84862527049458,TRUE,TRUE,2.3574507698898,1,0.909045564871621,TRUE,FALSE,79.6673156127296,29.2775547837087,12.1008013295001,47.3056502751263,26.1517170408186,12.8629663368762,9.32504246054762,15.7119755282679,3.93585953831316,12.3194463586979,0.291947747296453,0.748450944026118,0.450103761841765,10,FALSE,0.117425844674393,1.52231654993509,"hc.thresh_primary"
