"index","rank","d1_here","d2_here","d1_left","d1_right","var_fit_here"
27,27,0.000224146896832241,9.359259173629e-10,0.000224147001068119,0.000224148872919953,-0.231007195007038
1251,1251,0.00404638244071563,-4.25048309971313e-09,0.00404637389788689,0.00404636539692069,1.79072191327523
2727,2727,-0.0024465743902224,1.08351869019336e-08,-0.00244656983685797,-0.00244654816648417,3.21847865233774
4124,4124,0.00121189604917264,-1.93831795948917e-09,0.00121189559845379,0.00121189172181788,2.96753490290746
4765,4765,0.000928297168161308,3.79511902755785e-09,0.000928295965811972,0.000928303556050027,3.6639288341617
4989,4989,0.000948034442772515,-1.40957263587405e-10,0.000948033451716872,0.000948033169802345,3.87410032055243
6661,6661,-7.58981754427965e-05,2.79140518460954e-09,-7.58989513260107e-05,-7.58933685156415e-05,4.67177693193988
7204,7204,0.000133229327198183,-3.27824377895481e-10,0.000133228540691902,0.000133227885043146,4.69151123558986
7353,7353,0.000126230600613024,1.13306673984418e-10,0.000126230926768529,0.000126231153381877,4.71076453767824
7409,7409,0.000127370971454955,-4.91753515061551e-09,0.000127373314529733,0.000127363479459432,4.71785862212429
8415,8415,-0.000468508874859357,1.30617089187605e-09,-0.000468508304928815,-0.000468505692587031,4.53548099951153
9421,9421,0.000612311042287823,-1.07428581441305e-08,0.000612314501982608,0.00061229301626632,4.55953870007404
10433,10433,-0.0016733904865193,4.54170101340651e-10,-0.00167338462352294,-0.00167338371518274,4.00362616737089
11233,11233,0.001335761785202,-6.00677158712055e-09,0.0013357604378081,0.00133574842426493,3.91797435737549
12261,12261,-0.000814726233357189,4.7547308308534e-09,-0.000814721094294494,-0.000814711584832832,4.27902229589816
13258,13258,0.000304864126143554,-2.28419513446484e-09,0.000304864354750863,0.000304861682090408,4.1218782519424
13441,13441,0.000299977571857022,2.38005195109355e-10,0.000299978226239204,0.000299978702249594,4.17731213114361
13912,13912,0.000528413033907427,-7.78424393803979e-09,0.000528416922181048,0.000528401353693172,4.36379580286828
14967,14967,-0.000945242288396775,1.99865423865625e-09,-0.000945237537662788,-0.000945233540354311,4.11999042207324
15812,15812,0.000881247644987033,-2.19874738977591e-09,0.000881247763529952,0.000881243366035172,4.16724418072258
16764,16764,-0.000674864903810741,6.28022792938154e-09,-0.000674864835620391,-0.000674852275164532,4.29707383639928
17621,17621,0.000750145392466949,-1.81560419882541e-09,0.000750144441821541,0.000750140810613144,4.34413649417581
18473,18473,-0.000158489983710072,1.61298157346001e-09,-0.000158487078867868,-0.000158483852904721,4.61553609269583
18957,18957,0.000407228013580218,-9.17838734686487e-09,0.000407232459599259,0.000407214102824565,4.68062191399536
19632,19632,-0.000162749018164736,5.90825069716537e-10,-0.000162748344822875,-0.000162747163172736,4.76183867355743
19787,19787,-0.000143164952733965,-3.12189753822647e-09,-0.000143164163073778,-0.000143170406868855,4.73798942231623
20443,20443,-0.000726486013892632,5.62290422647621e-09,-0.000726487667675505,-0.000726476421867052,4.4618140751965
21205,21205,8.68208284715946e-05,-1.26634377677033e-08,8.68224577435077e-05,8.67971308679723e-05,4.17130350901472
21921,21921,-0.00198872808532711,9.14551235698301e-09,-0.00198872323722819,-0.00198870494620347,3.4965443057055
22607,22607,0.00190400468369052,-3.1155404117197e-08,0.00190401437022425,0.00190395205941601,3.40359676074503
23256,23256,-0.000427917567684452,1.04035843643815e-09,-0.00042790691933892,-0.000427904838622047,3.84162148020136
23819,23819,0.000570189432689199,-1.20141250173654e-08,0.000570193069305486,0.000570169041055451,3.87683340024409
24455,24455,-0.00076210262145481,1.51544337921588e-08,-0.000762108895072101,-0.000762078586204517,3.82084328878227
25015,25015,0.000634419036740506,-6.49739486545905e-09,0.000634420971692789,0.000634407976903058,3.80688868834388
25957,25957,-0.000396639086418007,3.96144786693482e-09,-0.000396639688654841,-0.000396631765759107,3.88634483771123
26490,26490,0.000508262359166596,-1.40314185347798e-08,0.00050826713340651,0.00050823907056944,3.89326652528997
27155,27155,-0.000301865837161853,6.03064516344658e-09,-0.000301865883282642,-0.000301853821992315,3.94598238297752
27589,27589,0.000264930247993441,-4.41930341106505e-09,0.00026492706749496,0.000264918228888138,3.93294532548455
27982,27982,-1.45083812096058e-06,3.87163317302906e-09,-1.45074097274605e-06,-1.44299770639999e-06,3.9835461298642
28381,28381,0.000337838007678461,-9.76963029682978e-10,0.000337834550857474,0.000337832596931415,4.04814259696488
28763,28763,8.32660970839547e-05,1.84461888230221e-09,8.32677135832035e-05,8.32714028209681e-05,4.12606446573806
28912,28912,0.000116952540414306,-7.58571195616114e-10,0.000116950605244149,0.000116949088101758,4.14109198787072
29206,29206,2.15079341600031e-05,9.70989449445166e-10,2.15103584490829e-05,2.15123004279818e-05,4.16196770473342
31739,31739,0.00288747821427255,-8.13032605500933e-09,0.00288748164882804,0.00288746538817594,6.6990941820268
