"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","last_local_amplitude_crossing_before_divergence","crossing_5",23819,23819,31553,29384,2169
"RT2_ZT8","last_local_amplitude_crossing_before_divergence","crossing_15",30065,30065,31534,31511,23
"RT4_ZT10","last_local_amplitude_crossing_before_divergence","crossing_10",30284,30284,31658,31651,7
"RT8_ZT14","last_local_amplitude_crossing_before_divergence","crossing_23",29726,29726,31580,31492,88
