"role","index","rank","d1_here","d2_here","var_fit_here"
"cutoff_anchor",26380,26380,9.35905307137292e-05,5.53145692562495e-12,5.26757975265278
"leading_edge_5000_reference",26758,26758,-7.60047858769128e-05,-7.11451545179041e-07,5.28383376510045
"terminal_start",27553,27553,-0.000385078118482642,1.42335618591267e-10,5.07124036697634
