"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","lessAbs_pvalue","lessAbs_padj","empirical_p","empirical_p_calc","empirical_p_plot","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p_calc","neglog10_empirical_p_plot","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","hc_pass","standard_flag","strong_alt_flag","strong_flag","lessAbs_alt_flag","weak_hbfss_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT4_ZT10","Lead_RawEVS","Lead","25328","25328","-",7012.13891821374,0.629183350676304,0.061352900884847,"upregulated",0.695284120958602,0.486877263479405,0.764612371222788,1,1,0.340985899580189,0.398612214584529,0.629521631619305,0.629521631619305,0.629521631619305,0.985416209160679,0.93256741128724,1,0.2009893420748,0.2009893420748,0.2009893420748,0.0123312791832258,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.904929843369408,15099.5949106791,18052.4126823466,7531.26330394167,1076.63259070574,826.742117499439,8055.03812892959,7014.89862945785,587.621087698046,6725.39532669955,5151.79040417985,0.983434695450007,0.0728994884020766,0.983434695450007,11,TRUE
"RT4_ZT10","Lead_RawEVS","Lead","179269","179269","Lcp1",12020.2242366724,-0.0426901714172601,-0.0209720223715044,"downregulated",-0.136786349901614,0.891199673421674,0.963571754078909,1,1,0.00107972587362471,0.00459092206188753,0.924390476729168,0.924390476729168,0.924390476729168,0.995955948479371,0.953068039259253,1,0.0341445373656635,0.0341445373656635,0.0341445373656635,0.000716080001497363,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.312093797721525,18411.7725045235,8481.25212000493,6392.93470739448,10216.6527278364,15708.1002324893,14596.6819195887,10205.0731924964,9591.70367870597,9105.46604620931,17492.6052374755,0.120004591480878,0.0723236113518957,0.116902442836718,9,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","55601","55601","Bc1",23183.9729574511,-0.864056945329873,-0.311168733809213,"downregulated",-1.74638554609018,0.0807439798272799,0.309403569423622,1,1,0.39175000454754,0.450376006970246,0.225637657358315,0.225637657358315,0.225637657358315,0.862766753022205,0.832127824876057,1,0.646588417906218,0.646588417906218,0.646588417906218,0.20119809929558,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.494768722327282,15731.8685086666,14506.0748417248,16621.9206291738,9448.92737834576,25899.720557362,10446.1752912782,9847.30618655152,18710.954767971,40994.3128368312,69632.4685766065,0.429836720239566,0.0719353441062664,0.293984627519621,8,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","378009","378009","Gapdh",7818.29263375413,1.0673226297707,0.994795766702363,"upregulated",5.10930917337822,3.23338875815707e-07,3.24545364158303e-05,0.747243853102227,1,0.626378073448886,0.67939988604359,0.000392720430290705,0.000392720430290705,0.000392720430290705,0.0389313003027889,0.0369302118268755,0.096717775088388,3.40591650506592,3.40591650506592,3.40591650506592,3.38819132098128,0.0229484284932837,1.63924704956303,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"HBFSS",0.208897640278245,13472.7579765836,8438.97911128023,14060.6812869426,7798.39358950011,9155.20685173134,4994.58969807302,3923.13562106316,5334.3954419983,5616.58835796836,5388.19840240061,0.0474435153323301,0.0727569681571213,0.0522413944349595,9,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","88697","88697","Vamp2",8641.19812568617,0.214008751028759,0.145042560380991,"upregulated",1.06538896024714,0.286699950492319,0.603880420964135,1,1,4.56046050589306e-05,0.000427374347586368,0.459794383508758,0.459794383508758,0.459794383508758,0.96637043141635,0.909917843351311,1,0.337436338038579,0.337436338038579,0.337436338038579,0.048942630434701,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.200873820749105,11303.7865180998,8254.72393194758,6960.64705592758,8946.70073617407,10938.7404085841,9334.10879292548,8747.35203933418,7281.79004889071,9149.62905492122,5494.50267005692,0.0396935964036125,0.0726389129331489,0.0483361999762582,9,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","248551","248551","Mbp",25816.8602768776,-0.150529230007701,-0.0592052808508053,"downregulated",-0.464236108063742,0.642478594013677,0.850961590279697,1,1,0.00439919363794635,0.013129931622256,0.747380635099991,0.747380635099991,0.747380635099991,0.987395602368381,0.942590785534915,1,0.126458159066218,0.126458159066218,0.126458159066218,0.00748699082339122,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.324251447470416,16659.2609005058,17844.2640633,19042.320846577,22390.2227337628,46422.2997662365,40745.1325991323,20519.8342636063,23926.255512908,31357.3134357678,19261.6986469798,0.159627841540812,0.0718927095133851,0.126243835381367,9,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","335788","335788","Cst3",8921.42323574732,-0.281978548194592,-0.157388281669772,"downregulated",-1.01488721534356,0.310159593095862,0.628260019147493,1,1,0.00487916354051115,0.0142090027377904,0.481341559500021,0.481341559500021,0.481341559500021,0.973140753357034,0.913601955087081,1,0.317546639294342,0.317546639294342,0.317546639294342,0.0499781199085475,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.277842250775755,8259.85934039959,9182.89216698984,10483.0771263657,8746.81958009368,3588.29965604893,8932.78095300774,11249.6708402266,10444.9975521561,6627.60580740889,11698.2293347761,0.0990118240120243,0.0726036823301963,0.0926018035487411,9,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","175929","175929","Ndrg2",4385.5963016455,0.679337838534491,0.531612883697345,"upregulated",2.67068132877007,0.00756974736918207,0.0702159324934475,1,1,0.103723005717796,0.147961114295663,0.0638873250271337,0.0638873250271337,0.0638873250271337,0.591572057703171,0.583941224188833,1,1.19458529546898,1.19458529546898,1.19458529546898,0.63505693374671,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.254368737751032,8309.26248650692,5813.45767809634,4654.95086802333,5138.35901236965,3078.71863980529,2393.72637421903,3675.05649373175,3729.88886400764,3392.66541926143,3669.87718043363,0.0764259241578617,0.0737272903075206,0.0774387478091854,7,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","161605","161605","Mdh1",4078.74181350871,0.104172038308033,0.0449478343837887,"upregulated",0.304850852371685,0.760479749138,0.908973730430563,1,1,0.00437633523401673,0.0130794548049259,0.832488669890803,0.832488669890803,0.832488669890803,0.994773436815446,0.948155635581285,1,0.0796216684971839,0.0796216684971839,0.0796216684971839,0.00357882156897235,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.341714768049993,6797.26619906441,4431.31408848887,3583.41195953886,4584.64782999544,1731.77923489048,2998.30734596608,6270.66124746363,4337.14094572678,2952.61258245346,3100.27670149905,0.145253578980912,0.0738935545071198,0.139983565048705,8,FALSE
"RT4_ZT10","Lead_RawEVS","Lead","308159","308159","Gabbr1",5058.37259583999,0.50005937625022,0.409117962733012,"upregulated",2.58708654644872,0.00967912775337592,0.0839898505051007,1,1,0.00484819996828461,0.0141335569854702,0.0726591440271303,0.0726591440271303,0.0726591440271303,0.628861303103405,0.614823143091456,1,1.13870972271998,1.13870972271998,1.13870972271998,0.465866601903472,0.0229484284932837,1.63924704956303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.193290547985976,7179.92390093077,6272.02792491425,4291.96343289986,4556.8865583176,7330.53524408812,4724.01705761235,3982.59260199382,4449.69197811438,4372.13786247916,3423.94939704962,0.0361934274447994,0.0734333546013557,0.0446433368590301,9,FALSE
