"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank","in_treatment_leading_edge","in_control_leading_edge","in_leading_edge_union","in_remainder"
"158393","Med28",0.000974179595093907,0.000974179595093907,25884,"Med28",-0.00955893599971485,0.00955893599971485,3532,"Med28",14708,TRUE,TRUE,TRUE,FALSE
"332785","Frmd5",-0.00247389997867725,0.00247389997867725,18811,"Frmd5",-0.00475736569385876,0.00475736569385876,10609,"Frmd5",14710,TRUE,TRUE,TRUE,FALSE
"312769","LOC108353239",-0.0251872593350534,0.0251872593350534,4,"LOC108353239",0.000254566036256595,0.000254566036256595,29420,"LOC108353239",14712,TRUE,TRUE,TRUE,FALSE
"341362","Miga2",0.00474446766979801,0.00474446766979801,11732,"Miga2",-0.00247280874611115,0.00247280874611115,17691,"Miga2",14712,TRUE,TRUE,TRUE,FALSE
"125346","Mtif3",-0.00214465021498258,0.00214465021498258,20114,"Mtif3",0.00535535419712988,0.00535535419712988,9309,"Mtif3",14712,TRUE,TRUE,TRUE,FALSE
"496376","Rbfox2",-0.00857192404697181,0.00857192404697181,4279,"Rbfox2",-0.0010684219393845,0.0010684219393845,25149,"Rbfox2",14714,TRUE,TRUE,TRUE,FALSE
"323334","Ndufa8",-0.00731026965447018,0.00731026965447018,6155,"Ndufa8",0.00133233958938513,0.00133233958938513,23272,"Ndufa8",14714,TRUE,TRUE,TRUE,FALSE
"249165","Tmx3",-0.00719692171141074,0.00719692171141074,6395,"Tmx3",-0.00137936162430649,0.00137936162430649,23033,"Tmx3",14714,TRUE,TRUE,TRUE,FALSE
"462686","Slc8a3",0.00282566133842606,0.00282566133842606,17368,"Slc8a3",-0.00412414157713162,0.00412414157713162,12059,"Slc8a3",14714,TRUE,TRUE,TRUE,FALSE
"499207","Pdzrn4",-0.00931372960965206,0.00931372960965206,3401,"Pdzrn4",0.000891888398981946,0.000891888398981946,26031,"Pdzrn4",14716,TRUE,TRUE,TRUE,FALSE
"205089","Slc27a1",-0.005362643433734,0.005362643433734,10399,"Slc27a1",-0.002146629805293,0.002146629805293,19034,"Slc27a1",14716,TRUE,TRUE,TRUE,FALSE
"435751","Usp48",-0.00480276920629213,0.00480276920629213,11597,"Usp48",0.00243451066366887,0.00243451066366887,17834,"Usp48",14716,TRUE,TRUE,TRUE,FALSE
"200468","Fut10",-0.0146297584532291,0.0146297584532291,389,"Fut10",-0.000324254245732397,0.000324254245732397,29045,"Fut10",14717,TRUE,TRUE,TRUE,FALSE
"375867","Atp2b2",0.00916035422885119,0.00916035422885119,3572,"Atp2b2",0.000924800600951935,0.000924800600951935,25865,"Atp2b2",14718,TRUE,TRUE,TRUE,FALSE
"4126","Rgs17",-0.001740782018197,0.001740782018197,21930,"Rgs17",0.00644232521905329,0.00644232521905329,7505,"Rgs17",14718,TRUE,TRUE,TRUE,FALSE
"414982","-",-0.00164433605980731,0.00164433605980731,22434,"-",0.00671723138572746,0.00671723138572746,7002,"-",14718,TRUE,TRUE,TRUE,FALSE
"285586","LOC102549789",0.00793322385612658,0.00793322385612658,5099,"LOC102549789",0.00117007428236461,0.00117007428236461,24340,"LOC102549789",14720,TRUE,TRUE,TRUE,FALSE
"269657","Ralyl",0.00791150685303739,0.00791150685303739,5124,"Ralyl",0.00117554385026853,0.00117554385026853,24316,"Ralyl",14720,TRUE,TRUE,TRUE,FALSE
"111540","Mrps6",0.00354738724454288,0.00354738724454288,15087,"Mrps6",0.0033034366123475,0.0033034366123475,14352,"Mrps6",14720,TRUE,TRUE,TRUE,FALSE
"522768","Ube2q2",-0.00437201098108387,0.00437201098108387,12734,"Ube2q2",-0.00267290226962134,0.00267290226962134,16710,"Ube2q2",14722,TRUE,TRUE,TRUE,FALSE
"25956","LOC690183",-0.00215775117141638,0.00215775117141638,20082,"LOC690183",-0.00533211241008579,0.00533211241008579,9362,"LOC690183",14722,TRUE,TRUE,TRUE,FALSE
"7207","LOC108349515",0.00268551707282105,0.00268551707282105,18073,"LOC108349515",-0.00442961518400634,0.00442961518400634,11376,"LOC108349515",14724,TRUE,TRUE,TRUE,FALSE
"224332","Fam120a",-0.00100851884677789,0.00100851884677789,25714,"Fam120a",0.00932742219297911,0.00932742219297911,3735,"Fam120a",14724,TRUE,TRUE,TRUE,FALSE
"5726","Fam120b",-0.000686110938735338,0.000686110938735338,27366,"Fam120b",-0.0110995287702186,0.0110995287702186,2082,"Fam120b",14724,TRUE,TRUE,TRUE,FALSE
"27144","Gda",-0.0102724828959916,0.0102724828959916,2448,"Gda",0.000699823219457834,0.000699823219457834,27002,"Gda",14725,TRUE,TRUE,TRUE,FALSE
"185726","Cadps",-0.00874783381179882,0.00874783381179882,4079,"Cadps",-0.00102713186259939,0.00102713186259939,25371,"Cadps",14725,TRUE,TRUE,TRUE,FALSE
"579261","-",-0.0006864668136881,0.0006864668136881,27363,"-",-0.0110965890402811,0.0110965890402811,2087,"-",14725,TRUE,TRUE,TRUE,FALSE
"350823","Eif2ak4",0.0109977904570234,0.0109977904570234,1832,"Eif2ak4",0.00059227080146673,0.00059227080146673,27621,"Eif2ak4",14726,TRUE,TRUE,TRUE,FALSE
