"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.005,153,0.29712769571243,0.0390292574743643,153,154,0.209121630584495,0.0489159269839529,155,154,0.506249326296925,0.0879451844583173,0.418304141838608,155
0.01,305,0.329611591956321,0.0538583173781495,153,308,0.222659124637412,0.0796613174997132,155,306,0.552270716593733,0.133519634877863,0.41875108171587,155
0.015,458,0.158844099739353,0.0570394856497603,153,462,0.149488290574573,0.0717023380492529,155,460,0.308332390313926,0.128741823699013,0.179590566614913,155
0.02,611,0.262327339669391,0.117640698944692,153,616,0.178913605844331,0.114275491828099,155,614,0.441240945513721,0.231916190772792,0.20932475474093,155
0.025,763,0.129636252410184,0.132308316172268,153,770,0.198606577243713,0.069517558334974,155,766,0.328242829653897,0.201825874507242,0.126416955146655,155
0.03,916,0.208900280582714,0.124943509327228,153,924,0.0815464464750081,0.129810226506132,155,920,0.290446727057722,0.254753735833361,0.0356929912243614,155
0.035,1069,0.293355904753145,0.20449760142715,153,1077,0.215610519975571,0.177937686775914,155,1073,0.508966424728716,0.382435288203064,0.126531136525652,155
0.04,1221,0.252886931146885,0.157659818408119,153,1231,0.261825404938394,0.142655136386536,155,1226,0.514712336085279,0.300314954794655,0.214397381290624,155
0.045,1374,0.143577089540586,0.284641936643617,153,1385,0.231827619050232,0.0942385109655168,155,1380,0.375404708590818,0.378880447609134,-0.00347573901831555,155
0.05,1527,0.282915796568994,0.306449247886643,153,1539,0.290843850729145,0.156501780412405,155,1533,0.57375964729814,0.462951028299048,0.110808618999092,155
0.055,1679,0.297057968888806,0.286159550857546,153,1693,0.136712206383575,0.102550521935324,155,1686,0.433770175272381,0.38871007279287,0.0450601024795109,155
0.06,1832,0.286715929963141,0.374108241318431,153,1847,0.134946447618526,0.100889196060387,155,1840,0.421662377581668,0.474997437378818,-0.05333505979715,155
0.065,1985,0.115310012318753,0.123204449422273,153,2001,0.54757557718256,0.0754143572978829,155,1993,0.662885589501313,0.198618806720155,0.464266782781157,155
0.07,2137,0.334828810473423,0.382732939513799,153,2155,0.217029983230599,0.157296988474423,155,2146,0.551858793704022,0.540029927988222,0.0118288657157992,155
0.075,2290,0.306476777500658,0.17153539383501,153,2309,0.442405977685976,0.130253895152158,155,2300,0.748882755186633,0.301789288987168,0.447093466199465,155
0.08,2443,0.242595888983145,0.403137412337856,153,2463,0.220904640649993,0.0880457222997935,155,2453,0.463500529633139,0.491183134637649,-0.0276826050045106,155
0.085,2595,0.172310123243878,0.139238592367022,153,2617,0.452682733355872,0.342408964711259,155,2606,0.62499285659975,0.481647557078281,0.143345299521469,155
0.09,2748,0.281842469485873,0.342094043693213,153,2771,0.250820440859758,0.27499934342524,155,2760,0.532662910345631,0.617093387118453,-0.084430476772822,155
0.095,2901,0.275070627068343,0.131204675063456,153,2925,0.477545614030386,0.207236071437151,155,2913,0.752616241098729,0.338440746500608,0.414175494598121,155
0.1,3054,0.25805078380662,0.164450941675903,153,3078,0.71012318532541,0.432940512524056,155,3066,0.96817396913203,0.597391454199959,0.370782514932071,155
0.105,3206,0.370148732164653,0.334449386687233,153,3232,0.551709032889627,0.27029806195916,155,3219,0.92185776505428,0.604747448646394,0.317110316407886,155
0.11,3359,0.438444635394683,0.24559227008186,153,3386,0.156103007091191,0.242667212819928,155,3372,0.594547642485874,0.488259482901788,0.106288159584086,155
0.115,3512,0.466397142772801,0.249424955200186,153,3540,0.322180283418435,0.101552361590166,155,3526,0.788577426191236,0.350977316790352,0.437600109400884,155
0.12,3664,0.177594237159073,0.207560306854663,153,3694,0.233726154102949,0.224033491283311,155,3679,0.411320391262022,0.431593798137974,-0.0202734068759515,155
0.125,3817,0.352815362839034,0.365645324657058,153,3848,0.457484845173367,0.364876718959314,155,3832,0.810300208012402,0.730522043616372,0.0797781643960292,155
0.13,3970,0.547619497301807,0.485519766756328,153,4002,0.708697741817488,0.0743617569329996,155,3986,1.2563172391193,0.559881523689328,0.696435715429968,155
0.135,4122,0.548191477323575,0.115211300708659,153,4156,0.313019107484151,0.179671711526834,155,4139,0.861210584807726,0.294883012235493,0.566327572572233,155
0.14,4275,0.430452635663845,0.268233532040482,153,4310,0.698134037106085,0.270506869485888,155,4292,1.12858667276993,0.53874040152637,0.58984627124356,155
0.145,4428,0.0513555496564561,0.385907647749736,153,4464,0.570152259632489,0.472906977630168,155,4446,0.621507809288945,0.858814625379903,-0.237306816090958,155
0.15,4580,0.2051560232373,0.297724180914859,153,4618,0.430008215309917,0.396356522879625,155,4599,0.635164238547217,0.694080703794484,-0.0589164652472673,155
0.155,4733,0.459441990303578,0.328110536769407,153,4772,0.541566387700779,0.142390471081284,155,4752,1.00100837800436,0.470501007850691,0.530507370153666,155
0.16,4886,0.477046490519964,0.326397214278815,153,4926,0.38254454924113,0.197636945910675,155,4906,0.859591039761094,0.524034160189489,0.335556879571605,155
0.165,5038,0.656621514103709,0.315259836312732,153,5080,0.413131461244901,0.311882944921906,155,5059,1.06975297534861,0.627142781234638,0.442610194113972,155
0.17,5191,0.226727948821163,0.506279136724129,153,5233,0.580884713783827,0.106623396627434,155,5212,0.80761266260499,0.612902533351564,0.194710129253426,155
0.175,5344,0.938244944211881,0.32815203452177,153,5387,0.479611425857424,0.190785846234768,155,5366,1.4178563700693,0.518937880756538,0.898918489312767,155
