"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
11935,"315535",0.00222945281480488,97.6,900.8,97.6,803.2,0.0843187315237839,8.22950819672131,4.59107126160859,6.68984799446317,2.09877673285458,2.22240576396638,0.413278046808179,900.8,6.80439276598698,2.69462718077007,0,0
11936,"173795",0.00222985287975818,11,125,11,114,0.942148760330578,10.3636363636364,2.484906649788,4.74493212836325,2.26002547857525,2.43041846450393,0.44928008859349,125,4.83628190695148,2.69462718077007,0,0
11937,"365048",0.00223011340177983,71.8,304.2,71.8,232.4,0.0450803454349361,3.23676880222841,4.28771595520264,5.45275371985246,1.16503776464982,1.44380090377101,0.36860908643134,304.2,5.7209672994103,2.69462718077007,0,0
11938,"40848",0.00223020935248417,3.8,8.2,3.8,4.4,0.304709141274238,1.15789473684211,1.56861591791385,1.68639895357023,0.117783035656383,0.769133087537867,0.3528454120187,8.2,2.21920348405499,2.69462718077007,0,0
11939,"543612",0.00223037382849627,3.6,6.3,3.6,2.7,0.208333333333333,0.75,1.52605630349505,1.30833281965018,-0.217723483844871,0.559615787935423,0.337874288743306,6.3,1.98787434815435,2.69462718077007,0,0
11940,"400259",0.00223048293722325,104.2,329.7,104.2,225.5,0.0207687858503321,2.16410748560461,4.65586330030361,5.42274494492309,0.766881644619479,1.15187102075842,0.34457543707615,329.7,5.80121161998775,2.69462718077007,0,0
11941,"199557",0.00223124588925263,25.2,278.2,25.2,253,0.398400100781053,10.0396825396825,3.26575941076705,5.53733426701854,2.27157485625149,2.40149628497196,0.439323968170405,278.2,5.63192837088822,2.69462718077007,0,0
11942,"94186",0.00223125253338701,625.8,42210.7,625.8,41584.9,0.106185335566895,66.4507829977629,6.44062751048187,10.6355164464877,4.19488893600587,4.21139819115218,0.5057941833453,42210.7,10.6504527127819,2.484906649788,0,0
11943,"206169",0.00223128922107942,6.8,7.2,6.8,0.4,0.00865051903114188,0.0588235294117648,2.05412373369555,0.336472236621213,-1.71765149707433,0.0571584138399487,0.27386424906166,7.2,2.10413415427021,2.484906649788,0,0
11944,"56270",0.00223141868316535,3.2,19.7,3.2,16.5,1.611328125,5.15625,1.43508452528932,2.86220088092947,1.42711635564015,1.81746782593826,0.421126134488304,19.7,3.03013370027132,2.484906649788,0,0
11945,"359652",0.0022317765089984,15.2,97.2,15.2,82,0.354916897506925,5.39473684210526,2.78501124223834,4.4188406077966,1.63382936555826,1.85547528361416,0.411766602609875,97.2,4.58700621536042,2.39789527279837,0,0
11946,"170153",0.00223178538123449,3,3.5,3,0.5,0.0555555555555556,0.166666666666667,1.38629436111989,0.405465108108164,-0.980829253011726,0.154150679827258,0.306257603606999,3.5,1.50407739677627,2.33214389523559,0,0
11947,"379315",0.00223178538123449,3,3.5,3,0.5,0.0555555555555556,0.166666666666667,1.38629436111989,0.405465108108164,-0.980829253011726,0.154150679827258,0.306257603606999,3.5,1.50407739677627,2.21920348405499,0,0
11948,"434880",0.00223194667894964,6.4,13.8,6.4,7.4,0.1806640625,1.15625,2.00148000021012,2.12823170584927,0.126751705639144,0.768370601797533,0.347812267799819,13.8,2.69462718077007,2.21920348405499,0,0
11949,"236608",0.00223196249844763,57.6,365.3,57.6,307.7,0.0927432966820988,5.34201388888889,4.07073469658297,5.73236993150811,1.66163523492515,1.84719636609939,0.396689350228913,365.3,5.90345266978477,2.10413415427021,0,0
