"dense_rank","dense_smooth_log1p_empirical_variance","dense_d2"
1,-0.628663294218554,-1.32820687186512e-07
1.24999409574342,-0.628255786673071,-1.31516154341158e-07
1.49998819148685,-0.627848287346959,-1.30211621495805e-07
1.74998228723027,-0.62744079615869,-1.28907088650452e-07
1.9999763829737,-0.627033313026733,-1.27602555805098e-07
2.24997047871712,-0.626625837869558,-1.26298022959745e-07
2.49996457446055,-0.626218370605638,-1.24993490114391e-07
2.74995867020397,-0.625810911153441,-1.23688957269038e-07
2.9999527659474,-0.625403459431439,-1.22384424423684e-07
3.24994686169082,-0.624996015358103,-1.21079891578331e-07
3.49994095743425,-0.624588578851902,-1.19775358732977e-07
3.74993505317767,-0.624181149831307,-1.18470825887624e-07
3.9999291489211,-0.62377372821479,-1.1716629304227e-07
4.24992324466452,-0.623366313920819,-1.15861760196917e-07
4.49991734040795,-0.622958906867867,-1.14557227351563e-07
4.74991143615137,-0.622551506974404,-1.1325269450621e-07
4.99990553189479,-0.622144114158899,-1.11948161660856e-07
5.24989962763822,-0.621736728339824,-1.10643628815503e-07
5.49989372338164,-0.62132934943565,-1.0933909597015e-07
5.74988781912507,-0.620921977364845,-1.08034563124796e-07
5.99988191486849,-0.620514612045883,-1.06730030279443e-07
6.24987601061192,-0.620107253397232,-1.05425497434089e-07
6.49987010635534,-0.619699901337363,-1.04120964588736e-07
6.74986420209877,-0.619292555784747,-1.02816431743382e-07
6.99985829784219,-0.618885216657855,-1.01511898898029e-07
7.24985239358562,-0.618477883875157,-1.00207366052675e-07
7.49984648932904,-0.618070557355123,-9.89028332073218e-08
7.74984058507246,-0.617663237016225,-9.75983003619683e-08
7.99983468081589,-0.617255922776932,-9.62937675166148e-08
8.24982877655932,-0.616848614555715,-9.49892346712613e-08
8.49982287230274,-0.616441312271045,-9.36847018259079e-08
8.74981696804616,-0.616034015841392,-9.23801689805544e-08
8.99981106378959,-0.615626725185228,-9.1075636135201e-08
9.24980515953301,-0.615219440221021,-8.97711032898419e-08
9.49979925527644,-0.614812160867244,-8.8466570444494e-08
9.74979335101986,-0.614404887042366,-8.71620375991405e-08
9.99978744676329,-0.613997618664858,-8.58575047537871e-08
10.2497815425067,-0.61359035565319,-8.45529719084336e-08
10.4997756382501,-0.613183097925834,-8.32484390630802e-08
10.7497697339936,-0.612775845401259,-8.19439062177266e-08
10.999763829737,-0.612368597997937,-8.06393733723732e-08
11.2497579254804,-0.611961355634338,-7.93348405270197e-08
11.4997520212238,-0.611554118228931,-7.80303076816663e-08
11.7497461169673,-0.611146885700189,-7.67257748363076e-08
11.9997402127107,-0.610739657966581,-7.54212419909593e-08
12.2497343084541,-0.610332434946578,-7.41167091456058e-08
12.4997284041975,-0.609925216558651,-7.28121763002524e-08
12.749722499941,-0.60951800272127,-7.15076434548989e-08
12.9997165956844,-0.609110793352905,-7.02031106095454e-08
13.2497106914278,-0.608703588372027,-6.8898577764192e-08
13.4997047871712,-0.608296387697108,-6.75940449188385e-08
13.7496988829147,-0.607889191246616,-6.6289512073485e-08
13.9996929786581,-0.607481998939023,-6.49849792281316e-08
14.2496870744015,-0.6070748106928,-6.36804463827781e-08
14.4996811701449,-0.606667626426416,-6.23759135374246e-08
14.7496752658884,-0.606260446058343,-6.10713806920712e-08
14.9996693616318,-0.605853269507051,-5.97668478467124e-08
15.2496634573752,-0.605446096691011,-5.84623150013642e-08
15.4996575531186,-0.605038927528692,-5.71577821560107e-08
15.7496516488621,-0.604631761938567,-5.585324931066e-08
