"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_standard_call","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT4_ZT10_remainder_dataset","21951","Coro1a",311.143964684386,-0.568577336756596,"downregulated",0.290906182875932,0.00107227532872401,0.0395341913881631,0.00346581072190077,0.120157281170639,1.39881121144619,0.0433778765028312,1.36273171201928,0.150648625415454,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"weak_effect",-0.594454072483462,0.181743399456375,-3.27084270604365,FALSE,FALSE,2.96969368629183,1,0.150648625415454,FALSE,FALSE,191.433564939416,232.074331332729,366.488671841326,175.86020362127,281.61474793589,414.69846736305,297.668234612562,384.238691390956,408.482353584217,358.880380222443,0.0517367282639636,0.0221358587409119,0.036248517560219,9,FALSE,1.40302713960962,2.46019515907122
"RT4_ZT10_remainder_dataset","262296","Ntpcr",39.7053515661235,0.780153185924253,"upregulated",0.442940697660586,0.00308418479199655,0.0806280577667622,0.0081788704625807,0.200801001190527,1.62841894870721,0.0433778765028312,1.36273171201928,0.72564272455605,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.873070928092793,0.295034104727593,2.95922035487695,FALSE,FALSE,2.51085960865607,1,0.72564272455605,TRUE,FALSE,50.2843926338559,52.4038812686807,61.0814453068877,64.6116217724557,26.8204521843705,34.8937221729427,18.4013090487766,21.9934604499874,27.3333916896502,39.2298391336274,0.0619337118352131,0.0821740119983377,0.0732968252322708,7,FALSE,1.09351380170799,2.08730667013557
"RT4_ZT10_remainder_dataset","80797","Usp36",30.0214671451718,1.1817861078263,"upregulated",0.16005325721261,0.000170865920538125,0.0111444477816973,0.000782291410797331,0.0482796295564412,3.67137387566295,0.0433778765028312,1.36273171201928,0.942576854559685,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.40818147528363,0.374655728643483,3.75860121072279,TRUE,TRUE,3.76734454932218,1,0.942576854559685,FALSE,TRUE,50.2843926338559,40.5139250144422,55.3994503946191,51.0091750835176,20.1153391382779,5.3682649496835,16.2364491606852,15.5247956117558,16.7037393658973,29.0591400989833,0.129401390486554,0.112974552126718,0.119181504222818,6,FALSE,1.95294144636754,3.10663143808301
"RT4_ZT10_remainder_dataset","152451","Idua",36.9167357708585,1.13535311207713,"upregulated",0.617964641387367,0.00657159178043754,0.126784358538802,0.0151467961278247,0.276370038303502,2.06597846545806,0.0433778765028312,1.36273171201928,0.970020260466849,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",2.00263061527396,0.736855016508432,2.71780821248035,TRUE,TRUE,2.18232942226219,1,0.970020260466849,FALSE,TRUE,65.2814921913217,52.8442500188377,42.6149618420147,45.6653567414348,88.5074922084226,12.0785961367879,4.32971977618272,0,27.3333916896502,30.5120971039324,0.599787746218539,0.0889551560456324,0.599787746218539,9,TRUE,0.89693432231626,1.81967922004314
"RT4_ZT10_remainder_dataset","432508","Eri3",41.4580662828602,1.10061384771036,"upregulated",0.351393651151555,0.00149322973229692,0.0492238337790841,0.00453512326361638,0.14088300345289,2.57919049227841,0.0433778765028312,1.36273171201928,0.917063222297903,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.39327416963621,0.438688883158364,3.17599607176107,TRUE,TRUE,2.82587337124779,1,0.917063222297903,FALSE,TRUE,67.4869480085961,48.0001937671109,73.8659338594921,23.8042817056416,87.1664695992041,10.736529899367,9.74186949641113,21.9934604499874,13.6666958448251,58.1182801979665,0.346642656711732,0.0785155403909681,0.194902705926334,10,FALSE,1.30782456445969,2.34341090441846
"RT4_ZT10_remainder_dataset","531969","Tmem42",55.3794425288474,-0.961453979505955,"downregulated",0.628170813715113,0.012805346165959,0.187164665119104,0.0261153882985183,0.360906795593766,1.5220811720057,0.0433778765028312,1.36273171201928,0.87882190826187,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-1.35112377216919,0.542808028579048,-2.48913741328797,TRUE,FALSE,1.89260867678682,1,0.87882190826187,TRUE,FALSE,42.3447516916682,22.458806258006,51.1379542104176,32.0629100524968,8.04613565531115,32.209589698101,125.561873509299,104.792370379352,34.9260004923308,100.254033341492,0.33258355171071,0.0588394819912183,0.33258355171071,9,TRUE,0.727776138462575,1.58310351244042
"RT4_ZT10_remainder_dataset","415264","Kpna6",52.5102649120815,-0.773876043578697,"downregulated",0.287099708860738,0.000881048681462324,0.0344091018483569,0.0029550996140939,0.109091810212573,1.95746363627492,0.0433778765028312,1.36273171201928,0.707012602464719,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-0.842735107238513,0.253378672161794,-3.32599070019748,FALSE,FALSE,3.05500009441842,1,0.707012602464719,TRUE,FALSE,34.8462019129353,32.5872875116166,42.6149618420147,27.6906950453381,53.640904368741,49.6564507845723,62.7809367546495,63.3929154146695,56.1853051398365,101.706990346441,0.0512934078697561,0.0619420293363933,0.0568786512860093,9,FALSE,1.46332666325217,2.52942787480908
"RT4_ZT10_remainder_dataset","486523","Gng7",53.160113084965,2.06641804584946,"upregulated",3.2703135078454e-08,2.6467815409234e-15,1.13361653397749e-11,1.5958345755962e-12,6.46737746433463e-09,24.3775587518556,0.0433778765028312,1.36273171201928,0.999999997185362,0.0196065276922886,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",2.30430262176228,0.291443245385128,7.90652265320904,TRUE,TRUE,12,0.0196065276922886,0.999999997185362,FALSE,TRUE,122.182252277001,96.0003875342218,76.7069313156264,72.3844484518489,73.7562435070189,6.71033118710437,18.4013090487766,18.1122615470484,19.7407828869696,27.6061830940341,0.0599160494247066,0.0612060984150183,0.0607023350916355,5,FALSE,10.9455338284603,11.7970121296703
"RT4_ZT10_remainder_dataset","536416","Actr1b",46.7300781896977,1.06016882823342,"upregulated",0.228234215256684,0.000713786733008196,0.0301692293829681,0.00249113661363731,0.0990259464588314,2.76025816406457,0.0433778765028312,1.36273171201928,0.887880330059088,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.26219337258495,0.372963443911296,3.38422811455254,TRUE,TRUE,3.14643152843819,1,0.887880330059088,FALSE,TRUE,68.8102214989608,88.0737500313961,68.1839389472235,56.8387950930625,46.9357913226484,10.736529899367,30.3080384332791,9.05613077352421,27.3333916896502,61.0241942078648,0.241711158568651,0.0695123568453234,0.136781284970767,11,FALSE,1.52043578293071,2.60360245515239
"RT4_ZT10_remainder_dataset","63713","Mettl22",51.4873519386654,0.881338039870689,"upregulated",0.314293578815843,0.00125835365379129,0.0438767601019385,0.0039466334202598,0.129744176657578,2.11853676990934,0.0433778765028312,1.36273171201928,0.763612916579487,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.996949266040343,0.309101632817141,3.22531219571435,FALSE,FALSE,2.90019728551617,1,0.763612916579487,TRUE,FALSE,76.3087712776937,68.697525024489,45.455959298149,52.9523817533659,99.2356730821708,57.7088482090976,18.4013090487766,36.2245230940969,41.0000875344753,18.8884410643391,0.124844584524868,0.0631430186538572,0.0894943263789625,10,FALSE,1.35776544859501,2.40377321081043
