"rank_index","n_leading_edge","n_remainder","leading_mean_abs","leading_sd_dev","leading_skew_abs","leading_p_uniform_deviation","leading_distortion","remainder_mean_abs","remainder_sd_dev","remainder_skew_abs","remainder_p_uniform_deviation","remainder_distortion","total_distortion","split_score"
3037,3037,28621,0.160373644057561,0.701264144191213,0.159089697081952,0.0298658910231908,0.97104852781294,0.106391114270192,0.263247358779727,0.0613116147453395,0.0166419157647241,0.416936196187313,1.38798472400025,-1.38798472400025
3062,3062,28596,0.15474360170627,0.70447631730796,0.151887738376223,0.0251727646370398,0.960336552839381,0.106021479680688,0.262435528983352,0.0604770461231735,0.0166349508228786,0.415330482548505,1.37566703538789,-1.37566703538789
3087,3087,28571,0.152907097830718,0.701663548635362,0.151006471514508,0.0302365246233935,0.960310406846727,0.10605122451184,0.26240814822341,0.0607815363070705,0.0166094473680644,0.41545958825685,1.37576999510358,-1.37576999510358
3112,3112,28546,0.152624199755357,0.701395352873012,0.156321860254688,0.0299041839149833,0.962084666670696,0.106247174180727,0.261978885067273,0.0622747504743096,0.0242062355833941,0.423569670068549,1.38565433673924,-1.38565433673924
3137,3137,28521,0.148921899120887,0.700349936064331,0.153795282497537,0.0302576627705549,0.956427139204542,0.10606687430548,0.261741200910639,0.0624746397168752,0.0245775803065096,0.423622975381066,1.38005011458561,-1.38005011458561
3162,3162,28496,0.151724972921078,0.699729270398439,0.150637483842566,0.0297702664882725,0.956543251729072,0.106601617381415,0.261296269924297,0.0610361031832002,0.0244278042938368,0.422843743191149,1.37938699492022,-1.37938699492022
3187,3187,28471,0.148668583500172,0.697542951128631,0.150859606756437,0.029760504400936,0.951401842407957,0.106486322929978,0.261220282815064,0.0618929406374856,0.0244607348680203,0.423113810931805,1.37451565333976,-1.37451565333976
3212,3212,28446,0.145300242529328,0.696068957979233,0.152867266642761,0.0299786828030961,0.947781516633038,0.106330229330259,0.261048062767366,0.0632825550372439,0.0244795979720158,0.423499167588263,1.3712806842213,-1.3712806842213
3237,3237,28421,0.14039484882777,0.706985523300828,0.195553184724834,0.0309803562825791,0.976137320773594,0.105992873233871,0.25900883639922,0.0760499158408535,0.0245270455522161,0.427553713105733,1.40369103387933,-1.40369103387933
3262,3262,28396,0.1360339575293,0.706529909808715,0.189977794603424,0.0308218084091418,0.968374573048869,0.105708835539686,0.258691059284437,0.0756337308080679,0.0243522610852837,0.426569021313441,1.39494359436231,-1.39494359436231
3287,3287,28371,0.137519927061498,0.704945302218911,0.187495318441915,0.0307364010071945,0.966949289508562,0.106094015888601,0.258421226433471,0.0747361173270809,0.0242540046817674,0.42613730566738,1.39308659517594,-1.39308659517594
3312,3312,28346,0.132645387198338,0.708181522639942,0.202332680301106,0.0315375560038774,0.973530805992711,0.105739322900065,0.257532877371606,0.0803167442571085,0.0243018013292196,0.427732373729445,1.40126317972216,-1.40126317972216
3337,3337,28321,0.133936453323614,0.704554353307603,0.202805484465155,0.0251639969211827,0.965057545784977,0.106101877379515,0.257594629508919,0.0803597191157066,0.0244066992895428,0.428283065735831,1.39334061152081,-1.39334061152081
3362,3362,28296,0.137181628670871,0.706193947543483,0.189737659014856,0.025428390531835,0.963672796253617,0.106699532093435,0.256770690277258,0.0758430117563423,0.0244919314718305,0.425883659720695,1.38955645597431,-1.38955645597431
3387,3387,28271,0.135980453355209,0.703751826299265,0.189728402375684,0.0253016010228281,0.959898081865144,0.106771289308424,0.256705934407044,0.0763226476291136,0.0245565250137066,0.426195072543731,1.38609315440888,-1.38609315440888
3412,3412,28246,0.135211388780347,0.703769416417695,0.191495460305824,0.0318420173780012,0.966570552728955,0.106893244460911,0.256234060990993,0.077184131756773,0.024555398975542,0.426274770305833,1.39284532303479,-1.39284532303479
3437,3437,28221,0.132087635519354,0.705145171528755,0.208872345794599,0.0314179068386967,0.973086886784105,0.106727278544502,0.255591699656563,0.0833901078769024,0.0246176758360505,0.428631707975566,1.40171859475967,-1.40171859475967
3462,3462,28196,0.136758491422034,0.70660003561796,0.199406498964439,0.0313208649345065,0.97438264145672,0.10751252737365,0.254748277717017,0.0794666784429096,0.0246917599687125,0.426685904280835,1.40106854573755,-1.40106854573755
3487,3487,28171,0.135472749365286,0.705346569415372,0.196568173858989,0.0312135026661093,0.970316908376261,0.107570153759579,0.254495740121406,0.0790971551904378,0.0247346274671477,0.426349098943352,1.39666600731961,-1.39666600731961
3512,3512,28146,0.137316011587434,0.705832255605761,0.191914424525807,0.0309620339111329,0.970067513367231,0.108016029177127,0.253875057013731,0.07730429641363,0.0249661228763791,0.425509357274052,1.39557687064128,-1.39557687064128
3537,3537,28121,0.140703066656428,0.707624357000997,0.183202512744945,0.0249159774789822,0.96484465750888,0.108660149755988,0.252988341152458,0.0737326429524967,0.0251663753250424,0.423681187709737,1.38852584521862,-1.38852584521862
3562,3562,28096,0.144362317527027,0.705945977986342,0.181950412191947,0.0320918998242913,0.973375401433633,0.109345953144776,0.252684860366736,0.0725102619977687,0.0249752973230393,0.423261241833436,1.39663664326707,-1.39663664326707
3587,3587,28071,0.144723210833498,0.706172017786826,0.184737049025435,0.032309116662464,0.975572869795506,0.109618021509177,0.252136431686496,0.0733960116587315,0.0249833077532814,0.42343576677832,1.39900863657383,-1.39900863657383
3612,3612,28046,0.140385151907952,0.706502010011707,0.18650857202085,0.0323598010426578,0.972501248972742,0.10928604767938,0.25168978132341,0.0752437642452659,0.0249610468787164,0.423558758004139,1.39606000697688,-1.39606000697688
3637,3637,28021,0.137388465575831,0.702607621717036,0.182884876250616,0.0320003971563421,0.963438922574517,0.109119844895744,0.251953321801561,0.0751034411135535,0.0249144681440563,0.423539355398138,1.38697827797266,-1.38697827797266
3662,3662,27996,0.134162679098499,0.702199255054638,0.181458171917008,0.0313796913441242,0.958470711455766,0.108918025981678,0.251611871485939,0.0756409052222455,0.0251897939135497,0.42354014399229,1.38201085544806,-1.38201085544806
3687,3687,27971,0.128836574442286,0.70470695075125,0.20251990903821,0.031586472128332,0.966389951840974,0.108433226359196,0.250800262972394,0.0841949764958627,0.0251973362373352,0.426528313816857,1.39291826565783,-1.39291826565783
3712,3712,27946,0.129859644396032,0.703259009602221,0.204967604399054,0.0257549611667329,0.961357417364513,0.108781375671739,0.250536415766606,0.0849355213911423,0.0168423228959867,0.418627875029903,1.37998529239442,-1.37998529239442
3737,3737,27921,0.131421387874645,0.701723081621581,0.205691471683825,0.0311673533628783,0.967157558701017,0.10920407761226,0.250276957767135,0.0849508550096703,0.0166468745379289,0.418603337422159,1.38576089612318,-1.38576089612318
3762,3762,27896,0.130613837444916,0.697957162228239,0.204707676154796,0.0245153813587508,0.955440219109305,0.109310818073994,0.250489788286095,0.0850729661838165,0.0251911848897082,0.427528274341705,1.38296849345101,-1.38296849345101
3787,3787,27871,0.130658690369252,0.695177688933681,0.206879229226171,0.0245574950938861,0.953833489009905,0.109532122455338,0.250507017573545,0.0860159024009995,0.0251897765257929,0.428236867755175,1.38207035676508,-1.38207035676508
