"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","gene_symbol"
"20",0.00344609009844564,0.00607135809635737,15279,22769,1.4,2.2,3.8,24.2,1.22448979591837,4.54545454545454,1.4,2.2,2.4,22,1.71428571428571,10,"-"
"25",0.00491974724186247,0.00346903366113377,19744,12344,8,20.8,35.5,151.7,0.4296875,0.302561020710059,8,20.8,27.5,130.9,3.4375,6.29326923076923,"-"
"31",0.00424592428329568,0.00154019095991372,17818,4847,26.6,24.6,186.3,97.3,0.225705240544971,0.120133518408355,26.6,24.6,159.7,72.7,6.00375939849624,2.95528455284553,"Pcmt1"
"35",0.00364962387515268,0.00230387404305889,15936,7271,151.6,142.2,2563.3,4092.2,0.104936090670491,0.195343022347242,151.6,142.2,2411.7,3950,15.9083113456464,27.7777777777778,"Pcmt1"
"37",0.00246183477260198,0.00670200337891512,11226,24317,156.2,120.2,2298.7,6875.7,0.087812991322396,0.467572072059601,156.2,120.2,2142.5,6755.5,13.7163892445583,56.2021630615641,"Pcmt1"
"38",0.00085335077549729,0.00553647623387631,4433,21128,58.6,49.6,264.8,776.3,0.0600472923388741,0.295387291883455,58.6,49.6,206.2,726.7,3.51877133105802,14.6512096774194,"Pcmt1"
"89",0.00190049897640163,0.00369838201726606,8849,13615,55,57.6,435.5,722.8,0.125785123966942,0.200496720679012,55,57.6,380.5,665.2,6.91818181818182,11.5486111111111,"Tab2"
"90",0.00372977843036486,0.00536542830643088,16232,20514,28.8,17.2,209.7,132.7,0.218098958333333,0.390413737155219,28.8,17.2,180.9,115.5,6.28125,6.71511627906977,"Tab2"
"143",0.00924311322590416,0.00355430008808206,28486,12705,26.8,18,442.2,98.5,0.578358208955224,0.248456790123457,26.8,18,415.4,80.5,15.5,4.47222222222222,"Ust"
"214",0.00315405358096654,3.85353860451597e-05,14194,941,4.6,2.8,2.8,10.7,-0.0850661625708885,1.00765306122449,4.6,2.8,0,7.9,-0.391304347826087,2.82142857142857,"LOC365036"
"224",0.00316117090313224,0.00579023409436586,14221,21930,53.6,55.8,582.3,1285.2,0.184026230786367,0.394843334489536,53.6,55.8,528.7,1229.4,9.86380597014925,22.0322580645161,"Sash1"
"304",0.00361293030760234,0.00122356754503924,15797,3935,4.4,1.2,26.3,2.7,1.13119834710744,1.04166666666667,4.4,1.2,21.9,1.5,4.97727272727273,1.25,"Sash1"
"576",0.00991094458885613,0.00642159733351341,29209,23694,3,4.8,27,23.7,2.66666666666667,0.8203125,3,4.8,24,18.9,8,3.9375,"-"
"615",0.00721007424107706,0.0030819404151006,25113,10329,6.8,1.6,37.2,5.3,0.657439446366782,1.4453125,6.8,1.6,30.4,3.7,4.47058823529412,2.3125,"-"
"672",0.00387265758854531,0,16669,1,1.4,0,9.8,0,4.28571428571429,NA,1.4,0,8.4,0,6,NA,"-"
"673",0.00227368426027923,0.0112215929391751,10419,30657,3.6,3.6,15.3,26.3,0.902777777777778,1.75154320987654,3.6,3.6,11.7,22.7,3.25,6.30555555555556,"-"
"708",0.00643015211835378,0.0109762710413492,23492,30475,5.2,5.8,15.2,34.2,0.369822485207101,0.84423305588585,5.2,5.8,10,28.4,1.92307692307692,4.89655172413793,"-"
"774",0.00527291295783332,0.00187447947335643,20729,5816,12.6,4.6,52.3,26.3,0.250062988158226,1.02551984877127,12.6,4.6,39.7,21.7,3.15079365079365,4.71739130434783,"-"
"829",0.00532136361164616,0.0111275355975841,20876,30596,4.2,5.4,22.7,34.8,1.04875283446712,1.0082304526749,4.2,5.4,18.5,29.4,4.4047619047619,5.44444444444444,"-"
"833",0.0134553887761366,0.00440404666926444,31231,16846,6.2,3.6,55.2,11.3,1.27471383975026,0.594135802469136,6.2,3.6,49,7.7,7.90322580645161,2.13888888888889,"Stxbp5"
"842",0.00147175627011369,0.00519907413912538,6872,19963,42.6,28.2,196.3,421.7,0.0846943948511098,0.494819174085811,42.6,28.2,153.7,393.5,3.60798122065728,13.9539007092199,"Stxbp5"
"845",0.00709322287344923,0.00482894213098395,24904,18610,4.2,6.6,33.2,23.8,1.64399092970522,0.39485766758494,4.2,6.6,29,17.2,6.90476190476191,2.60606060606061,"Stxbp5"
"926",0.00947660839965244,0,28745,2,2.2,0,9.2,0,1.44628099173554,NA,2.2,0,7,0,3.18181818181818,NA,"-"
"964",0.00999279652599393,0.00393233037590515,29300,14598,3.4,0.8,27.8,3.2,2.11072664359862,3.75,3.4,0.8,24.4,2.4,7.1764705882353,3,"-"
"969",0.0118265478617953,0.0120113598428559,30635,31053,4.6,4.4,20.8,38.3,0.765595463137996,1.75103305785124,4.6,4.4,16.2,33.9,3.52173913043478,7.70454545454545,"LOC120098778"
"984",0.00253102908337568,0.00345229838874281,11524,12290,15.6,14.8,84.8,38.7,0.284352399737015,0.109112490869248,15.6,14.8,69.2,23.9,4.43589743589744,1.61486486486486,"Grm1"
"986",0.00426208599745629,0.00382200008257425,17861,14133,4.6,3.4,26.3,6.3,1.02551984877127,0.250865051903114,4.6,3.4,21.7,2.9,4.71739130434783,0.852941176470588,"Grm1"
"1106",0.00112590917394956,0.00173276016976727,5516,5379,10.8,5.4,61.2,14.8,0.432098765432099,0.322359396433471,10.8,5.4,50.4,9.4,4.66666666666667,1.74074074074074,"-"
"1110",0.00896130541804195,0,28090,3,1.8,0,16.2,0,4.44444444444444,NA,1.8,0,14.4,0,8,NA,"Epm2a"
"1132",0.000361568548116539,0.00363274926050882,2488,12999,3.4,0.6,6.3,1.8,0.250865051903114,3.33333333333333,3.4,0.6,2.9,1.2,0.852941176470588,2,"-"
"1137",0.00259996686951257,0.00129261775696933,11928,4177,71.8,66.8,517.7,295.7,0.0864945181989587,0.0512971063860303,71.8,66.8,445.9,228.9,6.21030640668524,3.42664670658683,"Utrn"
"1138",0.00491996790949658,0.00178380256131389,19745,5529,2.4,3.8,6.3,17.2,0.677083333333333,0.92797783933518,2.4,3.8,3.9,13.4,1.625,3.52631578947368,"Utrn"
"1272",0.00630565434849749,0.00941353680468229,23253,29009,2.8,3.6,6.7,36.8,0.497448979591837,2.56172839506173,2.8,3.6,3.9,33.2,1.39285714285714,9.22222222222222,"-"
"1282",0.00543522278854033,0.00542078913887945,21323,20705,11.6,8.4,128.8,26.3,0.870986920332937,0.253684807256236,11.6,8.4,117.2,17.9,10.1034482758621,2.13095238095238,"Ltv1"
"1293",0.00124393792709646,0.0020300752527521,5972,6316,9.8,12.6,19.7,29.8,0.103082049146189,0.108339632149156,9.8,12.6,9.9,17.2,1.01020408163265,1.36507936507937,"Phactr2"
"1295",0.000820537988610619,0.00882460193561871,4315,28272,16.8,20.4,88.2,340.3,0.25297619047619,0.768694732795079,16.8,20.4,71.4,319.9,4.25,15.6813725490196,"Phactr2"
"1345",0.0125581398587727,0.00954261775698657,30957,29204,5,6.4,44,71.3,1.56,1.58447265625,5,6.4,39,64.9,7.8,10.140625,"Pex3"
"1346",0.00130684531835155,0.00519476892107829,6204,19954,10,7.4,79,28.3,0.69,0.381665449233017,10,7.4,69,20.9,6.9,2.82432432432432,"Pex3"
"1367",0.000666509017571332,0.00456885636769563,3716,17517,261,239.8,1138.5,15942.2,0.0128814902893381,0.27306603153448,261,239.8,877.5,15702.4,3.36206896551724,65.4812343619683,"Aig1"
"1369",0.0031415240468299,0.00938803591139428,14151,28956,17.6,13.6,150.8,126.3,0.430010330578512,0.609320934256055,17.6,13.6,133.2,112.7,7.56818181818182,8.28676470588235,"Aig1"
"1473",0.00862873129971912,0.00758834158843071,27641,26272,3,4.8,9,24.2,0.666666666666667,0.842013888888889,3,4.8,6,19.4,2,4.04166666666667,"Adgrg6"
"1501",0.0037258359175616,0.00860368826492265,16225,27940,25.6,21.4,238.8,295.3,0.3253173828125,0.598087169185082,25.6,21.4,213.2,273.9,8.328125,12.7990654205607,"Vta1"
"1540",0.00958045969322079,0.0081410874568655,28849,27237,31.6,59.4,1106.3,3019.3,1.07624979971158,0.838888322053305,31.6,59.4,1074.7,2959.9,34.0094936708861,49.8299663299663,"-"
