"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","log_alpha_mu"
"672","-",1,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"926","-",2,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"1110","Epm2a",3,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"4605","-",4,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"6569","Prkcg",5,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"6683","Usp29",6,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"7324","-",7,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"7942","Slc1a5",8,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"7955","Fkrp",9,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"8482","Atp1a3",10,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"8739","Tmem91",11,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"8841","Epc2l1",12,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"9271","Dyrk1b",13,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"9936","Cox6b1",14,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"10986","Zfp819",15,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"10988","LOC103691107",16,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"11527","Snrnp70",17,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"12220","-",18,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"16357","-",19,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"16970","Fes",20,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"17644","-",21,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"18903","Fam168a",22,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"19175","-",23,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"19850","Dennd5a",24,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"21012","Gprc5b",25,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"21102","LOC102551569",26,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"22472","Rusf1",27,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"22831","-",28,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"23669","Ptdss2",29,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24206","Cars",30,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24210","Cars",31,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24797","Rce1",32,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24864","Rbm14",33,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24944","Npas4",34,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"25630","Vegfb",35,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"25923","Rtn3",36,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"26562","Lpxn",37,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"26603","-",38,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"26618","Tle4",39,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"27115","Aldh1a1",40,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"27331","Apba1",41,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"30241","Borcs7",42,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"31694","-",43,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"32791","-",44,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"33631","-",45,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"35074","-",46,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"35207","Adcy2",47,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"35811","Syne1",48,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"36051","-",49,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"36548","-",50,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"36995","-",51,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"37354","Fam120b",52,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"38230","Peg3",53,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"38721","-",54,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"39382","-",55,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"39984","Zfp574",56,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"40007","LOC103691054",57,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"42137","Kcnc3",58,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
