"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","last_local_amplitude_crossing_before_divergence","crossing_81",30366,30366,31553,31545,8
"RT2_ZT8","last_local_amplitude_crossing_before_divergence","crossing_82",30380,30380,31534,31529,5
"RT4_ZT10","last_local_amplitude_crossing_before_divergence","crossing_84",29670,29670,31658,31627,31
"RT8_ZT14","last_local_amplitude_crossing_before_divergence","crossing_78",30812,30812,31580,31579,1
