"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","Std","Strong","Weak","HBFSS","Ovlp","Std_PAS_n","Strong_PAS_n","Weak_PAS_n","HBFSS_PAS_n","Std_PAS_IDs","Strong_PAS_IDs","Weak_PAS_IDs","HBFSS_PAS_IDs","WTTS_DE_PAS_n","WTTS_DE_APA","WTTS_DE_PAS_IDs","Methods"
"RT4_ZT10","Original (No EVS)","ATG14","Atg14","babelgene","PD(1)",1,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"175612",1,FALSE,"175612","HBFSS"
"RT4_ZT10","Original (No EVS)","BAIAP2","Baiap2","babelgene","ANX(4)",4,2,TRUE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"81216",NA,NA,"81216",1,FALSE,"81216","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","CYP2D7","Cyp2d4","babelgene","SCZ(6)",6,3,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"482314",NA,NA,"482314",1,FALSE,"482314","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","DDHD2","Ddhd2","babelgene","SCZ(18)",18,5,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"210841",1,FALSE,"210841","HBFSS"
"RT4_ZT10","Original (No EVS)","F11R","F11r","babelgene","AD(1)",1,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"149735",1,FALSE,"149735","HBFSS"
"RT4_ZT10","Original (No EVS)","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"205547",1,FALSE,"205547","HBFSS"
"RT4_ZT10","Original (No EVS)","GNB5","Gnb5","babelgene","AD(1)",1,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"526143",1,FALSE,"526143","HBFSS"
"RT4_ZT10","Original (No EVS)","IFT22","Ift22","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"120226",NA,NA,"120226",1,FALSE,"120226","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","INA","Ina","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"61328",1,FALSE,"61328","HBFSS"
"RT4_ZT10","Original (No EVS)","TMA7","LOC100910678","babelgene","DEP(20)",20,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"369633",NA,NA,"369633",1,FALSE,"369633","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","MAP1A","Map1a","babelgene","SCZ(1)",1,1,FALSE,11,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"351502",NA,NA,"351502",1,FALSE,"351502","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,0,2,"467700; 467701",NA,NA,"467700; 467701",2,TRUE,"467700; 467701","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","MTRF1L","Mtrf1l","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"35839",1,FALSE,"35839","HBFSS"
"RT4_ZT10","Original (No EVS)","NCOR1","Ncor1","babelgene","PD(2)",2,2,TRUE,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"70473",1,FALSE,"70473","HBFSS"
"RT4_ZT10","Original (No EVS)","NDFIP2","Ndfip2","babelgene","BIP(1), SCZ(1)",2,1,FALSE,5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"191750",NA,NA,"191750",1,FALSE,"191750","Std+HBFSS"
