"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","WTTS_DE_PAS","Apeglm_LFC","Std","Strong","Weak","HBFSS","Ovlp","Support","Std_BH","Strong_BH","Weak_BH","EmpP","HBFSS_score"
"RT4_ZT10","Original (No EVS)","ATG14","Atg14","babelgene","PD(1)",1,1,FALSE,2,TRUE,"175612",0.970522110528932,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.0672396158641072,1,0.794962846898286,0.00600026348025184,2.1563348290063
"RT4_ZT10","Original (No EVS)","BAIAP2","Baiap2","babelgene","ANX(4)",4,2,TRUE,3,TRUE,"81216",-2.28942163214671,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.00549810138211019,1,1,0.000288993371345914,8.10251984282719
"RT4_ZT10","Original (No EVS)","CYP2D7","Cyp2d4","babelgene","SCZ(6)",6,3,TRUE,2,TRUE,"482314",1.78520722430016,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0443553240682554,1,0.985214385431026,0.00352739879687225,4.37830183305067
"RT4_ZT10","Original (No EVS)","DDHD2","Ddhd2","babelgene","SCZ(18)",18,5,TRUE,2,TRUE,"210841",0.720571513091169,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.0202309808110379,1,0.333575972565941,0.00131186828261542,2.07676619632207
"RT4_ZT10","Original (No EVS)","F11R","F11r","babelgene","AD(1)",1,1,FALSE,1,FALSE,"149735",-0.972269253448337,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.0591425502630661,1,0.78968298089345,0.00507565218238071,2.23087972245263
"RT4_ZT10","Original (No EVS)","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,"205547",0.954787030083822,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.028736719220447,1,0.735272285565883,0.00207718227441989,2.56124045224919
"RT4_ZT10","Original (No EVS)","GNB5","Gnb5","babelgene","AD(1)",1,1,FALSE,3,TRUE,"526143",0.751743737047732,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.0316066671093786,1,0.433931037722733,0.0023263195381662,1.97958981000876
"RT4_ZT10","Original (No EVS)","IFT22","Ift22","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,"120226",3.8263288912151,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0241750109520034,0.740733925228263,1,0.00168552750837181,10.6114207602204
"RT4_ZT10","Original (No EVS)","INA","Ina","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,"61328",-0.969557876527701,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.0186343107418853,1,0.736820849716972,0.00117760672807288,2.83983475054642
"RT4_ZT10","Original (No EVS)","TMA7","LOC100910678","babelgene","DEP(20)",20,2,TRUE,2,TRUE,"369633",1.16343749921474,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0793066488328055,1,0.906250116824332,0.00730489625797648,2.48555152401276
"RT4_ZT10","Original (No EVS)","MAP1A","Map1a","babelgene","SCZ(1)",1,1,FALSE,11,TRUE,"351502",-1.17460210377017,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.00138155906601938,1,0.888838974759074,6.25665378741758e-05,4.93762538478247
"RT4_ZT10","Original (No EVS)","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,"467700",2.86920050107694,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.000716620610863649,0.33181598082531,1,3.31808652080934e-05,12.8514712374996
"RT4_ZT10","Original (No EVS)","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,"467701",3.09650422614016,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",6.71975958675332e-05,0.13230798520597,1,2.48226606847091e-06,17.3563758321489
"RT4_ZT10","Original (No EVS)","MTRF1L","Mtrf1l","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,"35839",-1.33344545271719,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.103667353860846,1,0.952938405534596,0.0103663839125347,2.64605276847849
