"rank_index","n_lead","n_rem","lead_mean_abs","lead_sd_dev","lead_skew_abs","lead_distortion","rem_mean_abs","rem_sd_dev","rem_skew_abs","rem_distortion","total_distortion","split_score"
4990,4990,26563,0.0434266023074555,0.165442348465675,0.0728165795194418,0.245277240532851,0.0906134163678516,0.0354133170533169,0.150741461037167,0.201397463939752,0.446674704472603,-0.446674704472603
4991,4991,26562,0.0437282994400119,0.165520466847779,0.0724429973866904,0.245470264981136,0.0905585039525768,0.0354366799551402,0.150798694241602,0.201394531028518,0.446864796009654,-0.446864796009654
4992,4992,26561,0.0435361589362042,0.165482765060062,0.0728183354623644,0.245428091727448,0.0905963788669068,0.0354382741537698,0.150730036889451,0.201399671465402,0.446827763192851,-0.446827763192851
4993,4993,26560,0.0437258682862708,0.165443120245838,0.0724304695705463,0.245384223317382,0.0905624873546722,0.0354359307977566,0.15080941821088,0.201403127257869,0.446787350575251,-0.446787350575251
4994,4994,26559,0.0436921630735752,0.165328840945887,0.0725234220442023,0.245282715041564,0.0905705885802933,0.0354186749933878,0.150782225396199,0.20138037627178,0.446663091313344,-0.446663091313344
4995,4995,26558,0.0436364532418827,0.165218814376983,0.0726701212828057,0.245190328260268,0.0905828315592379,0.035402578180047,0.150743720763277,0.201357270120923,0.446547598381192,-0.446547598381192
4996,4996,26557,0.0438507440313531,0.165200620327812,0.0722626205212201,0.245182674619776,0.0905442861510262,0.0354048707365665,0.15082534499668,0.201361829385933,0.446544504005709,-0.446544504005709
4997,4997,26556,0.0440992382032801,0.165216413903367,0.0718477544445642,0.245239529328929,0.0904992857053643,0.0354145860797863,0.150903928003456,0.201365835786879,0.446605365115808,-0.446605365115808
4998,4998,26555,0.0443507124031223,0.165235449269216,0.0714336374541588,0.245302980399418,0.0904537022746239,0.0354250271309426,0.150981855826839,0.201369657318986,0.446672637718404,-0.446672637718404
4999,4999,26554,0.0443464293282926,0.165118912619279,0.0714518051736967,0.24519124453442,0.0904562447948072,0.0354069530856701,0.150971160116981,0.201348777938968,0.446540022473388,-0.446540022473388
5000,5000,26553,0.0446577926355621,0.16521039360351,0.0710962135026992,0.245416292990422,0.0903993507820447,0.0354333451307105,0.151021497156805,0.201343444491158,0.44675973748158,-0.44675973748158
5001,5001,26552,0.0447818682269163,0.165126906163434,0.0708080723186286,0.245312810549665,0.0903777041838895,0.0354216306004266,0.151081036415588,0.20133985299211,0.446652663541775,-0.446652663541775
5002,5002,26551,0.0444339429861076,0.165270251737492,0.0709973652909919,0.245202877369096,0.090444967860982,0.0354657403673357,0.151137337012481,0.201479376734558,0.446682254103654,-0.446682254103654
5003,5003,26550,0.0445998193813997,0.165212836633248,0.0706388919396268,0.245132101984461,0.0904154436206516,0.0354595731659453,0.151211739465049,0.201480886519121,0.446612988503582,-0.446612988503582
5004,5004,26549,0.0447491460011,0.1651442634641,0.070305549896058,0.245046184413229,0.0903890239897525,0.0354510141472769,0.151281093915878,0.201480585094969,0.446526769508197,-0.446526769508197
5005,5005,26548,0.045135526820025,0.165348470040344,0.0701731164240439,0.245570555072391,0.0903179001340673,0.0355024697939823,0.151249602098491,0.201445170977295,0.447015726049686,-0.447015726049686
5006,5006,26547,0.0447218979617769,0.165599498646509,0.0700582911384449,0.245350542177508,0.0903976006063506,0.0355717313931909,0.151437722725099,0.201688193362091,0.447038735539599,-0.447038735539599
5007,5007,26546,0.0450250118404141,0.165680413213044,0.0696905669996606,0.245550708553288,0.09034214910753,0.0355958870312646,0.151493339940236,0.201684706108913,0.447235414662201,-0.447235414662201
5008,5008,26545,0.0452260192564472,0.165650799620905,0.0692933438409659,0.245523490797835,0.0903059340763668,0.035595772008851,0.1515743311353,0.201688871652868,0.447212362450703,-0.447212362450703
5009,5009,26544,0.0448903211511946,0.165776544939314,0.0695216997699632,0.24542771597549,0.0903709804794722,0.0356358373234288,0.151612804088133,0.201813219846967,0.447240935822457,-0.447240935822457
5010,5010,26543,0.0450710791942426,0.165730384007787,0.0691445718646372,0.245373749134348,0.0903385758102056,0.0356321225365339,0.151690836349618,0.201816116521548,0.447189865655896,-0.447189865655896
