"rank_index","n_leading_edge","n_remainder","leading_mean_abs","leading_sd_dev","leading_skew_abs","leading_distortion","remainder_mean_abs","remainder_sd_dev","remainder_skew_abs","remainder_distortion","total_distortion","balance_penalty","split_score"
6222,6222,25331,0.055377058531893,0.149351973254387,0.112747913229752,0.261102988401156,0.0899730317124474,0.0414075268613776,0.137033974143258,0.199897545645454,0.46100053404661,0.0612054427557019,-0.491603255424461
6223,6223,25330,0.055223522777246,0.149323427876953,0.1130465732476,0.261070237277999,0.0900121177359116,0.0414087899524549,0.136961101818027,0.19990145859738,0.460971695875379,0.0611687786806187,-0.491556085215688
6224,6224,25329,0.0553790545616355,0.149296581905713,0.112726419214538,0.261038846074618,0.0899752729638685,0.0414078030272994,0.137044960273968,0.199905556128152,0.46094440220277,0.0611332899464659,-0.491511047176002
6225,6225,25328,0.0553826883791936,0.149204286149996,0.112725985137949,0.260949967098165,0.0899757457885725,0.0413888818538594,0.13704077631352,0.199885015799192,0.460834982897356,0.0610649512989729,-0.491367458546843
6226,6226,25327,0.0555552166975743,0.149192611639942,0.112392162595696,0.260943909635364,0.0899346999381824,0.0413922143206903,0.137125709801762,0.199889769159754,0.460833678795118,0.0610541404756105,-0.491360749032923
6227,6227,25326,0.0557097547710473,0.149165024896671,0.112073136769081,0.260911348052259,0.0898980605517702,0.0413910230068698,0.13720945862867,0.199893812872975,0.460805160925234,0.0610175351792835,-0.491313928514876
6228,6228,25325,0.0560298157699087,0.149350325851598,0.112003276477166,0.261381779860089,0.0898207001728905,0.041451156664339,0.137145668666129,0.199844691170294,0.461226471030383,0.0615370886897956,-0.491995015375281
6229,6229,25324,0.0562320778705758,0.149368910338795,0.111663465390144,0.261432720904443,0.0897722836612552,0.0414631980214024,0.137225134309395,0.199848048837355,0.461280769741798,0.0615846720670879,-0.492073105775342
6230,6230,25323,0.0564265651104314,0.149379164233962,0.111323047262163,0.261467252975475,0.0897257601332961,0.0414728638647562,0.137306986422764,0.199852117209434,0.461319370184909,0.0616151357660411,-0.49212693806793
6231,6231,25322,0.0561663289485697,0.14947048424953,0.111507204741042,0.26139041556862,0.0897911116347408,0.0415103539609734,0.137327220623942,0.199965075907685,0.461355491476306,0.0614253396609354,-0.492068161306773
6232,6232,25321,0.0563928535099194,0.149517346241958,0.111181794257009,0.261501096880382,0.0897366873906886,0.041530554193326,0.137394285247461,0.199964384207745,0.461465481088126,0.0615367126726368,-0.492233837424445
6233,6233,25320,0.0560663321948448,0.149714153525917,0.111068812419674,0.261314891930599,0.089818383725236,0.0415997935546235,0.137570870826832,0.200203612693276,0.461518504623874,0.061111279237323,-0.492074144242536
6234,6234,25319,0.0559212243315122,0.149679010892029,0.111361626336174,0.261281048391628,0.0898554450022037,0.0415990107934587,0.137497031237939,0.200202971414632,0.46148401980626,0.0610780769769962,-0.492023058294758
6235,6235,25318,0.0557608656226209,0.149656529537523,0.111663184114476,0.261248987217381,0.089896276456924,0.0416021057696924,0.137425556118085,0.200211160285659,0.46146014750304,0.0610378269317221,-0.491979060968901
6236,6236,25317,0.0561981300265362,0.150082813418191,0.112518012971322,0.262539949930388,0.0897899192498307,0.0417326045171207,0.136943768048464,0.199994407791183,0.462534357721571,0.0625455421392047,-0.493807128791173
6237,6237,25316,0.0564443802409174,0.150155023733005,0.11221836143604,0.262708584691943,0.089730578485181,0.0417601958234265,0.13699457647253,0.199988062544873,0.462696647236815,0.0627205221470701,-0.49405690831035
6238,6238,25315,0.0560791956145483,0.150424434243517,0.111829046311078,0.262418153013604,0.0898218803969935,0.0418513934918892,0.137307746754663,0.200327147266214,0.462745300279819,0.0620910057473898,-0.493790803153513
6239,6239,25314,0.055820029142139,0.150514351004626,0.112015656176564,0.262342208235046,0.089887088673289,0.0418886424964788,0.137327031397044,0.20043924686829,0.462781455103336,0.0619029613667566,-0.493732935786715
