"feature_id","dispGeneEst","dispFit","dispersion","residual_fit_minus_final","residual_fit_minus_gene","residual_final_minus_gene"
"336144",0.205954533327003,0.078813765200081,0.128456774301598,-0.049643009101517,-0.127140768126922,-0.0774977590254049
"327634",0.52256982194726,0.120461180492216,0.279088580767323,-0.158627400275107,-0.402108641455044,-0.243481241179936
"84055",0.19195153737575,0.074647219038335,0.121777546597054,-0.0471303275587186,-0.117304318337415,-0.0701739907786963
"469917",2.20651145544264,0.422079371293299,2.20651145544264,-1.78443208414934,-1.78443208414934,0
"465906",0.40364294266426,0.12653703056096,0.236643270933791,-0.110106240372831,-0.277105912103299,-0.166999671730469
"55754",1.19505035374162,0.32936449158649,0.582695351646843,-0.253330860060353,-0.865685862155131,-0.612355002094778
"36611",0.0333367104974233,0.0528471083823614,0.0447704906975849,0.00807661768477652,0.0195103978849381,0.0114337802001616
"435521",0.234413640716886,0.167378322464137,0.193434098693663,-0.0260557762295256,-0.0670353182527481,-0.0409795420232225
"379599",0.566113809755018,0.161664946191676,0.322655945085205,-0.160990998893528,-0.404448863563342,-0.243457864669813
"175867",0.282624388977593,0.193358947989823,0.232097582525874,-0.0387386345360511,-0.0892654409877708,-0.0505268064517197
"407710",0.338985866266122,0.150435976561167,0.223152040137244,-0.0727160635760772,-0.188549889704955,-0.115833826128878
"176602",0.957251161349155,0.211585863862777,0.957251161349155,-0.745665297486378,-0.745665297486378,0
"322686",0.154560719532562,0.090196865243461,0.11708656766342,-0.0268897024199587,-0.0643638542891006,-0.0374741518691419
"570380",0.497347582512499,0.371849357983593,0.429886952941764,-0.0580375949581705,-0.125498224528906,-0.0674606295707352
"79538",0.558576534012077,0.263042223778049,0.38731222525199,-0.124270001473942,-0.295534310234028,-0.171264308760086
"8757",0.159709024575605,0.0926414954806583,0.118573930850366,-0.0259324353697075,-0.0670675290949471,-0.0411350937252395
"273896",0.125660766640082,0.111368353240321,0.117286844509511,-0.00591849126919004,-0.014292413399761,-0.00837392213057098
"31981",0.206726324100639,0.0622362730909518,0.116789959890064,-0.054553686799112,-0.144490051009687,-0.089936364210575
"531085",1.29030522905797,0.366407477123008,0.717612080757035,-0.351204603634027,-0.923897751934959,-0.572693148300932
"91115",0.669685642097728,0.0882771852597898,0.669685642097728,-0.581408456837939,-0.581408456837939,0
"496581",0.532818422839862,0.312013360530522,0.412783407565718,-0.100770047035196,-0.22080506230934,-0.120035015274144
"486736",0.483616473670241,0.233577248437621,0.341044426469908,-0.107467178032287,-0.25003922523262,-0.142572047200333
"576117",0.0534800715462665,0.0509476841996912,0.0520307098704741,-0.00108302567078292,-0.00253238734657529,-0.00144936167579237
"540261",0.0911950957351096,0.08678090332887,0.0887372366161362,-0.00195633328726616,-0.00441419240623957,-0.00245785911897341
"261591",0.10227504157297,0.0983552265530067,0.0998780810844834,-0.0015228545314767,-0.00391981501996287,-0.00239696048848617
"570454",0.0636292207218957,0.0657331046242626,0.0646778120119113,0.00105529261235128,0.00210388390236686,0.00104859129001558
"523349",1.47783754309094,0.321645739188332,1.47783754309094,-1.15619180390261,-1.15619180390261,0
"490584",0.0594039539408241,0.0711183854264445,0.0663387773193068,0.00477960810713768,0.0117144314856203,0.00693482337848265
"257962",0.228897593700623,0.152757573330167,0.183916324813147,-0.0311587514829804,-0.0761400203704564,-0.0449812688874761
"134614",0.107014663842884,0.0540004941059493,0.074552435108162,-0.0205519410022127,-0.0530141697369349,-0.0324622287347222
"316015",0.273181108999994,0.169495218835545,0.214213041063264,-0.0447178222277193,-0.103685890164449,-0.0589680679367295
"165536",10,1.59929645510479,10,-8.40070354489521,-8.40070354489521,0
"327657",6.05035829070903,0.897674669376782,6.05035829070903,-5.15268362133225,-5.15268362133225,0
"223518",0.128232294841077,0.1736120202672,0.154486722658484,0.019125297608716,0.0453797254261239,0.0262544278174079
"403153",1.46008874209779,0.335101169068878,0.683087753972731,-0.347986584903853,-1.12498757302892,-0.777000988125063
"205511",0.458086878676198,0.214464884645949,0.312973525606295,-0.098508640960346,-0.243621994030249,-0.145113353069903
"537036",0.291638695944976,0.169262737889493,0.222479143002943,-0.0532164051134501,-0.122375958055483,-0.0691595529420327
"456019",0.195475057040343,0.120977223704478,0.151025011074969,-0.0300477873704905,-0.0744978333358647,-0.0444500459653742
"334983",0.116260174612375,0.0878977949778095,0.0994580124909406,-0.0115602175131311,-0.0283623796345659,-0.0168021621214347
"96653",0.251451071163042,0.101226848096768,0.159089684887179,-0.057862836790411,-0.150224223066274,-0.0923613862758627
"387705",0.0184359535220088,0.0876401811898021,0.0562366183206833,0.0314035628691188,0.0692042276677933,0.0378006647986745
"217457",0.581621378389696,0.167322371703394,0.333676190167969,-0.166353818464575,-0.414299006686303,-0.247945188221727
"557805",0.268499914834094,0.112755128702329,0.167433853021245,-0.0546787243189156,-0.155744786131764,-0.101066061812849
"281697",0.652092801543011,0.115188535289409,0.652092801543011,-0.536904266253601,-0.536904266253601,0
"511545",0.209695598547274,0.102045535203107,0.14563858460235,-0.0435930493992432,-0.107650063344167,-0.0640570139449241
"511721",0.169090585339087,0.0996926239675708,0.126735184279543,-0.0270425603119717,-0.0693979613715164,-0.0423554010595447
"454671",0.380811083689123,0.117001446709698,0.221401523604644,-0.104400076894945,-0.263809636979425,-0.15940956008448
"53330",0.175402810052199,0.121985628657342,0.142962229360954,-0.0209766007036119,-0.0534171813948573,-0.0324405806912454
"122049",0.0791915235968839,0.0753370929642703,0.0769818304560343,-0.00164473749176407,-0.00385443063261366,-0.00220969314084959
"268166",0.778714899939472,0.262417607471809,0.440625269168599,-0.17820766169679,-0.516297292467663,-0.338089630770873
"378722",0.878274316156022,0.206455773609664,0.429224633126903,-0.222768859517239,-0.671818542546358,-0.449049683029119
"162411",0.131830772074159,0.11482842610183,0.121880681550378,-0.00705225544854794,-0.0170023459723286,-0.00995009052378064
"217471",0.231707836522492,0.116776070770012,0.162714701277604,-0.0459386305075921,-0.11493176575248,-0.0689931352448875
"49559",0.18588195755731,0.137991790918555,0.157460022487696,-0.0194682315691413,-0.0478901666387553,-0.0284219350696141
"559014",0.0469118353662259,0.0588107248050186,0.053725134388887,0.00508559041613157,0.0118988894387927,0.0068132990226611
"287841",0.730565037023885,0.256149782144895,0.418451920102039,-0.162302137957143,-0.47441525487899,-0.312113116921847
"161319",0.721547107968072,0.246607396909752,0.40782132297521,-0.161213926065457,-0.47493971105832,-0.313725784992862
"234949",0.68158926655592,0.262589597373385,0.40437635333396,-0.141786755960575,-0.418999669182536,-0.277212913221961
"304999",0.16270445524166,0.0847827032917327,0.113160376868391,-0.0283776735766579,-0.0779217519499268,-0.049544078373269
"548087",0.0870488389094533,0.0674650436470901,0.0758477125038079,-0.00838266885671779,-0.0195837952623633,-0.0112011264056455
"268475",0.347578836722166,0.133675336606183,0.183875959322168,-0.0502006227159854,-0.213903500115983,-0.163702877399998
"531969",0.491487468298449,0.130180919855447,0.273763733773299,-0.143582813917852,-0.361306548443002,-0.21772373452515
"424496",0.983857981932797,0.26022812049964,0.517507281286885,-0.257279160787245,-0.723629861433158,-0.466350700645913
"30894",0.765933959366632,0.240123258621508,0.413777376429868,-0.17365411780836,-0.525810700745124,-0.352156582936764
"247083",0.237831579924165,0.147200794193018,0.184484124632186,-0.0372833304391677,-0.0906307857311467,-0.0533474552919789
"530371",0.117512531545968,0.0513346445377655,0.0772411849166796,-0.0259065403789141,-0.0661778870082029,-0.0402713466292888
"65639",0.178183837913425,0.104658668161475,0.134839758239322,-0.0301810900778468,-0.0735251697519495,-0.0433440796741028
"150976",0.335944343219116,0.121582153597813,0.204968470773888,-0.0833863171760746,-0.214362189621302,-0.130975872445228
"117123",0.0302243866957088,0.0562217282138004,0.0457281877575172,0.0104935404562833,0.0259973415180916,0.0155038010618084
"527695",2.86396743233153,0.441123533161075,2.86396743233153,-2.42284389917045,-2.42284389917045,0
"358206",0.0772050499340748,0.0735606974649175,0.0751235294512481,-0.00156283198633062,-0.00364435246915729,-0.00208152048282667
"347273",0.0820474719092198,0.0783967930615572,0.0797875847710361,-0.00139079170947898,-0.00365067884766263,-0.00225988713818365
"63089",0.23829431267654,0.169443248210478,0.198194769602886,-0.0287515213924077,-0.0688510644660617,-0.0400995430736539
"358764",0.207226582933825,0.0784147171725969,0.127172559425175,-0.0487578422525776,-0.128811865761228,-0.0800540235086507
"415407",0.481494168765468,0.231023639583253,0.334404459791832,-0.10338082020858,-0.250470529182215,-0.147089708973635
