"feature_id","dispGeneEst","dispFit","dispersion","residual_fit_minus_final","residual_fit_minus_gene","residual_final_minus_gene"
"248551",0.154955525603122,0.124108147805136,0.141201035149519,-0.0170928873443822,-0.0308473777979852,-0.0137544904536029
"25328",1.64832875062359,0.12561737572819,1.64832875062359,-1.5227113748954,-1.5227113748954,0
"8277",0.450289332066219,0.125588448909128,0.300811792913008,-0.17522334400388,-0.32470088315709,-0.149477539153211
"415923",0.18888563482695,0.124837374957552,0.169017863158875,-0.0441804882013234,-0.0640482598693976,-0.0198677716680742
"335788",0.22886663621448,0.125594759414098,0.20652329040304,-0.0809285309889416,-0.103271876800382,-0.0223433458114405
"175929",0.467107713846747,0.128137464858024,0.292372572728294,-0.164235107870269,-0.338970248988723,-0.174735141118454
"169957",0.61342505522485,0.134064854702326,0.389643335724069,-0.255578481021743,-0.479360200522525,-0.223781719500781
"163095",0.507423158474549,0.127621626923529,0.333258389200312,-0.205636762276783,-0.37980153155102,-0.174164769274237
"55601",0.167727416293193,0.124297163100653,0.169067133616224,-0.0447699705155711,-0.0434302531925398,0.00133971732303131
"156760",0.528659934376427,0.128589007125282,0.333858017220885,-0.205269010095603,-0.400070927251145,-0.194801917155542
"412143",0.236651030455671,0.127020359465302,0.194653923604184,-0.0676335641388816,-0.109630670990369,-0.0419971068514877
"111059",0.330606959973003,0.129154477097226,0.242294611393678,-0.113140134296452,-0.201452482875778,-0.0883123485793259
"506371",0.351110446798863,0.128835088788258,0.252872161357642,-0.124037072569384,-0.222275358010605,-0.0982382854412208
"263417",0.633486982389698,0.131599199256619,0.397668495654684,-0.266069296398065,-0.501887783133079,-0.235818486735014
"42310",0.196267531451433,0.128927237487179,0.168863112534629,-0.0399358750474505,-0.067340293964254,-0.0274044189168036
"323897",0.27182808172019,0.128733451938321,0.204918326496202,-0.076184874557881,-0.143094629781869,-0.0669097552239878
"359542",0.366455444028341,0.128789252091075,0.251858510982366,-0.123069258891291,-0.237666191937266,-0.114596933045975
"179269",0.101891756998758,0.124947011779977,0.117799538449749,0.00714747333022807,0.0230552547812192,0.0159077814509911
"88697",0.130682533202444,0.125949619188348,0.134418572184068,-0.0084689529957199,-0.00473291401409656,0.00373603898162334
"60635",0.205443658910382,0.129914003893802,0.174472257577363,-0.0445582536835611,-0.0755296550165797,-0.0309714013330186
