"comparison_name","track_key","track_label","dataset_key","dataset_label","dataset_name","n_features","n_weak_cnh","n_strong_cnh","n_standard","n_hbfss","n_overlap","hc_p_threshold","hbfss_threshold"
"RT4_ZT10","normalized_evs","NormEVS","raw_dataset","Original dataset","RT4_ZT10_NormEVS_raw_dataset",31658,84,39,743,1100,752,0.0223630001696145,1.65046993290979
"RT4_ZT10","normalized_evs","NormEVS","leading_edge_dataset","Leading-edge dataset","RT4_ZT10_NormEVS_leading_edge_dataset",7093,18,13,252,320,254,0.017917484790559,1.7467229555136
"RT4_ZT10","normalized_evs","NormEVS","remainder_dataset","Remainder dataset","RT4_ZT10_NormEVS_remainder_dataset",24565,106,55,686,1062,704,0.0339201556248525,1.46954216387819
