"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,NA,NA,9,0,0,3,3469,5000,"matched_curvature_wave","normalized",5101,"first_stable_crossing",0.83833549900168,"first_stable_crossing"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",6850,NA,NA,3,0,0,1,2173,5000,"matched_curvature_wave","normalized",5101,"first_stable_crossing",0.83833549900168,"first_stable_crossing"
"RT0_ZT6","RT0_ZT6_remainder_dataset",24703,NA,NA,47,0,0,2,2091,5000,"matched_curvature_wave","normalized",5101,"first_stable_crossing",0.83833549900168,"first_stable_crossing"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,NA,NA,0,0,0,0,7704,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.884378765776622,"first_stable_crossing"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",5267,NA,NA,0,0,0,0,3856,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.884378765776622,"first_stable_crossing"
"RT2_ZT8","RT2_ZT8_remainder_dataset",26267,NA,NA,0,0,0,0,4669,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.884378765776622,"first_stable_crossing"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,NA,NA,743,0,0,41,6128,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.851601490934361,"first_stable_crossing"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",6689,NA,NA,270,0,0,15,3613,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.851601490934361,"first_stable_crossing"
"RT4_ZT10","RT4_ZT10_remainder_dataset",24969,NA,NA,701,0,0,54,3086,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.851601490934361,"first_stable_crossing"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,NA,NA,4,0,0,0,8714,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.855699810006333,"first_stable_crossing"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",6212,NA,NA,1,0,0,0,4615,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.855699810006333,"first_stable_crossing"
"RT8_ZT14","RT8_ZT14_remainder_dataset",25368,NA,NA,28,0,0,0,4945,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.855699810006333,"first_stable_crossing"
