"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","last_local_amplitude_crossing_before_divergence","crossing_83",30336,30336,31553,31545,8
"RT2_ZT8","last_local_amplitude_crossing_before_divergence","crossing_96",29999,29999,31534,31507,27
"RT4_ZT10","last_local_amplitude_crossing_before_divergence","crossing_70",30559,30559,31658,31654,4
"RT8_ZT14","last_local_amplitude_crossing_before_divergence","crossing_74",30461,30461,31580,31564,16
