"feature_id","baseMean","alpha_used","dispFit","dispersion","mean_trt","mean_untrt","baseMean_scoring","iod_nb","cv2_nb","log_baseMean","log_iod_nb","log_cv2_nb"
"20",2.47076265935483,10,2.65968829650964,6.10497824171115,3.49936356118877,1.44216175752089,2.47076265935483,25.7076265935483,10.4047333305017,0.904526871950125,3.24678770249101,2.34226083054088
"25",14.3636607118468,0.4149060932346,0.50810768845473,0.44736368409203,21.5016258566719,7.22569556702174,14.3636607118468,6.95957035049968,0.484526228384077,2.66470145535574,1.94011774119083,-0.724583714164905
"31",25.8102641358323,0.239948237518687,0.309870494275886,0.262673726176132,29.0015646977676,22.618963573897,25.8102641358323,7.19312738928474,0.278692513622848,3.2507722475345,1.97312604090283,-1.27764620663167
"35",140.462673449187,0.0895732191628101,0.106823811464158,0.094919009916693,144.573984621922,136.351362276451,140.462673449187,13.5816938330582,0.0966925482731289,4.94494178407663,2.60872284432725,-2.33621893974938
"37",122.503723686228,0.0599845611071427,0.113524768108151,0.0763109835915417,106.055668867849,138.951778504606,122.503723686227,8.34833209930904,0.068147578278452,4.80814142696138,2.12206177032461,-2.68607965663677
"38",49.3779088981936,0.037349864462834,0.191141406018061,0.0847509518267867,45.9804351793464,52.7753826170408,49.3779088981936,2.8442582048057,0.0576018358871764,3.89950313587969,1.04530229713273,-2.85420083874697
"89",52.7357086292023,0.0532868496502866,0.182862300795444,0.0919242613674731,56.2827192106303,49.1886980477743,52.7357086292023,3.81011977692562,0.0722493330603654,3.96529280918835,1.33766062615775,-2.6276321830306
"90",19.8004652427474,0.0159633639665165,0.385372447699781,0.139483578018779,15.4636125842292,24.1373179012655,19.8004652427474,1.31608203337634,0.0664672277768017,2.98570543453289,0.274659166352709,-2.71104626818018
"143",19.6002847916779,0.2502191384076,0.388684140009285,0.295444505012938,17.4017825300261,21.7987870533298,19.6002847916779,5.90436637311724,0.301238805245532,2.97554409631856,1.77569214044012,-1.19985195587844
"214",3.43858565709092,0.23465654790416,1.92829469996357,0.925368111009468,2.79890197112642,4.07826934305541,3.43858565709092,1.80688663996571,0.525473790725446,1.23506024064704,0.591605275810319,-0.643454964836718
"224",48.8236678582308,0.0604166383368758,0.192617458083553,0.100464222575567,50.4889681436289,47.1583675728328,48.8236678582308,3.94976188327048,0.080898507968295,3.88821519238092,1.37365529437962,-2.5145598980013
"304",2.79993766182462,3.3359712215095,2.35418665471282,2.8176107314406,1.20587059083206,4.39400473281717,2.79993766182462,10.3405114618675,3.69312203012727,1.02959715329925,2.33606933225421,1.30647217895495
"576",3.07901129647391,1.76585805986311,2.14634851016067,1.94745487754955,4.16006792603846,1.99795466690935,3.07901129647391,6.43709691428802,2.09063764126485,1.12460853781316,1.86207764877321,0.737469110960048
"615",3.54319487636002,1.54538159693071,1.87316810515687,1.70882867521776,1.46225980493604,5.624129947784,3.54319487636002,6.47558815626597,1.82761275691345,1.26502882757704,1.86803943840491,0.603010610827866
"672",0.686101314794786,10,9.4190024041061,10,0,1.37220262958957,0.686101314794786,7.86101314794786,11.4575106889266,-0.376729972956002,2.06191549736433,2.43864547032033
"673",2.83820314167712,3.38250126166645,2.32327078861675,2.81858078000676,2.35878398326154,3.3176223000927,2.83820314167712,10.6002257075886,3.73483685925483,1.0431711553436,2.36087529406006,1.31770413871646
"708",4.87291492662904,1.33729636855622,1.37869526604315,1.35610602007458,4.58503430979448,5.16079554346359,4.87291492662904,7.51653143566442,1.54251234606802,1.58369230559878,2.01710478629804,0.43341248069926
"774",7.84732988227825,0.886721098701546,0.879285639357736,0.883344324999311,4.83600891446667,10.8586508500898,7.84732988227825,7.95839297508724,1.01415297871698,2.06017333154784,2.0742270919224,0.0140537603745641
"829",4.02267035827355,2.37520382134408,1.65718339286971,2.02256640838939,4.0899001009606,3.95544061558651,4.02267035827355,10.5546620069789,2.62379490908839,1.3919459503297,2.35656765871072,0.964621708381026
"833",4.61946217622005,2.76949749083273,1.45098603695624,2.1146825130202,4.55345541911873,4.68546893332137,4.61946217622005,13.7935889060381,2.9859729076351,1.53027828624365,2.62420391218992,1.09392562594627
"842",32.0073895777348,0.0845073795609558,0.261707478288195,0.136613609807774,25.5953741377975,38.4194050176721,32.0073895777348,3.70486061980102,0.115750164842503,3.46596680044503,1.30964563855351,-2.15632116189151
"845",4.75065476546612,1.20294267436013,1.41260377991521,1.29913428724286,6.55867092762801,2.94263860330423,4.75065476546612,6.7147653485315,1.41343997407327,1.55828245390804,1.90430888499106,0.346026431083025
"926",1.18556368554533,10,5.47664742126028,8.47618389651618,0,2.37112737109066,1.18556368554533,12.8556368554533,10.843480626298,0.170218345489824,2.55378238094955,2.38356403545973
"964",1.93387021492175,10,3.38111968015337,6.05009787719002,1.27249584043228,2.59524458941122,1.93387021492175,20.3387021492175,10.5170977826144,0.659523287706803,3.01252558077819,2.35300229307139
"969",3.27593381015596,3.41382728464485,2.02100118732013,2.64742986243397,2.92080568326823,3.63106193704369,3.27593381015596,12.183472223801,3.71908375744043,1.18660296131661,2.50008029750108,1.31347733618447
"984",13.9338239850661,0.0321310714411885,0.521896732372141,0.18443785858758,14.5078155594998,13.3598324106323,13.9338239850661,1.4477086939131,0.103898879120672,2.63431926448178,0.369982095487662,-2.26433716899412
