"crossing_id","idx_left","idx_right","percentile_left","percentile_right","rank_left","rank_right","regime_difference_left","regime_difference_right","crossing_percentile","crossing_rank","left_window_positive_frac","right_window_negative_frac","stable_crossing"
"crossing_1",6,7,0.1,0.11,3096,3406,0.0778743147948747,-0.218348754757735,0.102628907833292,3177,1,0,FALSE
"crossing_2",48,49,0.52,0.53,16099,16408,-0.451184474226426,0.0959831324137597,0.528245818443034,16354,0,1,FALSE
"crossing_3",49,50,0.53,0.54,16408,16718,0.0959831324137597,-0.420326597131918,0.531859022344944,16466,0,1,FALSE
"crossing_4",53,54,0.57,0.58,17647,17956,-0.423087545235681,0.147715973585886,0.577412139751856,17876,0.333333333333333,1,FALSE
"crossing_5",54,55,0.58,0.59,17956,18266,0.147715973585886,-0.115709609614429,0.585607502953635,18130,0.333333333333333,1,FALSE
"crossing_6",65,66,0.69,0.7,21362,21672,-0.445904467496735,0.0371530706885979,0.699230876909029,21648,0,1,FALSE
"crossing_7",66,67,0.7,0.71,21672,21981,0.0371530706885979,-0.177487353380763,0.701730944711356,21725,0,1,FALSE
