"feature_id","original_rank_index","baseMean","alpha_used","dispFit","dispersion","mean_trt","mean_untrt","baseMean_scoring","iod_nb","cv2_nb","log_baseMean","log_iod_nb","log_cv2_nb","filtered_rank_index","log_baseMean_smooth","log_iod_nb_smooth","log_cv2_nb_smooth"
"157795",1,72.927287381271,7.16671198851396,0.149153638067444,7.16671198851396,109.729562301593,36.1250124609489,72.927287381271,523.648864765158,7.18042427695782,4.28946288147745,6.26082135429006,1.9713584728126,1,3.68320050231562,5.16656567997397,1.48336517765834
"523232",2,14.7239545156574,10,0.497169805273383,10,5.02412251645932,24.4237865148555,14.7239545156574,148.239545156574,10.067916536888,2.68947572638251,4.99882951368161,2.3093537872991,2,3.67828222117683,5.14004994588556,1.46176772470871
"133139",3,50.005243139893,1.98966156598775,0.189510169826549,1.98966156598775,82.2698479270793,17.7406383527066,50.005243139893,100.493510373318,2.0096594689517,3.91212786272829,4.61009315201435,0.697965289286069,3,3.66034884136707,5.10628823387136,1.44593939250428
"32631",4,58.3518592401713,1.39349696716448,0.17114452041625,1.39349696716448,88.0845857014627,28.6191327788799,58.3518592401713,82.3131388795872,1.41063438168771,4.0664912218097,4.41053074110846,0.344039519298754,4,3.64471380097849,5.07665822256314,1.43194442158464
"116600",5,16.4955936814748,10,0.450337132121041,10,9.46067963297906,23.5305077299706,16.4955936814748,165.955936814748,10.0606222497541,2.80309329563485,5.11172231224587,2.30862901661102,5,3.63903026348467,5.05447457586861,1.41544431238392
"322426",6,29.8890183225148,1.85787570334402,0.275924422528306,1.85787570334402,29.2094999775174,30.5685366675122,29.8890183225148,56.5300809382045,1.89133280752889,3.3974911327493,4.03477290246053,0.63728176971123,6,3.62120043667673,5.02916985419027,1.40796941751353
"534198",7,25.7358099270723,10,0.31059015045011,10,38.4213728231162,13.0502470310285,25.7358099270723,258.358099270723,10.0388563640637,3.24788340442112,5.55434660423492,2.30646319981379,7,3.60050276954282,5.0118608700246,1.41135810048177
"135069",8,27.2242815782168,1.67886303216138,0.296950212590265,0.98534644390471,30.6463011537807,23.8022620026529,27.2242815782168,46.7058399188202,1.71559494727645,3.30410928015925,3.84386920865139,0.539759928492142,8,3.61376351734964,5.02366253992108,1.40989902257143
"37466",9,10.8786783957956,6.52563762684781,0.651301877824829,6.52563762684781,18.2864246849706,3.47093210662061,10.8786783957956,71.9903130699801,6.61756055752167,2.38680476307493,4.27653156926992,1.88972680619499,9,3.6056555646881,4.99579407975992,1.3901385150718
"417259",10,15.696531361108,4.3532140513783,0.470151266404834,4.3532140513783,7.39944937779949,23.9936133444166,15.696531361108,69.3303608790756,4.41692239413215,2.7534397555316,4.23888291817777,1.48544316264617,10,3.58299788296965,4.97253010634001,1.38953222337035
"49031",11,19.4911644962463,1.72254763117608,0.390518022302248,1.0905468546511,17.5870392637864,21.3952897287062,19.4911644962463,34.5744592318724,1.77385292903001,2.96996126013103,3.54311523699098,0.573153976859948,11,3.56566990974322,4.93894306489042,1.37327315514719
"120304",12,28.0174870348773,1.69380110385185,0.290273446248292,0.987954719603147,33.8035137555026,22.2314603142519,28.0174870348773,48.4560504668299,1.72949309859624,3.33282885219306,3.88065721117616,0.547828358983101,12,3.55591055450178,4.9180579766029,1.36214742210111
"315962",13,19.8901558650094,1.54725072447042,0.383910272045704,0.984068460007311,18.5479133861513,21.2323983438674,19.8901558650094,31.7750580719652,1.59752685135383,2.99022492918557,3.45868164467307,0.468456715487497,13,3.5370898560682,4.88234524086326,1.34525538479504
"191103",14,20.3483305563036,1.78738258476962,0.376642016004344,1.11274390702956,24.1841528341641,16.5125082784431,20.3483305563036,37.3702516654725,1.83652666552027,3.01299887197814,3.62087497789999,0.607876105921847,14,3.53648081774381,4.85899434516241,1.32251352741859
"157980",15,37.1913514859867,1.71419980947716,0.233747574158207,1.71419980947716,28.3731820276287,46.0095209443448,37.1913514859867,64.7534076314767,1.74108778100938,3.61607624731398,4.17058632670802,0.554510079394039,15,3.51769110168878,4.82939198558868,1.31170088389989
"248384",16,18.7851905477129,4.7315792120887,0.402897473050698,4.7315792120887,27.7811661091718,9.789214986254,18.7851905477129,89.8836170906834,4.78481263537818,2.93306882258443,4.49851569006193,1.5654468674775,16,3.49717729000266,4.8110294754277,1.31385218542503
"257893",17,22.1044870601099,1.71527858383757,0.351573993067616,1.05704677787433,23.7327565947726,20.4762175254473,22.10448706011,38.9153532609214,1.76051826740411,3.09578062230913,3.66138885812735,0.565608235818218,17,3.47798830312922,4.78033386313183,1.30234556000259
"22463",18,14.3707997166723,2.54988655518024,0.507885634918731,1.50562116200358,10.6638297927668,18.0777696405778,14.3707997166723,37.6439089847307,2.61947210502544,2.66519835036375,3.62817116120408,0.962972810840337,18,3.46093860255957,4.7483696810785,1.28743107851892
"71209",19,66.5852450120021,4.98632243846323,0.157539103436642,4.98632243846323,85.8130498457418,47.3574401782625,66.5852450120021,333.015501273918,5.0013407807374,4.19848300663499,5.80818903926914,1.60970603263415,19,3.44409078802079,4.73115162367535,1.28706083565455
"3656",20,11.3965295428569,5.18685692308814,0.62448413161875,5.18685692308814,12.9661153561162,9.82694372959766,11.3965295428569,60.112168158546,5.27460293350644,2.43330888298825,4.09621228624828,1.66290340326003,20,3.43271718768909,4.70091552288358,1.26819833519449
"424073",21,17.5063586252247,3.92078355556922,0.427864575054092,3.92078355556922,30.1574385954867,4.85527865496277,17.5063586252247,69.6386430156784,3.97790565739564,2.86256416494668,4.24331962900765,1.38075546406097,21,3.41685065981688,4.66838570034493,1.25153504052804
"56517",22,61.9428000594155,3.78269532718876,0.164765869890187,3.78269532718876,51.9354974060839,71.9501027127471,61.9428000594155,235.310740337739,3.79883925350531,4.12621137951967,5.46090693998586,1.33469556046619,22,3.40851566447057,4.64561607821999,1.23710041374942
"416922",23,26.5727463972244,1.60515169073565,0.302732652030585,1.05156838771805,37.5859069050793,15.5595858893695,26.5727463972244,43.6532888069943,1.6427842329295,3.27988611902253,3.77627862439564,0.496392505373112,23,3.39301315473018,4.61592552363459,1.2229123689044
"532248",24,23.5056072388083,1.58267907459435,0.334260306000666,0.964424176580902,30.67433240652,16.3368820710966,23.5056072388083,38.2018327124953,1.62522211506296,3.15723899859499,3.64288349122857,0.485644492633587,24,3.37280257439584,4.59374170496495,1.2209391305691
"431520",25,28.2560967990204,1.88319297751542,0.288338303732565,1.88319297751542,39.3055463084288,17.206647289612,28.2560967990204,54.2116830639111,1.91858356975159,3.34130925020208,3.99289643990173,0.651587189699655,25,3.35270117209062,4.56220243759151,1.20950126550088
"172745",26,12.2046480815247,5.91440349772411,0.587181172822265,5.91440349772411,20.1636845479827,4.24561161506674,12.2046480815247,73.1832133018615,5.99633949401996,2.50181686946975,4.29296606819063,1.79114919872088,26,3.339307822751,4.54162647614831,1.2023186533973
"80920",27,28.7539071136768,1.26944555018235,0.284404425178588,0.846962373750575,16.0268259238829,41.4809883034706,28.7539071136768,37.5015194358137,1.30422343257748,3.35877365761599,3.62438145044389,0.265607792827893,27,3.33181752214688,4.5127969065063,1.18097938435942
"242641",28,23.3365926626563,1.37679107702569,0.336238556719928,0.85086500963561,19.9166647087135,26.7565206165991,23.3365926626563,33.1296125461284,1.4196422341957,3.15002262916855,3.50042752128804,0.350404892119496,28,3.31443612992897,4.47981410860538,1.1653779786764
"129813",29,26.6110695186436,2.67776187713913,0.302384692933381,2.67776187713913,20.062665950919,33.1594730863682,26.6110695186436,72.258107466923,2.71534022397331,3.2813272765398,4.28024453477207,0.998917258232271,29,3.30662093372486,4.45224287229746,1.14562193857259
"22582",30,14.470541824902,6.46653269056439,0.504806144150375,6.46653269056439,20.1308597901636,8.81022385964035,14.470541824902,94.5742317609078,6.53563860325932,2.67211498464878,4.54938504741878,1.87727006276999,30,3.28148617740973,4.42965356986116,1.14816739245142
"258201",31,34.2311862074066,1.19447331670988,0.248676141910094,0.76827065829277,37.247713273691,31.2146591411223,34.2311862074067,41.8882385240744,1.22368644400091,3.53313710597048,3.73500508404078,0.201867978070302,31,3.26450114245465,4.40177732334284,1.13727618088819
