"preprocessing","group","cutoff_mode","fixed_top_n_requested","empiric_rank_selected","cutoff_quantile","selected_reason","comparison_name"
"normalized","regime_shift_crossing","last_stable_crossing_into_leading_edge",5000,21672,0.313742875237492,"last_crossing_fallback","RT8_ZT14"
"raw","regime_shift_crossing","crossing_rank_projected_to_raw_selected",5000,21672,0.313742875237492,"last_crossing_fallback_projected_to_raw","RT8_ZT14"
