"dataset_name","feature_id","gene_symbol","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_wald_threshold_dataset","hc_empirical_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_wald_pass","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","baseMean.x","log2FoldChange","lfcSE","stat","lfcSE_shrunk","padj_strong_effect","padj_weak_effect","neglog10_wald_pvalue","neglog10_empirical_p","raw_lfc_pass","shrunk_lfc_pass","HBFSS_only_call","overlap_call","R8_1","R8_2","R8_3","R8_4","R8_5","ZT14_1","ZT14_2","ZT14_3","ZT14_4","ZT14_5","baseMean.y","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","hc_empirical_threshold_source","hc_wald_threshold_source"
"RT8_ZT14_raw_dataset","6990","Epn1",-0.426155722222847,"downregulated",0.236500809795885,0.00191590342989031,0.00191590342989031,0.593491342862632,0.000414140543302022,0.122275653194121,1.44162184423866,0.1214593269481,0.077886604890723,1.10853722682373,0.0840838778082118,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"weak_effect",534.071305580886,-0.58676787855956,0.189098912696939,-3.10296801917602,0.233545573502366,1,0.0840838778082118,2.71762638509188,3.3828522510952,FALSE,FALSE,FALSE,FALSE,480.328461288358,494.578727496823,450.254947478957,383.914949063321,322.895819509691,778.950275974944,750.238422891668,532.218591333669,620.479927020718,526.852933750714,534.071305580886,0.0288244579110327,0.0731361757861879,0.040919812321833,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","7791","Sae1",0.0313563077125764,"upregulated",1,0.0831834798646467,0.0831834798646467,0.999580341370701,0.0486735942620049,0.695914958582592,0.0411616315356057,0.1214593269481,0.077886604890723,1.10853722682373,0.0479452640552286,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",246.047996410092,0.409897268869075,0.236592097887013,1.73250616791448,0.073265135781455,1,0.0479452640552286,1.07996291548825,1.31270658244933,FALSE,FALSE,FALSE,FALSE,299.391723838272,237.070794998477,204.371039990448,348.265703793156,318.12396010807,183.146047029823,281.339408584376,141.140841900642,240.836377027162,206.794066830492,246.047996410092,0.053354943117144,0.0872087857348322,0.0630310656650958,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","8271","Apoc1",0.0398022673078409,"upregulated",0.872669354388751,0.0646279175556569,0.0646279175556569,0.999580341370701,0.0354954589404637,0.635384209711872,0.0577064099325215,0.1214593269481,0.077886604890723,1.10853722682373,0.0162128596101894,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",190.631901477089,0.380900331111384,0.206134614263269,1.84782324149068,0.0790202077864994,1,0.0162128596101894,1.18957983771275,1.44982720421943,FALSE,FALSE,FALSE,FALSE,277.262770337182,203.008899165363,175.631362491792,193.328599349744,230.639871078351,154.167242120041,140.401761998298,174.46576290496,141.179945153854,216.232800171303,190.631901477089,0.028472310501485,0.0947943274050421,0.0456416453446483,7,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","9793","Capns1",-0.0648374456246481,"downregulated",0.549690283636983,0.0127037102363659,0.0127037102363659,0.910343698046299,0.00457337044012363,0.318685653842683,0.151704296461331,0.1214593269481,0.077886604890723,1.10853722682373,0.0737060196384112,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",485.671768995315,-0.523979899243391,0.210267417526475,-2.49196906209882,0.115545264481076,1,0.0737060196384112,1.89606942078777,2.33976361961521,FALSE,FALSE,FALSE,FALSE,506.362524230816,363.781047497663,346.153448983822,488.120435237651,289.492803698344,641.011164604381,665.568658022466,467.529038795875,452.013101711077,636.685467171058,485.671768995315,0.0416405508256701,0.0743341988840023,0.0508904262686626,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","10044","Fxyd7",-0.0396795128228604,"downregulated",0.872669354388751,0.0646270984859812,0.0646270984859812,0.999580341370701,0.0354948955361298,0.635381467445429,0.0575287106685597,0.1214593269481,0.077886604890723,1.10853722682373,0.0180150322896842,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",502.183140421917,-0.384583810686917,0.208127392294066,-1.84782890155821,0.0790231305990466,1,0.0180150322896842,1.18958534183091,1.44983409764587,FALSE,FALSE,FALSE,FALSE,360.571771753049,372.637140414273,499.431728976658,499.089433782317,445.373544151298,767.358754011031,498.37266663518,644.935235907098,535.060128272168,399.001000316094,502.183140421917,0.0401497538854703,0.0738995443125212,0.0499259270676704,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","13533","Snurf",0.031353052480451,"upregulated",0.872669354388751,0.0710854636905751,0.0710854636905751,0.999580341370701,0.0399899216423012,0.655413398863123,0.043833117676976,0.1214593269481,0.077886604890723,1.10853722682373,0.0808253733380679,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",862.489997594964,0.449587397458244,0.249088398049063,1.80493110469838,0.0736178250057773,1,0.0808253733380679,1.14821919933219,1.39804944683796,FALSE,FALSE,FALSE,FALSE,1120.76640967284,720.749715828704,740.845019965376,998.178867564635,1402.92666407659,454.387660985384,978.525257285847,688.061604265628,713.018042331647,807.440733973,862.489997594964,0.0733859482463837,0.0685585461994589,0.0733176692099668,4,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","20864","Syt17",0.0416045458679563,"upregulated",1,0.0790141404443283,0.0790141404443283,0.999580341370701,0.0456441977423092,0.682147807191472,0.055775654204028,0.1214593269481,0.077886604890723,1.10853722682373,0.0033420740740566,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",239.233707816901,0.326582470318189,0.185934832715899,1.75643512056288,0.079362996323438,1,0.0033420740740566,1.10229518000828,1.34061442182419,FALSE,FALSE,FALSE,FALSE,307.201942721009,217.314895415271,269.514308987404,275.596088434741,262.452267089158,165.758764083954,216.497373463024,251.897197003228,246.768307495811,179.335933475406,239.233707816901,0.0201251612404185,0.0879520519811634,0.0372403091495473,6,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","20980","Gprc5b",0.0400497106385128,"upregulated",1,0.0806973129416102,0.0806973129416102,0.999580341370701,0.0468626791327655,0.687832403523461,0.0532329894918784,0.1214593269481,0.077886604890723,1.10853722682373,0.00572800984712641,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",303.337740621276,0.33796417278991,0.193492302738956,1.74665435268433,0.0784752976229818,1,0.00572800984712641,1.09314092617087,1.32917288647495,FALSE,FALSE,FALSE,FALSE,326.727489927853,309.28201416468,312.943154985374,270.111589162408,475.595320361564,266.605005169996,234.717449447536,320.507328482707,274.055187651598,242.832866859042,303.337740621276,0.0272099377268795,0.0822804907454436,0.0415762403374665,7,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","21882","Eif3c",-0.0608371322380838,"downregulated",0.549690283636983,0.0133664226455794,0.0133664226455794,0.91981554268153,0.00487728744188654,0.327255362147739,0.140644599346882,0.1214593269481,0.077886604890723,1.10853722682373,0.0893987453111073,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",359.039896644154,-0.535041950220267,0.216278690236708,-2.4738542185302,0.108431714828971,1,0.0893987453111073,1.87398481062659,2.31182164860229,FALSE,FALSE,FALSE,FALSE,278.564473484305,275.220118331566,358.287979483255,353.750203065489,197.236855267003,544.801532303904,366.009173453578,461.648170383349,427.09899374275,327.78146692634,359.039896644154,0.0419284789185982,0.0789967494084019,0.053188391741898,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","21951","Coro1a",-0.0367906798756533,"downregulated",1,0.118973861831275,0.118973861831275,0.999580341370701,0.0760444143895511,0.781443956655176,0.0411662940402201,0.1214593269481,0.077886604890723,1.10853722682373,0.0011140560618039,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",328.640229608526,-0.280696562860189,0.180038122230216,-1.55909514820012,0.0747382132825483,1,0.0011140560618039,0.924548441206753,1.11893268021563,FALSE,FALSE,FALSE,FALSE,238.211675923495,316.775631247965,337.85087548421,349.636828611239,238.592970081052,381.361072612733,386.372787789209,333.249210043182,405.744044055613,298.607200236561,328.640229608526,0.0202250666033649,0.0806508864376557,0.0357735486362174,6,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
