"index","rank","d1_here","d2_here","d1_left","d1_right"
1592,1592,1.41323238951141e-05,1.89938714975566e-09,1.41314555310903e-05,1.41352543053898e-05
2349,2349,0.000129301264844537,-1.28070356004832e-09,0.000129301771352662,0.000129299209945541
2663,2663,8.92704761485013e-05,2.41706689949638e-09,8.92699079768617e-05,8.92747421106607e-05
2957,2957,0.000151580495071155,-2.46796459646864e-09,0.00015158158351417,0.000151576647584977
3641,3641,-0.000390023019470339,1.20727627400873e-08,-0.000390027982238901,-0.000390003836713421
3911,3911,-0.000219436375670819,-7.12048722903823e-09,-0.00021943595241453,-0.000219450193388988
4220,4220,-0.000480236381870086,8.99431770814831e-09,-0.000480237446999784,-0.000480219458364368
5035,5035,0.00053549289460404,-3.36590581669452e-09,0.000535489707605486,0.000535482975793853
5223,5223,0.00047008427822512,4.29799143904642e-09,0.000470082581240202,0.00047009117722308
5538,5538,0.000717636728499784,-2.72843774505506e-09,0.000717633766324127,0.000717628309448637
5930,5930,0.000378727508849421,1.37127143435873e-08,0.000378720851781115,0.000378748277209802
6303,6303,0.000667957998742029,-8.96008520988047e-11,0.000667954329115514,0.00066795414991381
6850,6850,9.41438152294087e-05,1.14288714527527e-09,9.41455213301353e-05,9.41478071044259e-05
7292,7292,0.000303255536399098,-8.91404652008686e-11,0.000303253831096151,0.000303253652815221
7611,7611,0.000217354332949871,4.14358790614153e-09,0.000217353154721776,0.000217361441897589
7884,7884,0.000301782540465689,-5.70522750709755e-09,0.000301785127298201,0.000301773716843187
8264,8264,7.47142552673118e-05,4.04974722921913e-09,7.47148864825624e-05,7.47229859770208e-05
8832,8832,0.000772049945729236,-2.07676690785364e-09,0.000772049019741024,0.000772044866207208
9984,9984,-4.34985344519742e-05,5.44571565803458e-09,-4.35012195710137e-05,-4.34903281396976e-05
11041,11041,0.000549411515886331,-7.0811731755584e-09,0.000549413648305807,0.000549399485959456
11913,11913,-0.000363331014023631,2.23562241886883e-09,-0.000363332072615642,-0.000363327601370804
12687,12687,0.000650243857445816,-1.01391529289679e-08,0.000650248775939308,0.00065022849763345
13333,13333,-2.13449211473775e-05,1.21340380172828e-09,-2.13432301932555e-05,-2.1340803385652e-05
13609,13609,5.39071261690615e-05,-3.79389126435694e-10,5.3904950043288e-05,5.39041912650352e-05
14193,14193,-0.000253040783014365,8.78447920481086e-09,-0.000253044876593481,-0.000253027307635072
14727,14727,0.000405929653751306,-9.55398735872127e-09,0.000405932883579468,0.00040591377560475
15830,15830,-0.000347185139889145,1.21567924044229e-09,-0.000347182324614974,-0.000347179893256493
16336,16336,9.06438965481574e-05,-6.97830606626829e-09,9.06468016865332e-05,9.06328450744006e-05
17095,17095,-0.000251796501683873,2.4499267874055e-09,-0.000251796359564702,-0.000251791459711127
18329,18329,0.0001842758000915,-6.34398593715018e-10,0.000184274565861418,0.00018427329706423
18363,18363,0.000183264508353223,2.34469181110209e-09,0.000183263907417191,0.000183268596800813
18694,18694,0.000272989204670741,-1.52954370228095e-09,0.000272988153597157,0.000272985094509753
19499,19499,-0.000295259344829528,4.00510024583763e-10,-0.000295258635102979,-0.00029525783408293
19807,19807,-0.000267874155581691,-3.74646925596289e-11,-0.000267874519414216,-0.000267874594343601
19926,19926,-0.000271665442218277,1.68157009500255e-09,-0.000271666278575684,-0.000271662915435494
20818,20818,-1.15078787868772e-05,-2.70062887613525e-09,-1.15075585855065e-05,-1.15129598432588e-05
21280,21280,-0.000240244531999724,1.55181175108259e-09,-0.000240244700980209,-0.000240241597356706
22667,22667,0.000425834930453909,-5.58095627037697e-09,0.000425836851441155,0.000425825689528615
23501,23501,-0.000156289574854527,3.77369241110818e-09,-0.000156291264051502,-0.00015628371666668
23766,23766,-0.000106229263057373,-7.96209031612396e-10,-0.00010623000198902,-0.000106231594407083
24315,24315,-0.00037255309296676,4.78830319465494e-10,-0.000372549628865875,-0.000372548671205236
24655,24655,-0.000224696772216515,-3.17932934469637e-09,-0.000224696297113542,-0.000224702655772232
25231,25231,-0.000433153592391215,2.17224444362916e-09,-0.000433154082653946,-0.000433149738165059
26381,26381,9.3589942401424e-05,-1.18215606737948e-09,9.35905307137292e-05,9.35881664015944e-05
27553,27553,-0.000385078118482642,1.42335618591267e-10,-0.000385077452230012,-0.000385077167558775
29052,29052,3.3552098198955e-05,-9.6552633486577e-10,3.35525664322569e-05,3.35506353795872e-05
29510,29510,1.54041395227161e-06,3.776955008298e-10,1.54041801166234e-06,1.541173402664e-06
31742,31742,0.00128101154745354,-1.33742908323893e-10,0.00128100991599489,0.00128100964850908
