"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","log_alpha_mu"
"50513","-",86,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"50560","-",87,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"50707","-",88,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"50820","-",89,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"51725","Sox6",90,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"52046","Vps35l",91,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"52267","Mosmo",92,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"53397","Kctd13",93,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"54698","Ebf3",94,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55046","-",95,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55080","Sirt3",96,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55194","Deaf1",97,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55374","-",98,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55583","Shank2",99,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55782","Aip",100,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"56000","Rbm4b",101,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"56270","-",102,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"56693","Slc22a25",103,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"56809","Hnrnpul2",104,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"56975","Asrgl1",105,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"57374","Osbp",106,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"60317","Lcor",107,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"60467","Hpse2",108,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"60553","-",109,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"60806","-",110,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"61822","-",111,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"61829","-",112,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"64538","Rbfox1",113,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"65364","Abca17",114,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"66537","Lcp2",115,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"67477","LOC108352072",116,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"68734","Adamts2",117,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"68944","Ube2b",118,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"69395","Sparc",119,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"69510","Gria1",120,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"69780","Olr1463",121,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"70033","Shmt1",122,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71027","Myh8",123,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71643","-",124,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71806","Nup88",125,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71934","Pitpnm3",126,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"72121","Zzef1",127,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"72569","Doc2b",128,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"72867","-",129,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"73210","Supt6h",130,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"73608","Myo1d",131,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"74275","-",132,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"75200","Tex14",133,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"76292","Ttll6",134,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"77441","-",135,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"77485","Ezh1",136,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"77755","Atxn7l3",137,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"77776","Ubtf",138,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"78938","Bptf",139,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"78979","Nol11",140,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"79480","Slc16a6",141,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"79653","Abca5",142,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"79918","Sdk2",143,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"80653","-",144,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"80746","Dnah17",145,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"80913","-",146,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"82228","-",147,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"83889","-",148,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"83973","Luc7l",149,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"84702","-",150,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"85603","Tbc1d9b",151,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"86595","-",152,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"86782","Gria1",153,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"87222","RGD1561277",154,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"88480","Ntn1",155,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"88665","Aurkb",156,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"88908","Zbtb4",157,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"88976","Acap1",158,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"90462","-",159,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"91474","Atad5",160,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"91618","LOC120095271",161,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"91651","LOC108352110",162,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"91818","-",163,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"92470","Rps6kb1",164,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"92712","Rnf43",165,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"92782","-",166,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"93927","LOC102547955",167,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"94987","Nbr1",168,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"96247","Cep112",169,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"96256","Cep112",170,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"97938","Aspscr1",171,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"98043","Foxk2",172,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"100261","-",173,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"101181","Paxbp1",174,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"101706","Vps26c",175,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"102633","Filip1l",176,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"107250","-",177,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"107499","Il1rap",178,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"109051","-",179,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"109152","-",180,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"109875","-",181,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"111017","Bach1",182,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"111314","Ifnar1",183,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"112739","St3gal6",184,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"113468","Dzip3",185,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"113742","Boc",186,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"113923","Zbtb20",187,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"113932","-",188,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"114956","Kalrn",189,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"115087","Kalrn",190,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"115442","Ppp1r2",191,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"115669","Atp13a5",192,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"116087","-",193,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"116399","Igf2bp2",194,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"116407","Tmem41a",195,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"117173","-",196,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"117756","Elavl1",197,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"118444","Wasf3",198,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"118832","Pms2",199,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"119458","Elfn1",200,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"120001","RGD1563400",201,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"120242","Cux1",202,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"121426","-",203,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"121993","Bcl7a",204,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"122774","Tbx3",205,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"122778","-",206,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"126257","-",207,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"126847","Agfg2",208,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"127108","Cux1",209,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"128292","-",210,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"128539","Rimbp2",211,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"129295","-",212,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"130036","-",213,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"131006","Alkbh2",214,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"131955","-",215,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"132609","-",216,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"132691","-",217,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"132927","-",218,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"133468","Dpp10",219,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"134342","-",220,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"134363","Thsd7b",221,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"134367","Thsd7b",222,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"134762","Nfasc",223,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"135736","Camsap2",224,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"135829","-",225,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"136223","-",226,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"136397","Pdc",227,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"136414","Odr4",228,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"136891","-",229,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"137407","-",230,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"137699","Brinp2",231,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"138025","Klhl20",232,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"138541","Blzf1",233,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"139449","Fcgr2b",234,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"139459","LOC498276",235,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"139563","Usp21",236,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"140083","Rgs7",237,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"140819","-",238,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"141065","LOC108352582",239,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"141415","Fbxo28",240,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"142226","LOC498316",241,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"143458","-",242,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"144318","-",243,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"145259","Ubxn4",244,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"145851","Ppp1r15b",245,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"146294","Lmod1",246,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"146780","-",247,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"146840","-",248,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"146908","-",249,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"147488","Arpc5",250,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
