"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_standard_call","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT2_ZT8_leading_edge_dataset","8277","Apoe",5355.13833594089,4.75837717309109e-06,"upregulated",0.696884648848516,0.146321949297986,0.146321949297986,0.999780932337428,0.0250463435474759,0.538517407509929,7.61937841282856e-06,0.0342067254983343,1.46588849746266,0.109097189422786,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.516469458228278,0.355536935586532,1.45264642441791,FALSE,FALSE,0.834690521830984,1,0.109097189422786,FALSE,FALSE,14257.8226612522,3394.14352112591,5031.9409073661,2584.11989845057,6247.83352495982,4707.66646569007,4045.53343701738,4848.58264572506,4219.90401214943,4213.83628567232,0.224624501654357,0.0757403054358455,0.151637777431309,10,FALSE,9.51502995760192e-05,1.60125566672533
"RT2_ZT8_leading_edge_dataset","169957","Nsg1",1384.21639134583,-2.82840809879652e-06,"downregulated",0.760087585392463,0.164936834618451,0.164936834618451,0.999780932337428,0.0321946395478818,0.574939259560264,4.22059704402324e-06,0.0342067254983343,1.46588849746266,0.192278763414192,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.591902893634853,0.426241005472167,-1.38865779227218,FALSE,FALSE,0.782682344445684,1,0.192278763414192,FALSE,FALSE,720.356517403085,1461.90408255104,1491.59436831627,1036.60499422906,811.985808609853,1097.2100942521,986.559944221982,4536.20216441362,721.198284562262,978.547654898976,0.354357638527757,0.0850642149702864,0.217448451307874,10,FALSE,9.51502995760192e-05,1.49221643291825
"RT2_ZT8_leading_edge_dataset","441714","Vsnl1",2109.16726397236,-8.09852855527282e-06,"downregulated",0.212794264950018,0.0159440870506382,0.0159440870506382,0.999780932337428,0.000201053122230066,0.0529636528725841,2.99377428695012e-05,0.0342067254983343,1.46588849746266,0.183005872625787,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.708152026931818,0.293815495298896,-2.41019292128014,FALSE,FALSE,1.79740034316428,1,0.183005872625787,FALSE,FALSE,716.818420559259,1686.23236859046,2361.78842030971,1731.50818370432,1514.47949744296,2536.9091509552,2739.22968815836,3777.12974970936,2260.66286365148,1766.91429664245,0.12135565244178,0.0807423126233424,0.103171591809151,9,FALSE,9.51502995760192e-05,3.69668917818524
"RT2_ZT8_leading_edge_dataset","60635","Scd2",1499.01023483867,3.83864352950993e-06,"upregulated",0.503320305852488,0.084440448942455,0.084440448942455,0.999780932337428,0.0077785480115562,0.377526761261775,8.09608868535722e-06,0.0342067254983343,1.46588849746266,0.0737474872789105,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.517610167337376,0.299979855398473,1.72548308835544,FALSE,FALSE,1.07344946635547,1,0.0737474872789105,FALSE,FALSE,3329.34913004078,1840.81152367645,1137.67651898203,1102.31687975863,1413.70798897587,1152.00832824426,1210.65389277102,1367.42428589639,1506.25710199603,929.896698045242,0.126286532111285,0.0841012923390655,0.107397452880638,9,FALSE,9.51502995760192e-05,2.10910146334708
"RT2_ZT8_leading_edge_dataset","65983","Hba-a2",1856.06201203769,-5.9288583881772e-06,"downregulated",0.688813610808939,0.102554803774474,0.102554803774474,0.999780932337428,0.0117939235506745,0.430253674222011,1.14328648140297e-05,0.0342067254983343,1.46588849746266,0.0748232570848466,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.505137260901222,0.309408116141576,-1.63259214787399,FALSE,FALSE,0.989043992010541,1,0.0748232570848466,FALSE,FALSE,2388.21536958292,1321.46326482048,956.629434339098,1085.88890837624,1917.56553131134,1350.02921926138,1769.06686212289,1831.7407989741,2339.84992441215,3600.17080717635,0.141823827017157,0.0818676403908956,0.114418151225843,10,FALSE,9.51502995760192e-05,1.9283416916869
"RT2_ZT8_leading_edge_dataset","42310","Slc17a7",3212.26147027972,-8.46937176722624e-06,"downregulated",0.688813610808939,0.0931728991623248,0.0931728991623248,0.999780932337428,0.00960681303893574,0.396379976398083,1.70862855901713e-05,0.0342067254983343,1.46588849746266,0.0288174429531035,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.436288985416962,0.259867058585891,-1.67889299933242,FALSE,FALSE,1.03071039081985,1,0.0288174429531035,FALSE,FALSE,2318.86867144392,1461.90408255104,3830.02187447851,3748.8630694623,2294.48973125075,3847.08510913138,3532.66801818361,4445.04054535386,3427.18193077108,3216.49167017076,0.0786135328976576,0.077908493833748,0.0807869409892426,8,FALSE,9.51502995760192e-05,2.01742066115101
"RT2_ZT8_leading_edge_dataset","574524","Plp1",2694.25805941534,-3.42772627113366e-05,"downregulated",0.696884648848516,0.130436186217283,0.130436186217283,0.999780932337428,0.0196569803815494,0.506932799511734,5.84935728142026e-05,0.0342067254983343,1.46588849746266,0.0018041536915158,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.293726246675315,0.19421405804968,-1.51238406542219,FALSE,FALSE,0.884601907880518,1,0.0018041536915158,FALSE,FALSE,2434.21062855267,2185.78695514885,3007.7176964874,1890.85950611354,2585.17677490583,3426.13503891888,2675.46311743302,3468.39573316031,2784.31923319787,2484.51591023503,0.0261713275252068,0.0789502448261382,0.0449225396893883,10,FALSE,9.51502995760192e-05,1.70648319577913
"RT2_ZT8_leading_edge_dataset","379654","Ldhb",991.491273347598,5.66480471930545e-06,"upregulated",0.688813610808939,0.110702407201362,0.110702407201362,0.999780932337428,0.0138807985014182,0.455986876410601,1.05228593907599e-05,0.0342067254983343,1.46588849746266,0.0418865152110337,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.450022877253425,0.282138229637771,1.59504395356558,FALSE,FALSE,0.955842935373291,1,0.0418865152110337,FALSE,FALSE,1945.24564473584,1101.84775789953,1038.39263385526,551.979838448436,1084.26267283344,977.650310996483,802.54784012887,811.946153758922,836.998717502601,764.041163316602,0.0998022295846255,0.0900447635178694,0.0945762294386748,9,FALSE,9.51502995760192e-05,1.85758555010703
"RT2_ZT8_leading_edge_dataset","94707","Cnp",1276.41471079594,-3.93597504276866e-05,"downregulated",0.482814349124337,0.0402262072635834,0.0402262072635834,0.999780932337428,0.00155464503014202,0.196639628050247,0.000110536693390373,0.0342067254983343,1.46588849746266,0.101074672181047,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.593131021438292,0.289132137773915,-2.05141851751563,FALSE,FALSE,1.3954909130451,1,0.101074672181047,FALSE,FALSE,1764.80270570068,474.105579318616,911.075651751522,974.17870297596,963.143071310494,1458.38027283679,1513.08962821118,1673.72732593718,1763.40218102532,1268.24198889167,0.11191225034092,0.0861261822242189,0.0995712354368104,8,FALSE,9.51502995760192e-05,2.80836875715094
"RT2_ZT8_leading_edge_dataset","469006","Rpl41",1806.49507686101,-2.22838159187958e-06,"downregulated",0.696884648848516,0.120587320033926,0.120587320033926,0.999780932337428,0.0166465965438327,0.48311876626571,3.96356561656558e-06,0.0342067254983343,1.46588849746266,0.00736693710717227,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.349795819146623,0.225338441412241,-1.55231312045288,FALSE,FALSE,0.918698356613889,1,0.00736693710717227,FALSE,FALSE,1885.80561775955,1132.95210008146,1685.48995574032,1297.80973920912,1939.85153799156,2244.23676486072,2195.39193497228,2345.89233047114,1938.80577797907,1398.71500954486,0.0424067003714032,0.082124942996744,0.060415909014212,13,FALSE,9.51502995760192e-05,1.7786745461411
