"rank_index","n_leading_edge","n_remainder","leading_mean_abs","leading_sd_dev","leading_skew_abs","leading_distortion","remainder_mean_abs","remainder_sd_dev","remainder_skew_abs","remainder_distortion","total_distortion","balance_penalty","split_score"
3037,3037,28621,0.160373644057561,0.701264144191213,0.159089697081952,0.941182636789749,0.106391114270192,0.263247358779727,0.0613116147453395,0.400294280422589,1.34147691721234,0.540888356367161,-1.61192109539592
3062,3062,28596,0.15474360170627,0.70447631730796,0.151887738376223,0.935163788202341,0.106021479680688,0.262435528983352,0.0604770461231735,0.398695531725627,1.33385931992797,0.536468256476715,-1.60209344816633
3087,3087,28571,0.152907097830718,0.701663548635362,0.151006471514508,0.930073882223333,0.10605122451184,0.26240814822341,0.0607815363070705,0.398850140888786,1.32892402311212,0.531223741334548,-1.59453589377939
3112,3112,28546,0.152624199755357,0.701395352873012,0.156321860254688,0.932180482755713,0.106247174180727,0.261978885067273,0.0622747504743096,0.399363434485155,1.33154391724087,0.532817048270558,-1.59795244137615
3137,3137,28521,0.148921899120887,0.700349936064331,0.153795282497537,0.926169476433987,0.10606687430548,0.261741200910639,0.0624746397168752,0.399045395074556,1.32521487150854,0.52712408135943,-1.58877691218826
3162,3162,28496,0.151724972921078,0.699729270398439,0.150637483842566,0.9267729852408,0.106601617381415,0.261296269924297,0.0610361031832002,0.398415938897313,1.32518892413811,0.528357046343487,-1.58936744730986
3187,3187,28471,0.148668583500172,0.697542951128631,0.150859606756437,0.921641338007021,0.106486322929978,0.261220282815064,0.0618929406374856,0.398653076063785,1.32029441407081,0.522988261943236,-1.58178854504242
3212,3212,28446,0.145300242529328,0.696068957979233,0.152867266642761,0.917802833829942,0.106330229330259,0.261048062767366,0.0632825550372439,0.399019569616248,1.31682240344619,0.518783264213694,-1.57621403555304
3237,3237,28421,0.14039484882777,0.706985523300828,0.195553184724834,0.945156964491015,0.105992873233871,0.25900883639922,0.0760499158408535,0.403026667553517,1.34818363204453,0.542130296937498,-1.61924878051328
3262,3262,28396,0.1360339575293,0.706529909808715,0.189977794603424,0.937552764639727,0.105708835539686,0.258691059284437,0.0756337308080679,0.402216760228157,1.33976952486788,0.53533600441157,-1.60743752707367
3287,3287,28371,0.137519927061498,0.704945302218911,0.187495318441915,0.936212888501367,0.106094015888601,0.258421226433471,0.0747361173270809,0.401883300985613,1.33809618948698,0.534329587515755,-1.60526098324486
3312,3312,28346,0.132645387198338,0.708181522639942,0.202332680301106,0.941993249988833,0.105739322900065,0.257532877371606,0.0803167442571085,0.403430572400226,1.34542382238906,0.538562677588608,-1.61470516118336
3337,3337,28321,0.133936453323614,0.704554353307603,0.202805484465155,0.939893548863795,0.106101877379515,0.257594629508919,0.0803597191157066,0.403876366446288,1.34376991531008,0.536017182417507,-1.61177850651884
3362,3362,28296,0.137181628670871,0.706193947543483,0.189737659014856,0.938244405721782,0.106699532093435,0.256770690277258,0.0758430117563423,0.401391728248864,1.33963613397065,0.536852677472918,-1.60806247270711
