"dense_rank","dense_smooth_log1p_empirical_variance","dense_d2"
1,-1.02761988076033,-2.03153046282528e-07
1.24999409574342,-1.02657427430876,-2.01140995321222e-07
1.49998819148685,-1.02552868042791,-1.99128944359917e-07
1.74998228723027,-1.02448309899204,-1.97116893398611e-07
1.9999763829737,-1.02343752987538,-1.95104842437306e-07
2.24997047871712,-1.0223919729522,-1.93092791476001e-07
2.49996457446055,-1.02134642809675,-1.91080740514695e-07
2.74995867020397,-1.02030089518329,-1.8906868955339e-07
2.9999527659474,-1.01925537408606,-1.87056638592085e-07
3.24994686169082,-1.01820986467931,-1.85044587630779e-07
3.49994095743425,-1.01716436683731,-1.83032536669474e-07
3.74993505317767,-1.0161188804343,-1.81020485708169e-07
3.9999291489211,-1.01507340534453,-1.79008434746863e-07
4.24992324466452,-1.01402794144227,-1.76996383785558e-07
4.49991734040795,-1.01298248860176,-1.74984332824253e-07
4.74991143615137,-1.01193704669725,-1.72972281862947e-07
4.99990553189479,-1.01089161560299,-1.70960230901642e-07
5.24989962763822,-1.00984619519325,-1.68948179940336e-07
5.49989372338164,-1.00880078534227,-1.66936128979031e-07
5.74988781912507,-1.0077553859243,-1.64924078017726e-07
5.99988191486849,-1.00670999681361,-1.6291202705642e-07
6.24987601061192,-1.00566461788443,-1.60899976095115e-07
6.49987010635534,-1.00461924901103,-1.5888792513381e-07
6.74986420209877,-1.00357389006765,-1.56875874172504e-07
6.99985829784219,-1.00252854092855,-1.54863823211199e-07
7.24985239358562,-1.00148320146799,-1.52851772249894e-07
7.49984648932904,-1.00043787156021,-1.50839721288588e-07
7.74984058507246,-0.999392551079462,-1.48827670327283e-07
7.99983468081589,-0.998347239900008,-1.46815619365978e-07
8.24982877655932,-0.997301937896097,-1.44803568404672e-07
8.49982287230274,-0.996256644941981,-1.42791517443367e-07
8.74981696804616,-0.995211360911913,-1.40779466482061e-07
8.99981106378959,-0.994166085680147,-1.38767415520756e-07
9.24980515953301,-0.993120819120934,-1.36755364559451e-07
9.49979925527644,-0.992075561108529,-1.34743313598145e-07
9.74979335101986,-0.991030311517182,-1.3273126263684e-07
9.99978744676329,-0.989985070221147,-1.30719211675535e-07
10.2497815425067,-0.988939837094677,-1.28707160714229e-07
10.4997756382501,-0.987894612012026,-1.26695109752924e-07
10.7497697339936,-0.986849394847444,-1.24683058791619e-07
10.999763829737,-0.985804185475185,-1.22671007830313e-07
11.2497579254804,-0.984758983769502,-1.20658956869008e-07
11.4997520212238,-0.983713789604648,-1.18646905907702e-07
11.7497461169673,-0.982668602854875,-1.16634854946387e-07
11.9997402127107,-0.981623423394437,-1.14622803985092e-07
12.2497343084541,-0.980578251097584,-1.12610753023786e-07
12.4997284041975,-0.979533085838572,-1.10598702062481e-07
12.749722499941,-0.978487927491653,-1.08586651101176e-07
12.9997165956844,-0.977442775931078,-1.0657460013987e-07
13.2497106914278,-0.976397631031101,-1.04562549178565e-07
13.4997047871712,-0.975352492665975,-1.0255049821726e-07
13.7496988829147,-0.974307360709952,-1.00538447255954e-07
13.9996929786581,-0.973262235037286,-9.85263962946489e-08
14.2496870744015,-0.972217115522228,-9.65143453333436e-08
14.4996811701449,-0.971172002039032,-9.45022943720382e-08
14.7496752658884,-0.97012689446195,-9.24902434107328e-08
14.9996693616318,-0.969081792665235,-9.04781924494274e-08
15.2496634573752,-0.968036696523141,-8.84661414881221e-08
15.4996575531186,-0.96699160590992,-8.64540905268167e-08
15.7496516488621,-0.965946520699823,-8.44420395655219e-08
15.9996457446055,-0.964901440767105,-8.2429988604206e-08
16.2496398403489,-0.963856365986017,-8.04179376429007e-08
16.4996339360923,-0.962811296230814,-7.84058866815953e-08
16.7496280318358,-0.961766231375747,-7.63938357202899e-08
16.9996221275792,-0.960721171295069,-7.43817847589846e-08
17.2496162233226,-0.959676115863033,-7.23697337976792e-08
17.499610319066,-0.958631064953892,-7.03576828363836e-08
17.7496044148095,-0.957586018441898,-6.83456318750685e-08
17.9995985105529,-0.956540976201304,-6.63335809137631e-08
18.2495926062963,-0.955495938106364,-6.43215299524578e-08
18.4995867020397,-0.954450904031329,-6.23094789911525e-08
18.7495807977831,-0.953405873850453,-6.02974280298471e-08
18.9995748935266,-0.952360847437988,-5.82853770685417e-08
19.24956898927,-0.951315824668186,-5.62733261072363e-08
19.4995630850134,-0.950270805415302,-5.4261275145931e-08
19.7495571807568,-0.949225789553588,-5.22492241846256e-08
19.9995512765003,-0.948180776957295,-5.02371732233203e-08
20.2495453722437,-0.947135767500678,-4.82251222620149e-08
20.4995394679871,-0.946090761057988,-4.62130713007096e-08
20.7495335637305,-0.945045757503478,-4.42010203394042e-08
20.999527659474,-0.944000756711402,-4.21889693780988e-08
21.2495217552174,-0.942955758556013,-4.01769184167935e-08
21.4995158509608,-0.941910762911562,-3.81648674554982e-08
21.7495099467042,-0.940865769652302,-3.61528164941828e-08
21.9995040424477,-0.939820778652487,-3.41407655328774e-08
22.2494981381911,-0.938775789786369,-3.2128714571572e-08
22.4994922339345,-0.937730802928201,-3.01166636102667e-08
22.7494863296779,-0.936685817952235,-2.81046126489613e-08
22.9994804254214,-0.935640834732724,-2.6092561687656e-08
23.2494745211648,-0.934595853143922,-2.40805107263415e-08
23.4994686169082,-0.933550873060081,-2.20684597650453e-08
23.7494627126516,-0.932505894355453,-2.00564088037399e-08
23.9994568083951,-0.931460916904291,-1.80443578424345e-08
24.2494509041385,-0.930415940580849,-1.6032306881139e-08
24.4994449998819,-0.929370965259378,-1.40202559198238e-08
24.7494390956253,-0.928325990814132,-1.20082049585185e-08
24.9994331913688,-0.927281017119363,-9.99615399721309e-09
25.2494272871122,-0.926236044049324,-7.98410303590774e-09
25.4994213828556,-0.925191071478269,-5.9720520746024e-09
25.749415478599,-0.924146099280449,-3.96000111330679e-09
25.9994095743425,-0.923101127330117,-1.94795015199168e-09
26.2494036700859,-0.922056155501527,6.41008093136852e-11
26.4993977658293,-0.92101118366893,2.07615177061905e-09
26.7493918615727,-0.91996621170658,4.08820273192442e-09
26.9993859573162,-0.918921239488729,6.10025369322979e-09
27.2493800530596,-0.917876266889631,8.11230465453516e-09
27.499374148803,-0.916831293783537,1.01243556158405e-08
27.7493682445464,-0.915786320044701,1.21364065771458e-08
27.9993623402899,-0.914741345547375,1.41484575384512e-08
28.2493564360333,-0.913696370165813,1.61605084997566e-08
28.4993505317767,-0.912651393774267,1.81725594610619e-08
28.7493446275201,-0.911606416246989,2.01846104223673e-08
28.9993387232636,-0.910561437458233,2.21966613836642e-08
29.249332819007,-0.909516457282251,2.4208712344978e-08
29.4993269147504,-0.908471475593296,2.62207633062834e-08
29.7493210104938,-0.90742649226562,2.82328142675887e-08
29.9993151062373,-0.906381507173477,3.02448652288847e-08
30.2493092019807,-0.905336520191119,3.22569161901995e-08
30.4993032977241,-0.9042915311928,3.42689671515131e-08
30.7492973934675,-0.903246540052771,3.62810181128101e-08
30.999291489211,-0.902201546645285,3.82930690741155e-08
31.2492855849544,-0.901156550844596,4.03051200354209e-08
31.4992796806978,-0.900111552524955,4.23171709967263e-08
31.7492737764412,-0.899066551560616,4.43292219580316e-08
31.9992678721847,-0.898021547825832,4.63412729193369e-08
32.2492619679281,-0.896976541194855,4.83533238806423e-08
32.4992560636715,-0.895931531541938,5.03653748419477e-08
32.7492501594149,-0.894886518741334,5.2377425803253e-08
32.9992442551584,-0.893841502667295,5.43894767645584e-08
33.2492383509018,-0.892796483194075,5.64015277258558e-08
