"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","lessAbs_pvalue","lessAbs_padj","empirical_p","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","hc_pass","standard_flag","strong_alt_BH20_flag","strong_flag","lessAbs_alt_BH20_flag","weak_hbfss_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT2_ZT8","Lead_RawEVS","Lead","248551","248551","Mbp",19338.8813926723,0.0740709632134593,7.50255081391315e-07,"upregulated",0.2286132158755,0.819169551794353,0.999778494783935,1,1,0.00213298070341778,0.00727434613554578,0.753612120912352,0.994711596171192,0.978748993814478,1,0.122852125073171,9.21704310958682e-08,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.324001230330434,42520.5740652542,15092.0673849046,16339.6391861465,11564.267532167,13657.0011431961,19707.9608505754,18587.4203756036,20826.0651064357,17099.2092232037,17994.6090592363,0.198075594498078,0.0726865852850243,0.126038500772508,12,FALSE
"RT2_ZT8","Lead_RawEVS","Lead","55601","55601","Bc1",17153.4867202139,0.311194881449267,1.99299540889822e-06,"upregulated",0.669237590324727,0.50334393085329,0.999778494783935,1,1,0.069262767972563,0.0943798802416262,0.358176107897252,0.976823391403051,0.95631230081575,1,0.445903387092372,8.88683403287264e-07,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.46499910636859,30068.3880652666,7099.35960163375,8462.14835440735,26403.9344319,22948.908621415,15325.2438061313,15248.3089290856,25961.8800326971,16216.9024105399,3799.79294906264,0.377267532701533,0.0727520212307765,0.259654431796221,10,FALSE
"RT2_ZT8","Lead_RawEVS","Lead","25328","25328","-",5525.9686342544,0.746026262970646,7.47098014013017e-07,"upregulated",0.731279401454966,0.464608509593566,0.999778494783935,1,1,0.40169842039585,0.420254799039254,0.315365188320378,0.968743472096449,0.950674214861754,1,0.501186248086273,3.7443525059589e-07,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.02016583741637,16398.5468121766,684.287285392647,6380.3415074979,1711.30416395297,9443.61992851954,1058.15387458556,10710.3574699634,629.285041227379,637.221586923855,7606.56867230426,1.24987455943828,0.0739704396667343,1.24987455943828,11,TRUE
"RT2_ZT8","Lead_RawEVS","Lead","8277","8277","Apoe",5262.12181450941,0.481808558753266,3.86976262128123e-06,"upregulated",1.34161842804697,0.179719747972747,0.999778494783935,1,1,0.0745203402464429,0.100397336799049,0.0654740271843124,0.786742469762122,0.800056368331678,1,1.1839309456194,4.58153171953608e-06,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.359124881323112,13254.7464585424,3485.31614526014,5098.59232318697,2631.36016607822,6191.40430087381,4689.12267987505,3997.03340538717,4576.51418314679,4261.90308339356,4435.22539934999,0.197533704035305,0.0740605662308818,0.154714338868554,7,FALSE
"RT2_ZT8","Lead_RawEVS","Lead","179269","179269","Lcp1",8362.57869661571,-0.168912539547855,-9.24430649887499e-07,"downregulated",-0.389477545625384,0.696922917964025,0.999778494783935,1,1,0.0276624042874547,0.0459397867005502,0.59282780698162,0.983270365417787,0.973140192982361,1,0.227071433680136,2.09911793007814e-07,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.433690058502942,13548.1415114239,6239.88702818443,3536.34955006562,9264.1275268539,6780.01019982475,4886.36355450471,6572.91937841533,13754.2091463162,15808.4270343067,3235.3520362616,0.292367989487418,0.0733607325419445,0.225794965165702,10,FALSE
"RT2_ZT8","Lead_RawEVS","Lead","415923","415923","-",9949.91223630446,-0.0351419752614599,7.84020357710139e-07,"upregulated",-0.0854155632790328,0.931931020671923,0.999778494783935,1,1,0.00950921344289041,0.0209844624234119,0.906643421834504,0.994711596171192,0.982272338787708,1,0.0425634851322477,3.3370638838775e-08,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.41142356161323,11737.7756245855,5470.42678506257,5009.82852925962,12378.9353013216,14548.0717373665,8527.25642895796,6482.01634442656,20880.5610762777,10182.6461683743,4281.60436741239,0.269730773304436,0.0731712457299196,0.20321259713659,9,FALSE
"RT2_ZT8","Lead_RawEVS","Lead","565080","565080","-",1547.10351225934,0.243431869566398,2.89248893828258e-07,"upregulated",0.254661725260978,0.798984380546013,0.999778494783935,1,1,0.214334979483159,0.243695336498721,0.726605874851605,0.994711596171192,0.977976538706425,1,0.138701095042917,4.01191383139319e-08,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.955902852369859,5710.02031168535,482.001510785768,169.242967088147,1221.16523918443,803.691904440351,1986.05434139681,2862.99555562634,1089.91939683867,1015.59877753991,130.345118007662,1.09687890001054,0.0785932033630259,1.09687890001054,10,TRUE
"RT2_ZT8","Lead_RawEVS","Lead","56995","56995","Fth1",2543.87277547503,-0.0233495450106898,2.42972640850649e-06,"upregulated",-0.0733189335303718,0.941552325469599,0.999778494783935,1,1,0.00108203716337198,0.0045238362255871,0.919816384760551,0.994711596171192,0.982521784452115,1,0.0362988585718126,8.81962952705753e-08,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.318465420681786,4678.53277150993,2304.50923128698,1361.04484021936,2106.09183031944,2165.26313561887,2309.82709786438,3042.10153348539,3446.43986116143,2429.35355338717,1595.56389989736,0.143452126920932,0.0760775538032229,0.121418928549282,10,FALSE
"RT2_ZT8","Lead_RawEVS","Lead","470412","470412","-",1107.70754944183,-0.208897404593663,2.10011937208282e-07,"upregulated",-0.214405860633422,0.830230571806876,0.999778494783935,1,1,0.208406335879685,0.237929379701329,0.768472327079077,0.994711596171192,0.979151364129204,1,0.114371766958305,2.40194363408478e-08,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.974308276725809,3634.54633894719,267.133367423438,294.695795838801,518.577019379688,422.490367925632,2886.66361800774,2075.46927107021,483.580027123683,298.402011690388,195.517677011493,1.13928138055644,0.0811399271150956,1.13928138055644,10,TRUE
"RT2_ZT8","Lead_RawEVS","Lead","249918","249918","Mt3",2257.72054875331,0.0539085004418912,3.5790435271367e-07,"upregulated",0.133988595003385,0.893411592979711,0.999778494783935,1,1,0.00934911636483768,0.0207579527035677,0.854042557507747,0.994711596171192,0.98120100994315,1,0.0685204875893635,2.45237807582962e-08,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.402336485732457,3698.35647376671,962.067272532236,1940.96829387805,2221.51703785879,2677.05260403787,637.621443771369,2775.69264179555,3276.64189196973,2342.49878917757,2044.78903874519,0.260752358434026,0.0765724359887758,0.193982657861582,8,FALSE
