"dataset_name","feature_id","gene_symbol","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","baseMean.x","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","display_weak_flag","display_strong_flag","display_standard_flag","display_hbfss_flag","R8_1","R8_2","R8_3","R8_4","R8_5","ZT14_1","ZT14_2","ZT14_3","ZT14_4","ZT14_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT8_ZT14_NormEVS_remainder_dataset","372806","-",-0.623318088134464,-0.0754842996722924,-0.0754842996722924,"downregulated",-1.73075369893638,0.0834957031865728,0.696876749570546,0.0569781166604288,0.710943582010515,0.703768282545137,1,0.0939245034077602,0.0939245034077602,0.0181617074315576,1.74084332468905,0.197531592342418,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,24.8185708308762,0.360142571711688,0.0569781166604288,0.703768282545137,0.710943582010515,0.0569781166604288,FALSE,FALSE,FALSE,1,0.197531592342418,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.8092520451693,22.114915881329,15.2362985611164,9.64077022325512,17.3480794231715,22.6026510896472,34.9024077847245,15.8099697534814,35.5176069629863,41.2037565838808,0.115414216367007,0.112127379502629,0.113194715830062,7,24.8185708308762,FALSE,0.156844024935774,1.24429190991404,0.152570309859483
"RT8_ZT14_NormEVS_remainder_dataset","372811","Nat8f3",-1.15184470964792,-0.0939046013661105,-0.0939046013661105,"downregulated",-2.47598795293602,0.0132868061426136,0.406137997693831,0.0064675327579522,0.317777218739054,0.327277451781612,0.52333972371879,0.205581715570394,0.205581715570394,0.0181617074315576,1.74084332468905,0.647010568708329,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,16.9437783938897,0.465206104206632,0.0064675327579522,0.327277451781612,0.317777218739054,0.0064675327579522,FALSE,TRUE,FALSE,1,0.647010568708329,"intermediate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.402846783129,12.0626813898158,11.4272239208373,11.0180231122916,6.30839251751692,29.7403303811148,6.67251913531498,35.5724319453331,30.7819260345882,15.4514087189553,0.197558675781253,0.180880712784945,0.188902331183004,10,16.9437783938897,FALSE,0.391326376634634,2.18926136291109,0.485083914961323
"RT8_ZT14_NormEVS_remainder_dataset","372822","Nat8f3",0.192135402541808,0.00894615889952508,0.00894615889952508,"upregulated",0.344622904195971,0.730377884432773,0.968996835389116,0.704676412675349,0.968171361198226,0.993192506201713,1,0.00135990798691198,0.00135990798691198,0.0181617074315576,1.74084332468905,0.122228945353598,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,12.5984701242036,0.557523601021449,0.704676412675349,0.993192506201713,0.968171361198226,0.704676412675349,FALSE,FALSE,FALSE,1,0.122228945353598,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18.2049818704758,11.3925324237149,7.61814928055821,15.1497817794009,15.7709812937923,0,10.7786847570473,10.8693542055184,13.023122553095,23.177113078433,0.346236787532094,0.264856871607524,0.293120583391018,9,12.5984701242036,FALSE,0.0136776412931856,0.152010265208253,0.00296656592730274
"RT8_ZT14_NormEVS_remainder_dataset","372829","Nat8f5",-0.405350437912566,-0.0111165737136737,-0.0111165737136737,"downregulated",-0.559848840236082,0.575582546863457,0.94966520937837,0.538079087718287,0.958723503352872,0.986909775366933,1,0.00299206901792911,0.00299206901792911,0.0181617074315576,1.74084332468905,0.253881795881745,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,10.5944009424764,0.724035505265375,0.538079087718287,0.986909775366933,0.958723503352872,0.538079087718287,FALSE,FALSE,FALSE,1,0.253881795881745,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.3039143268024,0,2.5393830935194,19.2815404465102,11.0396869056546,9.51690572195672,23.0971816222442,12.8456004247036,4.73568092839818,8.58411595497517,0.81764601328501,0.330972564055816,0.530223790958096,10,10.5944009424764,FALSE,0.0224294719169194,0.269153886349782,0.00572254930741319
"RT8_ZT14_NormEVS_remainder_dataset","372852","Nat8f2",-0.10619411657742,-0.00297230243057199,-0.00297230243057199,"downregulated",-0.147155542382314,0.883009250532301,0.989030232022537,0.871430826829683,0.974104273576348,0.996289528329839,1,0.000177645840062299,0.000177645840062299,0.0181617074315576,1.74084332468905,0.157296711843995,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,10.6467819389667,0.721645375078875,0.871430826829683,0.996289528329839,0.974104273576348,0.871430826829683,FALSE,FALSE,FALSE,1,0.157296711843995,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.402846783129,19.4343200169255,7.61814928055821,13.7725288903645,0,0,21.044098811378,5.92873865755551,15.3909630172941,12.8761739324628,0.966852970169514,0.328870112254005,0.531648415398493,10,10.6467819389667,FALSE,0.00479043297320059,0.0597670809790754,0.00161443438381663
"RT8_ZT14_NormEVS_remainder_dataset","372860","Nat8f1",-0.265947960365988,-0.00364064986683458,-0.00364064986683458,"downregulated",-0.256837101217231,0.797304527889787,NA,0.777584058546257,0.9710693321735,0.996289528329839,1,0.000397750651408014,0.000397750651408014,0.0181617074315576,1.74084332468905,NA,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,4.98249156308374,1.03547329846653,0.777584058546257,0.996289528329839,0.9710693321735,0.777584058546257,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6.70148966100878,2.5393830935194,4.13175866710934,9.46258877627537,10.7065189372013,7.69906054074805,0,0,8.58411595497517,1.40348542074785,0.907787565179229,1.08175285235881,9,4.98249156308374,FALSE,NA,0.109252651575045,0.00161443438381663
"RT8_ZT14_NormEVS_remainder_dataset","372862","Nat8f1",-0.648004837119596,-0.00868436379729286,-0.00868436379729286,"downregulated",-0.613457603332645,0.539573807864931,NA,0.499879627603908,0.955708968716044,0.986909775366933,1,0.00261516209170057,0.00261516209170057,0.0181617074315576,1.74084332468905,NA,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,4.01260166773793,1.05631560127264,0.499879627603908,0.986909775366933,0.955708968716044,0.499879627603908,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3.35074483050439,6.34845773379851,5.50901155614578,0,5.94806607622295,3.07962421629922,9.88123109592585,0,6.00888116848262,0.814683328145193,1.22417260276229,1.07660441113119,8,4.01260166773793,FALSE,NA,0.301134562386226,0.00572254930741319
"RT8_ZT14_NormEVS_remainder_dataset","372866","Tprkb",-0.823415786635655,-0.024685922737981,-0.024685922737981,"downregulated",-1.17333324275578,0.240662196388298,NA,0.196901745655649,0.894731436017357,0.91642293599409,1,0.0174221006750566,0.0174221006750566,0.0181617074315576,1.74084332468905,NA,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,8.1597550361315,0.701774872330145,0.196901745655649,0.91642293599409,0.894731436017357,0.196901745655649,FALSE,FALSE,FALSE,1,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.6042701746935,4.69104276270614,5.07876618703881,4.13175866710934,0,13.0857453676905,16.4246624869292,4.94061554796292,14.2070427851945,3.43364638199007,0.440913052239168,0.465952451977265,0.456059565197753,7,8.1597550361315,FALSE,NA,0.705750433555862,0.037904049937661
"RT8_ZT14_NormEVS_remainder_dataset","372867","Nat8b",0.0343592496367536,0.00289409487142319,0.00289409487142319,"upregulated",0.0836195925034359,0.933358888926899,0.992174281845936,0.926726148201812,0.975611720663145,0.996331049293089,1,9.56457342641911e-05,9.56457342641911e-05,0.0181617074315576,1.74084332468905,0.0321382010819811,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,22.2271241910694,0.410899510606223,0.926726148201812,0.996331049293089,0.975611720663145,0.926726148201812,FALSE,FALSE,FALSE,1,0.0321382010819811,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.805693566258,29.4865545084386,35.5513633092717,8.26351733421868,15.7709812937923,38.0676228878269,18.4777452977953,22.7268315206294,23.6784046419909,9.44252755047269,0.198300036512706,0.12839645155423,0.157996760845533,11,22.2271241910694,FALSE,0.00341203450317186,0.0330485828949888,0.00159633527811827
"RT8_ZT14_NormEVS_remainder_dataset","372868","Dusp11",-0.202131173328674,-0.016873284040175,-0.016873284040175,"downregulated",-0.49656593707905,0.619495178766648,0.953669852260371,0.58498208240723,0.961906922970651,0.986909775366933,1,0.00392906965597869,0.00392906965597869,0.0181617074315576,1.74084332468905,0.0613065523469576,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,15.2369401212452,0.407058072725789,0.58498208240723,0.986909775366933,0.961906922970651,0.58498208240723,FALSE,FALSE,FALSE,1,0.0613065523469576,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.10249093523788,12.0626813898158,17.140835881256,17.9042875574738,14.1938831644131,21.4130378744026,14.371579676063,23.714954630222,13.023122553095,9.44252755047269,0.0395764440376472,0.207295591684696,0.132995948651742,7,15.2369401212452,FALSE,0.0206019462152141,0.232857435850877,0.00572254930741319
