"comparison_name","dataset_key","dataset_label","dataset_name","n_features","n_standard_significant","n_HBFSS_significant","n_overlap","n_strong_effect","n_weak_effect","hc_p_threshold","hbfss_threshold","evs_cutoff_mode_main","evs_primary_preprocessing"
"RT8_ZT14","raw_dataset","Original dataset","RT8_ZT14_raw_dataset",31580,0,76,0,0,8714,0.0186581006283235,1.72913256898303,"shared_rank_exhaustive_search","normalized"
"RT8_ZT14","leading_edge_dataset","Leading-edge dataset","RT8_ZT14_leading_edge_dataset",31572,0,76,0,0,8654,0.0186700964618951,1.72885343819658,"shared_rank_exhaustive_search","normalized"
"RT8_ZT14","remainder_dataset","Remainder dataset","RT8_ZT14_remainder_dataset",8,0,0,0,0,2,0.235925959280714,0.627224270423859,"shared_rank_exhaustive_search","normalized"
