"percentile","rank_index","iod_emp_scaled_ctrl","cv2_emp_scaled_ctrl","iod_nb_scaled_ctrl","cv2_nb_scaled_ctrl","iod_emp_scaled_trt","cv2_emp_scaled_trt","iod_nb_scaled_trt","cv2_nb_scaled_trt","iod_emp_combined","cv2_emp_combined","iod_nb_combined","cv2_nb_combined","empirical_difference","theoretical_difference"
0.01,315,1,0.586388251534902,1,0.555599742073748,1,0.396721521646375,1,0.249483238740237,2,0.983109773181277,2,0.805082980813984,1.01689022681872,1.19491701918602
0.02,631,0.502645405304528,0.493099420079974,0.516500240011755,0.467531250573197,0.543399185953249,0.362467182505309,0.514930484456459,0.202911329231658,1.04604459125778,0.855566602585283,1.03143072446821,0.670442579804855,0.190477988672494,0.360988144663359
0.03,946,0.41188157741412,0.457380967589897,0.37676155642551,0.461389078564313,0.355005423233186,0.268582112509311,0.408555726320912,0.208009856951586,0.766887000647306,0.725963080099208,0.785317282746422,0.6693989355159,0.0409239205480986,0.115918347230522
0.04,1261,0.344893871495724,0.467928670826837,0.299667593631712,0.476407841667672,0.262724546070282,0.274656520213525,0.345217958778177,0.221576360092373,0.607618417566007,0.742585191040361,0.64488555240989,0.697984201760045,-0.134966773474355,-0.053098649350156
0.05,1577,0.279747651422631,0.427368838210792,0.324884749594332,0.504406688786897,0.247760638864629,0.247309136815889,0.314507081805081,0.201688825545066,0.52750829028726,0.674677975026681,0.639391831399413,0.706095514331962,-0.147169684739421,-0.0667036829325491
0.06,1892,0.254390418177198,0.398039666242087,0.225487165119633,0.400613513608023,0.255422843321397,0.265536073600585,0.337431539462164,0.236946641399513,0.509813261498595,0.663575739842672,0.562918704581797,0.637560155007536,-0.153762478344077,-0.0746414504257394
0.07,2207,0.206807560923393,0.40249769264534,0.186987239661702,0.415392555090258,0.248190076511235,0.267052831232269,0.30110861373902,0.226659347757884,0.454997637434627,0.669550523877608,0.488095853400722,0.642051902848142,-0.214552886442981,-0.153956049447419
0.08,2523,0.148042818064773,0.353490492530736,0.16898665704295,0.373846082993304,0.234101674788662,0.22085808121487,0.278370783664257,0.208965743548418,0.382144492853435,0.574348573745607,0.447357440707207,0.582811826541722,-0.192204080892172,-0.135454385834515
0.09,2838,0.164399177804739,0.392641255491981,0.212000472660156,0.445623600135693,0.216273807482705,0.263010704760235,0.227528070001434,0.242696909294992,0.380672985287444,0.655651960252217,0.43952854266159,0.688320509430685,-0.274978974964773,-0.248791966769095
0.1,3153,0.170479418896541,0.365364047160043,0.1727589378237,0.406710669869841,0.179350260537077,0.186737710781345,0.210190251334772,0.17519194820026,0.349829679433617,0.552101757941387,0.382949189158473,0.581902618070101,-0.20227207850777,-0.198953428911628
0.11,3469,0.158083582401444,0.353762834606248,0.148104733899086,0.398283206904326,0.204071733466493,0.38123559944434,0.209528673263893,0.303591466549498,0.362155315867937,0.734998434050589,0.357633407162979,0.701874673453824,-0.372843118182651,-0.344241266290845
0.12,3784,0.14984056126279,0.420330324200409,0.178941773249989,0.44127314414836,0.188817490788253,0.191850918967797,0.179308754723009,0.159996789139569,0.338658052051043,0.612181243168206,0.358250527972998,0.601269933287929,-0.273523191117164,-0.243019405314931
0.13,4099,0.195439681835963,0.323427454746729,0.156592454046671,0.313628734082371,0.197675637961251,0.232845608138129,0.224597697889086,0.222328135148342,0.393115319797214,0.556273062884857,0.381190151935757,0.535956869230712,-0.163157743087643,-0.154766717294955
0.14,4415,0.17547007756936,0.277877650812922,0.141510800248092,0.294640197102816,0.122263467000362,0.198148707177522,0.172506653622387,0.18124188452111,0.297733544569722,0.476026357990444,0.314017453870478,0.475882081623926,-0.178292813420721,-0.161864627753447
0.15,4730,0.227033854695918,0.375039289835483,0.151666872568127,0.397130733303645,0.171127232247258,0.273664305652672,0.229051015778236,0.245005150028659,0.398161086943176,0.648703595488155,0.380717888346364,0.642135883332305,-0.250542508544978,-0.261417994985941
0.16,5045,0.230753505852979,0.303356755575593,0.116198841903775,0.281396857422611,0.129307127003413,0.218974583466501,0.16725360365416,0.180963974180841,0.360060632856392,0.522331339042094,0.283452445557935,0.462360831603452,-0.162270706185702,-0.178908386045517
0.17,5361,0.0961771791585893,0.295361177768883,0.098284478199654,0.293526544365641,0.128345424185444,0.467954152905544,0.221513151362461,0.390128249233958,0.224522603344033,0.763315330674427,0.319797629562115,0.683654793599599,-0.538792727330395,-0.363857164037484
0.18,5676,0.265445407216637,0.431415023240015,0.194205811283806,0.524397376103349,0.157786997655092,0.164069878452373,0.183917814925099,0.159765518849301,0.423232404871729,0.595484901692388,0.378123626208906,0.68416289495265,-0.172252496820659,-0.306039268743744
0.19,5991,0.193728013014924,0.222886930849574,0.0966208362247885,0.245782087507801,0.128804355336491,0.157657559300803,0.140976492241574,0.119859589139888,0.322532368351415,0.380544490150377,0.237597328466362,0.36564167664769,-0.0580121217989617,-0.128044348181327
0.2,6307,0.191850019732245,0.262174351340499,0.134804837418984,0.294034382448559,0.128704502260727,0.187718791133108,0.197554323307783,0.184027906449155,0.320554521992972,0.449893142473607,0.332359160726767,0.478062288897714,-0.129338620480635,-0.145703128170947
0.21,6622,0.192451989140389,0.230240661890753,0.107623023988877,0.214384348614945,0.0855636161236291,0.413991658123838,0.148745774820706,0.365602773259036,0.278015605264018,0.644232320014591,0.256368798809583,0.57998712187398,-0.366216714750573,-0.323618323064397
0.22,6937,0.164104107820287,0.336156983342593,0.112513250425316,0.343990732729635,0.153680230045966,0.15337449152628,0.166717846596444,0.103550107159542,0.317784337866253,0.489531474868873,0.27923109702176,0.447540839889176,-0.17174713700262,-0.168309742867416
0.23,7253,0.157244851303536,1,0.112513250425316,1,0.0963354632367045,0.301540962443434,0.128738007412887,0.23335671088245,0.253580314540241,1.30154096244343,0.241251257838203,1.23335671088245,-1.04796064790319,-0.992105453044247
0.24,7568,0.164303211297025,0.327429215726213,0.112734257592754,0.295290747197162,0.126573874979608,0.141395404140916,0.176566986415374,0.0808958383608915,0.290877086276633,0.46882461986713,0.289301244008128,0.376186585558053,-0.177947533590497,-0.0868853415499248
0.25,7884,0.173056318882466,0.219744154484763,0.10393867875903,0.248060399091238,0.0517595222793238,0.226119177756098,0.113453463617151,0.191931338738023,0.22481584116179,0.44586333224086,0.21739214237618,0.439991737829261,-0.221047491079071,-0.222599595453081
0.26,8199,0.263284913857423,0.279747619654306,0.131214236999357,0.304964806749921,0.0595426031021807,0.215771683193871,0.106768308192622,0.228910508480306,0.322827516959603,0.495519302848177,0.237982545191979,0.533875315230227,-0.172691785888574,-0.295892770038248
0.27,8514,0.207153401566069,0.183671636639562,0.14609619626043,0.148844398183714,0.177670109572941,0.131611450818768,0.171410712576375,0.0875830326853309,0.38482351113901,0.31528308745833,0.317506908836805,0.236427430869045,0.0695404236806801,0.0810794779677599
0.28,8830,0.143317689074776,0.242279985867565,0.104344960476676,0.300546138012994,0.180156388793594,0.0983865977991641,0.162428690380008,0.0630628554786653,0.32347407786837,0.340666583666729,0.266773650856684,0.36360899349166,-0.0171925057983595,-0.0968353426349757
0.29,9145,0.207635260004366,0.2206945561588,0.124458749673924,0.18096758254057,0.171584800704151,0.0919621774840757,0.11910886635201,0.0552247755685283,0.379220060708516,0.312656733642876,0.243567616025934,0.236192358109099,0.0665633270656403,0.00737525791683538
