"comparison","n_features","empirical_control_crossing","empirical_treatment_crossing","empirical_combined_crossing","theoretical_combined_crossing"
"RT0_ZT6",31553,0.939571621548619,0.877884248280266,0.938288039706394,0.938061176264567
"RT2_ZT8",31534,0.95829179773685,0.968272470556821,0.954806374130783,0.955675434514177
"RT4_ZT10",31658,0.942576091355326,0.909560078691758,0.941398739569411,0.908584551582388
"RT8_ZT14",31580,0.958985636459904,0.97247746691666,0.977572516033957,0.963443927854862
