"index","rank","d1_here","d2_here","var_fit_here"
1587,1587,1.41486025375143e-05,-8.41084410984931e-09,4.07557287773866
1595,1595,1.4147301264697e-05,8.08552590551864e-09,4.07568597337323
2342,2342,0.00012927229419314,9.55803253044818e-09,4.14099587685797
2354,2354,0.00012927550644086,-9.02265791040286e-09,4.14254738663006
2660,2660,8.92798650051424e-05,-8.67630466024608e-09,4.17642080866054
2665,2665,8.92827058633401e-05,9.81264793932524e-09,4.17686717656906
2953,2953,0.000151568294584245,8.56820805130656e-09,4.21214646563412
2959,2959,0.000151570041055638,-7.98605092035683e-09,4.21305593030382
3640,3640,-0.000390027982238901,-2.14722561523811e-09,4.17180310704091
3910,3910,-0.00021943595241453,6.27397465254123e-09,4.08979432040756
3911,3911,-0.000219436375670819,-7.12048722903823e-09,4.08957488535973
4219,4219,-0.000480237446999784,-6.86405831136865e-09,3.98173979983137
4220,4220,-0.000480236381870086,8.99431770814831e-09,3.98125956159541
5034,5034,0.000535489707605486,9.73990292480107e-09,3.98629672560125
5035,5035,0.00053549289460404,-3.36590581669452e-09,3.98683221799451
5221,5221,0.000470086086268324,-6.10603464324994e-09,4.07949861743541
5224,5224,0.00047009117722308,9.5000044801946e-09,4.08090887162611
5537,5537,0.000717633766324127,8.65278905973685e-09,4.2649028438551
5538,5538,0.000717636728499784,-2.72843774505506e-09,4.26562048005095
5929,5929,0.000378720851781115,-3.98577732736709e-10,4.48297246128361
6302,6302,0.000667954329115514,7.42885388230221e-09,4.68259407948063
6304,6304,0.00066795414991381,-7.60805558649984e-09,4.68392999297196
6849,6849,9.41455213301353e-05,-4.55508859859191e-09,4.88013962330341
6851,6851,9.41478071044259e-05,6.84086288914245e-09,4.8803279128332
7290,7290,0.00030324853690638,7.08863318368638e-09,4.96912528790579
7294,7294,0.000303248180344519,-7.26691411409129e-09,4.97033830048102
7609,7609,0.000217357907213304,-7.71785133900427e-09,5.05295214591103
7611,7611,0.000217354332949871,4.14358790614153e-09,5.05338685419738
7882,7882,0.000301781477340726,6.76835247011634e-09,5.1243493689412
7884,7884,0.000301782540465689,-5.70522750709755e-09,5.12495293711687
8263,8263,7.47148864825624e-05,-5.3121777303603e-09,5.19854020482366
8264,8264,7.47142552673118e-05,4.04974722921913e-09,5.19861491861437
8830,8830,0.000772042088242572,9.93425357237722e-09,5.43530382353244
8833,8833,0.000772044866207208,-8.08227714796907e-09,5.43761996747651
9982,9982,-4.3498383496816e-05,-5.59667081625848e-09,5.82647848070049
9984,9984,-4.34985344519742e-05,5.44571565803458e-09,5.82639148010175
11040,11040,0.000549413648305807,2.81633422347516e-09,5.99577010086286
11041,11041,0.000549411515886331,-7.0811731755584e-09,5.99631951426975
11908,11908,-0.000363312766375527,-9.53468166059006e-09,6.01831039280663
