"index","rank","d1_here","d2_here","var_fit_here"
78,78,-0.000247549268127974,-9.87003679360317e-09,0.00995976105383204
336,336,-0.000253729722562077,-9.33976437698549e-09,-0.0546336240345164
359,359,-0.000253727447401975,9.53760438588353e-09,-0.0604702136664426
1843,1843,0.00492345950189338,-8.663284224325e-09,2.11822406732211
3243,3243,-0.000407237257467583,-4.22837409718076e-09,4.2797959056472
3244,3244,-0.00040723791682082,2.90966762269497e-09,4.27938866746522
4245,4245,0.000279484944573631,6.50828127307782e-09,4.2567665237906
4248,4248,0.000279483274679075,-7.6215443100561e-09,4.25760498671685
4753,4753,5.50925318940384e-05,-6.57866929329476e-09,4.34136233289586
4757,4757,5.50978574122449e-05,9.24142839650462e-09,4.34158269258101
5030,5030,0.00011531413898253,7.46597133311187e-09,4.36436520086223
5034,5034,0.000115310917642502,-9.07664134695802e-09,4.3648264730323
6198,6198,-0.00171800187288641,4.41114096358704e-09,3.63185982750361
6868,6868,0.00125964300407296,4.97504137489192e-09,3.48484111503463
7552,7552,-0.000625734484655691,-9.17143704553623e-09,3.67293601348694
7553,7553,-0.000625735727036975,6.68667447703234e-09,3.67231027705958
7557,7557,-0.000625678698127884,5.73066656913235e-09,3.66980746021534
7559,7559,-0.0006256784462077,-5.478746384515e-09,3.66855610680748
7869,7869,-0.000769170091442237,6.63046320402891e-09,3.45331632880591
8415,8415,0.00102118043583857,-4.68476910200616e-09,3.54281763318674
9045,9045,-7.76498723584101e-05,-5.21886746344361e-09,3.81546408235039
9046,9046,-7.76503675728868e-05,4.22843851001894e-09,3.81538643144315
9579,9579,0.000873222582269051,9.91094584570781e-09,4.01592141852088
9581,9581,0.000873228027841062,-4.46537383464075e-09,4.01766787392309
11262,11262,-0.000470212489861698,-4.82662779964993e-09,4.20999623647279
11264,11264,-0.000470211652158489,5.66433100798027e-09,4.20905580883378
12367,12367,0.000531217377454697,-3.57681707011351e-09,4.1409680418214
13126,13126,-0.000510956629812731,-9.19474689771433e-09,4.13066393131807
13127,13127,-0.000510957248674384,7.95702359052031e-09,4.13015297294951
13711,13711,0.000766659802618519,9.62649028198047e-09,4.20196646723356
13712,13712,0.000766660485920555,-8.25988621136925e-09,4.20273312886836
14239,14239,0.000198935807609723,-9.97245328110009e-09,4.44722370341427
14244,14244,0.000198929467326982,7.43634018443132e-09,4.44821833033329
14378,14378,0.000221628925285977,7.83389908882304e-09,4.47620728604101
14380,14380,0.000221628817181737,-7.94200332846335e-09,4.47665054904211
15498,15498,-0.000594050765525546,-6.39009183215814e-09,4.24985035802239
15500,15500,-0.000594047568230288,9.58738708991132e-09,4.24866225436281
16588,16588,0.000371709909820555,9.47900120378346e-09,4.18931021426441
16589,16589,0.000371713230132709,-2.83837689541814e-09,4.18968192686084
17499,17499,-0.0015407899823018,-2.57807754315441e-10,3.72024893113244
18222,18222,0.00166878233956212,7.12788043531865e-09,3.71891194480461
18223,18223,0.00166878171025798,-8.38648870890276e-09,3.72058072812239
19576,19576,-0.000416281015724301,-7.86622338835264e-09,4.21440833778956
19578,19578,-0.00041629076197128,-1.88002359040844e-09,4.21357576401646
20009,20009,0.000223346410880893,-2.21908093509912e-10,4.17201202798944
20829,20829,-0.00146792341041402,4.47103846394468e-09,3.65192417579089
21513,21513,0.00128539380482613,-1.59485125757461e-09,3.56934935526755
22798,22798,-0.000664991957652694,-6.79338704644347e-09,3.95200720180357
22799,22799,-0.000664991759228663,7.1902351085289e-09,3.95134220877983
22857,22857,-0.000658074556939504,7.75061477307455e-09,3.9130012254943
22860,22860,-0.0006580752169782,-8.19064057085439e-09,3.91102701278937
23394,23394,-0.00140517750586519,-6.00773802485769e-09,3.37802593683939
23395,23395,-0.00140517652468122,7.97010595563411e-09,3.3766207586593
24045,24045,0.00115416772319845,2.78967250220496e-09,3.29901895180437
25089,25089,-0.00107234368298489,-5.1885282678037e-09,3.36938801296218
25090,25090,-0.00107234237963867,7.79522071110009e-09,3.36831566884889
26000,26000,0.000254072385167149,8.55086758691885e-09,3.12124539166144
26005,26005,0.000254068988881835,-9.90938171244316e-09,3.12251578355541
26311,26311,0.0001812061745079,-9.45317642165322e-09,3.18954299375857
26316,26316,0.0001812073713373,9.93190818140333e-09,3.19044898723759
26388,26388,0.000188127513936746,4.32285625539237e-09,3.20372824530465
26390,26390,0.000188122820774194,-9.01601880782076e-09,3.20410450008565
27048,27048,-0.000448889404759073,-8.99531210041866e-09,3.11336661534806
27050,27050,-0.0004488895368237,8.86324747326551e-09,3.11246883045363
28078,28078,0.000243744676015546,8.89715332160197e-09,3.10387523740897
28088,28088,0.000243744749072672,-8.88254189656361e-09,3.10631283269854
28718,28718,0.000113247093916885,-6.78893425060386e-09,3.21828285944626
28722,28722,0.000113248508256087,7.49610385147096e-09,3.21873583160388
29191,29191,0.000231127636835925,8.89648190919853e-09,3.30179015922181
29199,29199,0.000231127404398973,-8.95459114731207e-09,3.30363927459247
29767,29767,8.37800016815749e-05,-8.44976668432871e-09,3.39443568132763
29774,29774,8.37788262514114e-05,8.11392949477281e-09,3.3950220695903
31739,31739,0.00283584733523129,6.7278035568137e-09,5.6092224761455
31740,31740,0.00283584985738148,-1.68350318299485e-09,5.61205832544275
