"index","rank","d1_here","d2_here","d1_left","d1_right"
27,27,0.00177375401583118,2.78205200368348e-09,0.00177375339056541,0.00177375895466941
822,822,0.00338269036212579,-2.3521760816232e-09,0.00338267641629108,0.00338267171193892
2379,2379,-0.000329469841215332,5.14109161604691e-09,-0.000329471319933507,-0.000329461037750275
3413,3413,0.000465812081138054,-2.07293766039371e-09,0.000465812429170426,0.000465808283295105
3665,3665,0.000407665122229985,1.07575201052569e-09,0.000407665987543086,0.000407668139047107
4258,4258,0.000768587139411397,-4.27563093281103e-09,0.000768588568500279,0.000768580017238413
5121,5121,0.000315632671380507,1.82494267995970e-09,0.000315631819601797,0.000315635469487157
5386,5386,0.000347104049876007,-1.18525218377961e-09,0.000347104406948067,0.000347102036443699
6081,6081,0.000119471881010222,2.22252160583396e-09,0.000119472731810252,0.000119477176853464
6792,6792,0.000326390223350412,-1.13557076376908e-08,0.000326394754099473,0.000326372042684198
7388,7388,-0.00056782680329144,1.8317260875666e-09,-0.000567823962269146,-0.000567820298816971
8024,8024,0.000618679748867442,-2.53086282812103e-09,0.000618679255460392,0.000618674193734736
8581,8581,6.05021734844012e-05,4.12604605163091e-09,6.05038018277131e-05,6.05120539198163e-05
9027,9027,0.000383767343501977,-8.48202035824852e-10,0.000383766372769819,0.000383764676365747
9139,9139,0.000369692612093904,2.73275935234288e-09,0.000369692839728507,0.000369698305247212
9328,9328,0.000432142843299579,-1.68685847955387e-09,0.000432140288958855,0.000432136915241896
10336,10336,-0.00156498370653903,1.15880976816685e-08,-0.00156498297011417,-0.00156495979391881
10956,10956,0.00157394501221561,-3.40452618867805e-09,0.00157393705337044,0.00157393024431806
11728,11728,-0.000623866511203827,2.79726143061096e-08,-0.000623878212373006,-0.000623822267144394
12150,12150,0.000623739931126749,-6.94572578454053e-09,0.000623730972822929,0.00062371708137136
12879,12879,-0.00193605760591131,3.7653391767376e-09,-0.00193604348681986,-0.0019360359561415
13535,13535,0.00212008748565484,-4.72487582096543e-09,0.00212007196328642,0.00212006251353478
14389,14389,-0.000564383639534692,1.24881153347559e-09,-0.000564377806434297,-0.00056437530881123
15312,15312,0.000408907785707764,-9.18209937111884e-09,0.000408908206239845,0.000408889842041103
15833,15833,-0.000578176295242185,1.87403897106453e-08,-0.000578184244822946,-0.000578146764043524
16156,16156,-0.000117501963346758,-4.86304895942026e-09,-0.000117507668418236,-0.000117517394516155
16443,16443,-0.000247589959313727,1.64037490127674e-09,-0.000247588947718535,-0.000247585666968733
17074,17074,0.00085949347076318,-7.76145427594875e-09,0.00085949426404657,0.000859478741138018
17837,17837,-0.000479655916525948,1.27709694584729e-08,-0.000479661266225832,-0.000479635724286915
18408,18408,0.000389134966788415,-8.43292101777122e-09,0.000389138930649732,0.000389122064807696
19162,19162,-0.000313471631527742,1.60367777967823e-10,-0.000313470741439473,-0.000313470420703917
19840,19840,0.000264234027927619,-1.16108738019058e-09,0.000264231389552451,0.000264229067377691
20571,20571,-0.000257265302114066,5.20743647399504e-09,-0.000257267262840737,-0.000257256847967789
20950,20950,6.71827808895803e-05,-4.01622527304916e-10,6.7176880208206e-05,6.71760769631513e-05
21610,21610,-0.000351985078083252,6.67453616404234e-09,-0.000351988079001528,-0.0003519747299292
22171,22171,0.00045708555880525,-2.61026894753260e-09,0.000457080820391481,0.000457075599853586
23084,23084,-0.000356131764153541,4.12408494779145e-09,-0.00035613240509776,-0.000356124156927864
23616,23616,-5.39426157826849e-05,-5.83535986697372e-09,-5.39403300680473e-05,-5.39520007877812e-05
24288,24288,-0.000794603233614257,6.12137341784958e-09,-0.000794602294629505,-0.000794590051882669
24814,24814,0.000208913740186436,-1.11789809844546e-09,0.000208908012552468,0.000208905776756271
25504,25504,-0.000454746950561348,6.69541058956082e-09,-0.000454748265547609,-0.00045473487472643
26004,26004,8.27491466612735e-05,-5.14967633070155e-10,8.27447229985705e-05,8.27436930633043e-05
26537,26537,-0.000213648355685427,1.21077448787085e-09,-0.000213647003097881,-0.000213644581548905
26885,26885,-6.89673104355967e-05,-2.67681861871531e-09,-6.89682529035648e-05,-6.89736065408022e-05
27358,27358,-0.000285976895685741,3.8505762408865e-09,-0.000285977274840596,-0.000285969573688114
28103,28103,6.64284717699879e-05,-1.5244927176399e-09,6.6427080041928e-05,6.64240310564927e-05
28646,28646,-0.000255085362389424,1.598859911284e-09,-0.000255084066370814,-0.000255080868650992
29592,29592,0.000306699435143939,-2.42597231818165e-09,0.000306700341998478,0.000306695490053842
29632,29632,0.000306286508696458,4.3877546558555e-10,0.000306286380129244,0.000306287257680176
29909,29909,0.000316707848840641,-1.24701190901963e-09,0.000316708468632424,0.000316705974608606
30266,30266,0.000269299643756213,1.36260514554892e-09,0.000269300014655639,0.000269302739865931
31744,31744,0.00248878367561612,-7.44628587216069e-09,0.00248878723426913,0.00248877234169739
