"index","rank","d1_here","d2_here","d1_left","d1_right","role"
26162,26162,7.88644702274893e-05,-1.43909971369499e-09,7.88644508908386e-05,7.88615726914113e-05,"cutoff_center"
26520,26520,5.46865258347454e-05,4.59830244049927e-09,5.46844286489685e-05,5.46936252538495e-05,"terminal_start"
