"crossing_id","percentile_left","percentile_right","rank_left","rank_right","crossing_percentile","crossing_rank","regime_difference_left","regime_difference_right"
"crossing_1",0.01,0.015,304,456,0.0120999846772074,368,0.0214497400890226,-0.029621442291096
"crossing_2",0.03,0.035,913,1065,0.033949601048082,1033,-0.169135659129339,0.0449817378815253
"crossing_3",0.035,0.04,1065,1217,0.0361397230224582,1100,0.0449817378815253,-0.152354531524116
"crossing_4",0.185,0.19,5630,5782,0.187886591448237,5718,-0.214675221236039,0.157173765857607
"crossing_5",0.195,0.2,5934,6086,0.195795900271071,5958,0.10690978215366,-0.56471822225608
"crossing_6",0.21,0.215,6391,6543,0.211614812525648,6440,-0.0683113275563926,0.143203403941613
"crossing_7",0.215,0.22,6543,6695,0.2158183125906,6568,0.143203403941613,-0.731788656468093
"crossing_8",0.235,0.24,7152,7304,0.238624759141904,7262,-0.32553577011883,0.123508921369001
"crossing_9",0.24,0.245,7304,7456,0.243610400874674,7414,0.123508921369001,-0.0475370727689022
"crossing_10",0.675,0.68,20542,20694,0.677517951971954,20619,-0.147257654912222,0.145157880714458
"crossing_11",0.68,0.685,20694,20846,0.681239463661136,20732,0.145157880714458,-0.44040943063946
"crossing_12",0.7,0.705,21303,21455,0.704018850270068,21425,-0.347531072566092,0.084845165924843
"crossing_13",0.705,0.71,21455,21608,0.70544872105242,21469,0.084845165924843,-0.860565857998215
"crossing_14",0.805,0.81,24498,24650,0.809882220760548,24646,-0.845787971945013,0.0204038835930314
"crossing_15",0.81,0.815,24650,24803,0.810283106671958,24659,0.0204038835930314,-0.33995292912243
