"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.01,308,1,2155,0.465339804928432,0.192691188445673,1.31729083932942,0.440700588151673,1,2155,1,2155,1078,1078,0.263242781825682,0.281222304441294,2155,0.995436253796858,0.150639292762907,0,1
0.02,616,1,2463,0.467391488615789,0.20678502439934,1.28748660426222,0.421196816554829,1,2463,1,2463,1232,1232,0.270905219392379,0.287160865757367,2463,1,0.167055995447304,0,1
0.03,924,1,2771,0.420442482192214,0.148683124649438,1.28184749824604,0.423799483227136,1,2771,1,2134,1386,1067.5,0.274374608099257,0.297871308944738,2771,0.89556706468582,0.0993780675411934,318.5,0.00312989045383412
0.04,1231,1,3078,0.423108033828526,0.191447429094847,1.27148948336451,0.420175552538223,1,3078,1,3078,1539.5,1539.5,0.277783420655453,0.301817553363174,3078,0.901496293072469,0.149190543994965,0,1
0.05,1539,1,3386,0.434646162160029,0.178082049022209,1.26180832923828,0.417542234447409,1,3386,1,3386,1693.5,1693.5,0.284684985186925,0.311986404553532,3386,0.927161598932606,0.13362235719062,0,1
0.06,1847,1,3694,0.429027656384528,0.220537888003625,1.25020028706682,0.382115180538981,1,3694,1,3694,1847.5,1847.5,0.29613332674363,0.318681313327559,3694,0.914663846692195,0.183075528638471,0,1
0.07,2155,308,4002,0.271883240519169,0.113579194047188,1.11624092258262,0.355170467796745,308,4002,308,4002,2155,2155,0.305563775791747,0.336375857315537,3695,0.565113262618254,0.0584885046396939,0,1
0.08,2463,616,4310,0.196512089145591,0.147053555320007,1.05939542438219,0.303040132672283,616,4310,616,4310,2463,2463,0.312110351254238,0.34820153510971,3695,0.397458371161386,0.0974799217650653,0,1
0.09,2771,924,4618,0.127517854884628,0.0924279553697922,1.01989915333147,0.301108820441255,924,4076,1265,3986,2500,2625.5,0.323464250919695,0.368548660688308,3695,0.243988235103118,0.03385123782922,125.5,0.00790513833992095
0.1,3078,1231,4925,0.127690943270862,0.125814731902167,0.990051273653876,0.269113315217567,1231,4925,1231,4925,3078,3078,0.334113372878172,0.377217911386068,3695,0.244373251307297,0.0727406349900991,0,1
0.11,3386,1539,5233,0.165213030070427,0.121622094067921,0.932453866645881,0.251033324837461,1539,5233,1539,5233,3386,3386,0.346922225247987,0.388754051519324,3695,0.327837033868292,0.0678569901815141,0,1
0.12,3694,1847,5541,0.0601649606941749,0.115544517045589,0.908710227701558,0.262811354635876,2016,4986,5541,4753,3501,5147,0.358460047107178,0.41264387505166,3695,0.0941690807049423,0.060777741115103,1646,0.000607164541590771
0.13,4002,2155,5849,0.0527132717554684,0.0633664682998573,0.902219233214965,0.245838699114325,2155,5068,2155,4686,3611.5,3420.5,0.368407430090363,0.429511324160897,3695,0.0775936128048043,0,191,0.00520833333333333
0.14,4310,2463,6157,0.0445848649633236,0.137016969641946,0.891426343563009,0.201730689265185,2463,5127,2463,6157,3795,4310,0.375984726489745,0.440646398842728,3695,0.0595128599753865,0.0857891625150726,515,0.00193798449612403
0.15,4618,2771,6465,0.037172570534858,0.0945230236760522,0.884142137118626,0.17287941880083,2771,5115,3517,6465,3943,4991,0.385282770939782,0.451350847395774,3695,0.0430250208591807,0.0362916035040048,1048,0.000953288846520496
0.16,4926,3079,6773,0.0461128356188356,0.111208514811546,0.889418417668718,0.162234485526137,3079,5163,3079,6773,4121,4926,0.398120849327655,0.46425146443944,3695,0.0629116637581418,0.0557271033931102,805,0.00124069478908189
0.17,5233,3386,7080,0.0345869286859198,0.349056111845006,0.879849950241359,0.373393939746581,3824,5019,7080,6219,4421.5,6649.5,0.394915265537869,0.481056297369405,3695,0.0372735430638975,0.332775402914494,2228,0.000448631673396142
0.18,5541,3694,7388,0.0281705660698559,0.180575693959594,0.873994319668804,0.249817905707808,3808,5134,3694,6068,4471,4881,0.396776536157835,0.50084981132365,3695,0.0230010454525474,0.136526990653935,410,0.0024330900243309
0.19,5849,4002,7696,0.0336348857112557,0.154573146537064,0.8788705097716,0.187510733783201,4002,5101,7016,7696,4551.5,7356,0.403843528212557,0.508290051380165,3695,0.0351558274834568,0.106238849691037,2804.5,0.00035644270183568
0.2,6157,4310,8004,0.0266179279066383,0.248655567970422,0.864073894615416,0.100980852076415,4310,8004,7068,8004,6157,7536,0.410461245880053,0.515048942628605,3695,0.0195473714939817,0.21582740638896,1379,0.00072463768115942
0.21,6465,4618,8312,0.0198959140308158,0.166757701755105,0.860192049836867,0.170552582880603,6457,4618,7042,8067,5537.5,7554.5,0.41408858133177,0.526875001245497,3695,0.00459498604962646,0.120431594733182,2017,0.000495540138751239
0.22,6773,4926,8620,0.0345225509059979,0.187803897250538,0.845042718219408,0.155153847754868,8620,4926,7062,8117,6773,7589.5,0.417628952583941,0.537736523630837,3695,0.0371303417261396,0.144946505735558,816.5,0.00122324159021407
0.23,7081,5234,8928,0.0217990528515062,0.191129378629131,0.856727128264038,0.1521741172867,5234,8928,7066,8135,7081,7600.5,0.41262805107555,0.546920625844149,3695,0.0088283104263331,0.148820074241275,519.5,0.00192122958693564
0.24,7388,5541,9235,0.0601250831416778,0.181882560102257,0.834313067430708,0.160897791869423,5541,9235,7028,8121,7388,7574.5,0.414173917708062,0.543744262998514,3695,0.0940803774462865,0.13804924712002,186.5,0.00533333333333333
0.25,7696,5849,9543,0.0320433352876541,0.176941904368565,0.858867332948413,0.136176437474128,6444,8888,6947,5849,7666,6398,0.407486855432136,0.564087336297352,3695,0.0316155974530768,0.132294300311172,1268,0.000788022064617809
0.26,8004,6157,9851,0.0271647088166795,0.178981892110757,0.858016199776922,0.151765611534066,6402,8972,7048,8183,7687,7615.5,0.404851269157981,0.575240544374117,3695,0.0207636258891055,0.134670507353277,71.5,0.0137931034482759
0.27,8312,6465,10159,0.0531684563870317,0.175436660226442,0.859706661103996,0.141324237114878,6465,10159,7075,8214,8312,7644.5,0.400502743048708,0.579960394435272,3695,0.0786061212859249,0.130540970300101,667.5,0.00149588631264024
0.28,8620,6773,10467,0.0514412328865878,0.370486266156815,0.84903145647148,0.227516738384264,6773,10467,6773,10467,8620,8620,0.391972201871698,0.583111861131068,3695,0.0747641013192485,0.357737554664685,0,1
0.29,8928,7081,10775,0.0262052313310645,0.171293008446276,0.848022851545101,0.00735119441814994,7802,10522,7081,10775,9162,8928,0.402420354099202,0.578331248402605,3695,0.0186293730513216,0.125714385151368,234,0.00425531914893617
0.3,9236,7389,11083,0.0376187390456623,0.116970866643437,0.829514705657251,0.0336567696863421,7389,11083,9442,10571,9236,10006.5,0.402141662664551,0.589397556918145,3695,0.044017473964741,0.0624391736270785,770.5,0.00129617627997408
0.31,9543,7696,11390,0.030685492011636,0.125069393389567,0.831030278541227,0.0174321059569759,8139,10809,9488,10703,9474,10095.5,0.398305413757051,0.598555910465677,3695,0.0285952234385162,0.0718724539781434,621.5,0.00160642570281125
0.32,9851,8004,11698,0.0746775952411606,0.228862995821035,0.83667325568745,-0.0278608715347659,8004,11698,8004,11698,9851,9851,0.395022255243128,0.602663200276718,3695,0.126450850657856,0.192772733877929,0,1
0.33,10159,8312,12006,0.0344285180944479,0.189292404628336,0.81981283162765,-0.0401020538869257,9669,12006,9457,12006,10837.5,10731.5,0.393195157474062,0.610012559774344,3695,0.0369211760105244,0.146680340522991,106,0.00934579439252336
0.34,10467,8620,12314,0.0695622355640544,0.196688685915837,0.788940430248008,-0.0599362387191855,9694,12314,9497,12314,11004,10905.5,0.391287818720568,0.614562069921111,3695,0.115072291941441,0.155295635270728,98.5,0.0100502512562814
0.35,10775,8928,12622,0.0587050673770793,0.188686577384619,0.793722663250382,-0.0545680955065547,9695,12622,9561,12318,11158.5,10939.5,0.395178243113732,0.623850351896927,3695,0.0909217075236156,0.145974664242176,219,0.00454545454545455
0.36,11083,9236,12930,0.082152798435621,0.17599540324815,0.789457205060355,-0.0202567097876822,9236,12930,9236,12317,11083,10776.5,0.38896718036457,0.631807367532128,3695,0.143078623450838,0.131191802202397,306.5,0.0032520325203252
0.37,11390,9543,13237,0.0636005884236921,0.117465527350955,0.784689361995469,-0.100896496457592,9872,12598,9935,12528,11235,11231.5,0.396879201732983,0.633281982249408,3695,0.101811259225255,0.0630153615287735,3.5,0.222222222222222
0.38,11698,9851,13545,0.0657156180299432,0.223008093483087,0.789831616151557,-0.0883984828044074,9851,12580,9851,13545,11215.5,11698,0.400900532031065,0.645447738978081,3695,0.106515911504037,0.185952859484311,482.5,0.00206825232678387
0.39,12006,10159,13853,0.0724658582825107,0.294519815660471,0.790658154714536,-0.205233298995743,10159,13853,10159,13853,12006,12006,0.406740269280341,0.647337967681612,3695,0.121531083439551,0.269250741288442,0,1
0.4,12314,10467,14161,0.0523999231745153,0.129742639584598,0.776882306262194,-0.187064212271939,10467,12675,11032,13653,11571,12342.5,0.414692374407062,0.663539615705165,3695,0.0768966031217829,0.0773159183129798,771.5,0.00129449838187702
0.41,12622,10775,14469,0.0475020976658652,0.156079597235184,0.772997541245872,-0.199501701259655,11360,12571,11198,13701,11965.5,12449.5,0.415075500559185,0.678572427239535,3695,0.0660019253961184,0.107993585115874,484,0.00206185567010309
0.42,12930,11083,14777,0.0541175583903091,0.179632551297434,0.777226255481167,-0.21181810783043,11083,14777,11083,14777,12930,12930,0.419230641179173,0.687094556074929,3695,0.0807172949968357,0.135428404525606,0,1
0.43,13238,11391,15085,0.0743224238609185,0.295322138685642,0.756150535421764,-0.347212689018011,11391,15085,11391,15085,13238,13238,0.421558486154,0.684127562085157,3695,0.125660810727221,0.270185298679658,0,1
0.44,13545,11698,15392,0.0491214748258348,0.154291294111317,0.760173195705401,-0.217916863955964,11698,14445,15392,14580,13071.5,14986,0.416622803384026,0.718499968790724,3695,0.0696040529613025,0.105910543934565,1914.5,0.000522056904202558
0.45,13853,12006,15700,0.0178301861173837,0.129013082470238,0.734375564488655,-0.247481774068638,13535,14553,12006,15700,14044,13853,0.424653718589061,0.71922058643435,3695,0,0.0764661197005151,191,0.00520833333333333
0.46,14161,12314,16008,0.0316527933525534,0.286298641427223,0.735711192947799,-0.316060353931362,12314,16008,12314,16008,14161,14161,0.432462189705068,0.722045743819691,3695,0.0307468795876149,0.259674599381615,0,1
0.47,14469,12622,16316,0.0241680437940159,0.275067475630661,0.732398320164657,-0.141454540571801,13560,12622,16316,15244,13091,15780,0.424629678342993,0.758135786270652,3695,0.0140978719507441,0.246592376040328,2689,0.000371747211895911
