"feature_id","rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"196303",118,0.240228687855961,0.0853888802529923,0.322987177385573,0.0531865823922503,43,193,151,3,0.274521774060304,0.0716387454940559,0.433797994091746,0.0441569775390866,1,79,79,60,0.756785171477318,0.0973435599313369,0.659441611545982,1,193,151
"540830",57,0.597354515532061,0.0827693921951322,0.80314241647072,0.0515549692711729,1,132,132,85,0.260463087585777,0.127260017340404,0.411582524979722,0.0784410403695621,9,161,153,71,1.21472494145044,0.129996009640735,1.08472893180971,1,161,153
"416922",36,0.598932411510759,0.073829848243804,0.805263895686697,0.0459867525489515,1,111,111,173,0.0629232756300553,0.0406189000591439,0.0994310591334148,0.0250368406817346,97,249,153,104,0.904694954820112,0.0710235932306861,0.833671361589425,1,249,153
"338003",245,0.0352113595927221,0.0860520902015196,0.0473416299621166,0.0535996791615978,170,320,151,20,0.479275911844525,0.0790559037677667,0.757349503099802,0.048728795331782,1,96,96,132,0.804691133061919,0.10232847449338,0.702362658568539,1,320,151
"263350",213,0.0784908341875052,0.0531353406622657,0.105530830689388,0.0330966651126078,138,288,151,74,0.37068585371776,0.128000698663982,0.585756012729348,0.0788975844972304,1,150,150,144,0.691286843418736,0.111994249609838,0.579292593808898,1,288,151
"78329",106,0.25808877039276,0.176662220452727,0.3470000365404,0.110038446643966,31,181,151,184,0.120991218678682,0.0661217258616489,0.19118974494897,0.0407563748301641,108,260,153,145,0.53818978148937,0.15079482147413,0.38739496001524,31,260,153
"170932",204,0.118823485581743,0.0504755575370837,0.159758031223039,0.0314399532092092,129,279,151,117,0.296119332008857,0.0459818583624383,0.467926351841993,0.0283424824501444,41,193,153,160,0.627684383065032,0.0597824356593536,0.567901947405679,41,279,153
"435219",24,0.630864883816685,0.10145882104365,0.848197065696841,0.0631961436766771,1,99,99,312,0.130906857465561,0.104872616057037,0.206858389924801,0.064641804093011,236,388,153,168,1.05505545562164,0.127837947769688,0.927217507851954,1,388,153
"157980",338,0.0469421148641231,0.0628583928864828,0.0631136160955234,0.0391529093998651,263,413,151,7,0.295063630373988,0.068680889312418,0.46625813716892,0.0423338022716293,1,83,83,172,0.529371753264444,0.0814867116714944,0.44788504159295,1,413,151
"373019",58,0.586716456322392,0.0840532955303388,0.788839558857596,0.0523546803145702,1,133,133,287,0.0724645820428123,0.0319221366689817,0.114508185882419,0.019676294750427,211,363,153,172,0.903347744740015,0.0720309750649972,0.831316769675018,1,363,153
"433098",287,0.0785134512798322,0.0375928596477024,0.105561239342395,0.0234156452349394,212,362,151,79,0.322175216053921,0.116093086456999,0.509099735161864,0.0715579226823606,3,155,153,183,0.61466097450426,0.0949735679173,0.51968740658696,3,362,153
