"rank_index","n_leading_edge","n_remainder","leading_mean_abs","leading_sd_dev","leading_skew_abs","leading_p_uniform_deviation","leading_distortion","remainder_mean_abs","remainder_sd_dev","remainder_skew_abs","remainder_p_uniform_deviation","remainder_distortion","total_distortion","split_score"
3506,3506,28028,0.018525895125347,0.223901186753475,0.158337973812736,0.0158012928695976,0.337397361654787,0.0179808095202058,0.247148641209008,0.0571353448081536,0.00591132858025828,0.299608451713548,0.637005813368336,-0.637005813368336
3507,3507,28027,0.0186993158143687,0.223943919276377,0.157786017981171,0.0122432999608333,0.333779544042165,0.0179590900553325,0.247143991378695,0.0572040089016544,0.00587543632451548,0.29958052220937,0.633360066251535,-0.633360066251535
3508,3508,28026,0.0184548446171761,0.223919483269737,0.15828622828811,0.0154493715041588,0.336966813535126,0.0179896639771905,0.247147959654708,0.0571377339578518,0.00588564363487121,0.299592134245696,0.636558947780822,-0.636558947780822
3509,3509,28025,0.0184415898944668,0.224029709726092,0.15835973207698,0.0159309293087183,0.337582094967767,0.0179913069973991,0.247134577749046,0.0571301872393375,0.00586287734899388,0.299553855715108,0.637135950682875,-0.637135950682875
3510,3510,28024,0.018607315691631,0.224078162562545,0.157823742086366,0.0155386793257703,0.337136028623129,0.0179705338090269,0.247129176710514,0.0571972721035339,0.00587181502957218,0.29957016160088,0.636706190224009,-0.636706190224009
3511,3511,28023,0.0192124427976047,0.22336055593687,0.160836021016349,0.0156760763299625,0.338667085572612,0.017894694746437,0.247222797584419,0.056719895884091,0.00585426340760653,0.299331703680508,0.63799878925312,-0.63799878925312
3512,3512,28022,0.0190955824546405,0.22344028361388,0.1612490468435,0.0124190219341571,0.335579411424427,0.0179092938391656,0.247213332480134,0.0566673297765648,0.00584279235015839,0.29929908355774,0.634878494982167,-0.634878494982167
3513,3513,28021,0.0189314698941327,0.223489923661228,0.161751418541217,0.0157968828145496,0.339093985640518,0.0179298263375221,0.247207746344091,0.0566021999985418,0.00583410761121395,0.299272780292098,0.638366765932617,-0.638366765932617
3514,3514,28020,0.0188704437661496,0.223592023207367,0.161998928733697,0.0158329707127062,0.339294902053071,0.017937443902482,0.247195392848688,0.0565718912942697,0.00587737970520114,0.299296162103506,0.638591064156578,-0.638591064156578
3515,3515,28019,0.0189449979995666,0.223689920902306,0.16173703406056,0.0156758354158731,0.339179271348026,0.0179280577313008,0.247183598277266,0.0566071325947846,0.00587334732502298,0.299288569630982,0.638467840979009,-0.638467840979009
3516,3516,28018,0.0191435425246213,0.223711080612036,0.161144015042815,0.0124581163985336,0.335884747056598,0.0179031059328013,0.247181749799992,0.0566795828859574,0.00586450564631807,0.29928915282209,0.635173899878688,-0.635173899878688
3517,3517,28017,0.0189977830718998,0.223773349464519,0.161618246733488,0.0125321234166085,0.336112379319772,0.0179213589776894,0.247174514492643,0.0566184244660609,0.00585642280931759,0.299261508512681,0.635373887832452,-0.635373887832452
3518,3518,28016,0.0189688251002759,0.223881810298381,0.161751313162656,0.0122110165999808,0.335937308579966,0.0179249568403421,0.247161319374647,0.0566032172628723,0.00585859371598141,0.299246478562407,0.635183787142373,-0.635183787142373
3519,3519,28015,0.0188209395223077,0.223942538663792,0.162229139477888,0.0159399461387719,0.339817994063815,0.0179434956759876,0.247154277785315,0.05654149654267,0.00585041918897872,0.299218940921616,0.639036934985431,-0.639036934985431
3520,3520,28014,0.0186610214043042,0.223994809036262,0.162725448620381,0.0159166220058111,0.339935176756568,0.0179635582993733,0.247148329749215,0.0564770830299346,0.00583306498392067,0.299183494547476,0.639118671304044,-0.639118671304044
3521,3521,28013,0.0185299198253368,0.224066047262543,0.163170981506707,0.0156873670836739,0.339868824924907,0.0179800117744184,0.247139928712052,0.0564198381297019,0.00586912385982341,0.299198983411145,0.639067808336052,-0.639067808336052
3522,3522,28012,0.0185121078067244,0.224175521526193,0.163262423075781,0.0156561535278262,0.339974994398634,0.0179822316809407,0.247126581865397,0.0564100262900916,0.00587164792342953,0.299185474614813,0.639160469013446,-0.639160469013446
3523,3523,28011,0.0184868366632728,0.224284218898849,0.163381979542735,0.0156535711494289,0.340115616482918,0.0179853911669374,0.247113328325889,0.0563965299712394,0.00588371192734993,0.299180696405796,0.639296312888715,-0.639296312888715
3524,3524,28010,0.0183860822834487,0.224371258348439,0.163752979966703,0.0157753282686613,0.3404091588839,0.0179980493957487,0.24710286909697,0.0563494852387839,0.00587726298530938,0.29915292409742,0.63956208298132,-0.63956208298132
3525,3525,28009,0.0182841941564647,0.224457722950337,0.164127128371106,0.0123686663980984,0.337174147690453,0.0180108584076638,0.247092480485449,0.0563019910605584,0.00587071931872801,0.29912505374212,0.636299201432572,-0.636299201432572
3526,3526,28008,0.0182487205468812,0.224564875746405,0.164284621020637,0.0124860094938042,0.337441916297409,0.018015314513478,0.247079408544364,0.0562834767073943,0.005870964414599,0.299107425826138,0.636549342123547,-0.636549342123547
3527,3527,28007,0.0181591587820151,0.224656598655857,0.164623602337408,0.0121885891150172,0.337316147721593,0.0180265849436793,0.247068329145946,0.0562407278578788,0.00586544881692691,0.299080726835492,0.636396874557085,-0.636396874557085
3528,3528,28006,0.0179523417808217,0.224669199816006,0.165148737713056,0.0157920373012721,0.340987947754628,0.0180526335692014,0.247067506536308,0.0561712446402038,0.00585550097768905,0.2990612634033,0.640049211157928,-0.640049211157928
3529,3529,28005,0.0179296168544732,0.224777914645617,0.165259013684268,0.0157670884069525,0.341104126749177,0.0180555007913715,0.247054216249486,0.0561588955962523,0.00585734652625253,0.299046511365236,0.640150638114413,-0.640150638114413
3530,3530,28004,0.0178416558520862,0.224870140414752,0.165593307763929,0.015845999887742,0.341354450036545,0.0180665930718444,0.247043060538941,0.0561167187213555,0.0058519452736992,0.299019958245162,0.640374408281707,-0.640374408281707
3531,3531,28003,0.0173709131151901,0.224475301124584,0.164325741543215,0.0159619915280134,0.339971076539395,0.0181259587662771,0.247095157658525,0.0562782454347821,0.00583880978336998,0.299199048925563,0.639170125464958,-0.639170125464958
3532,3532,28002,0.0177625223391061,0.224235933213501,0.164217973737759,0.0157599548344036,0.33986739725589,0.018076590552106,0.247127039815597,0.056263034809719,0.00583981783402215,0.299174965606585,0.639042362862475,-0.639042362862475
3533,3533,28001,0.0176190790947374,0.22429890141313,0.16468715098085,0.0156918011452913,0.339953357143584,0.0180947005856965,0.247119695151285,0.0562021496285625,0.00586842581148939,0.299183896362752,0.639137253506336,-0.639137253506336
3534,3534,28000,0.0171980312331262,0.224004900467731,0.16408576623308,0.0166379435131432,0.339883758330541,0.0181478598272831,0.24715880356804,0.0562771105150644,0.00589135857697898,0.299336577229835,0.639220335560375,-0.639220335560375
3535,3535,27999,0.0172587682534145,0.224106294525728,0.163874887736699,0.0160552194431382,0.33935772609063,0.0181402254282644,0.247146443018051,0.0563059517928957,0.00588864606356532,0.299328290406329,0.638686016496959,-0.638686016496959
3536,3536,27998,0.0172601728364182,0.2242160423048,0.163892651840087,0.016041495024614,0.339464036085876,0.0181400795196878,0.247132998279915,0.0563055276509514,0.00589309083936562,0.299318932464445,0.63878296855032,-0.63878296855032
3537,3537,27997,0.017029963289977,0.224204928104689,0.164402354154901,0.0161011585301863,0.339537227002302,0.018169194463162,0.247135314847736,0.0562373796457277,0.00588488975900808,0.299308088892769,0.638845315895072,-0.638845315895072
3538,3538,27996,0.0174252686160266,0.22395831093746,0.16432598522225,0.0168189769665208,0.340365549131133,0.018119278367563,0.247168199046275,0.0562171995587125,0.00591959302617906,0.299315670219373,0.639681219350506,-0.639681219350506
3539,3539,27995,0.0172920324936338,0.224027509283642,0.164775066761797,0.015816005777592,0.339523080935766,0.018136146259933,0.247160043387267,0.0561589812162444,0.00588511934472785,0.29926079960005,0.638783880535816,-0.638783880535816
3540,3540,27994,0.0178307491386297,0.223475352973926,0.166480993073388,0.015950976747139,0.340497575396389,0.0180680526395315,0.247232813651272,0.0558685874386411,0.0058439162727002,0.299079076282824,0.639576651679213,-0.639576651679213
3541,3541,27993,0.0180186104334732,0.223504565609273,0.165904724076944,0.0147170943132414,0.33919263239446,0.0180442974313888,0.247229860732708,0.0559399678495858,0.00574733654876425,0.298991478637654,0.638184111032114,-0.638184111032114
3542,3542,27992,0.0179129694842094,0.223588760388795,0.166288319896467,0.0120271792297381,0.336673069050976,0.0180576657483826,0.247219737121901,0.0558908237347723,0.00578300894258288,0.299005823680252,0.635678892731229,-0.635678892731229
3543,3543,27991,0.0176863692006066,0.22358120356956,0.166799785824283,0.0157962771300023,0.340463742812311,0.0180863531658049,0.247221591321272,0.055822273476993,0.00580241882658977,0.299021500052164,0.639485242864474,-0.639485242864474
3544,3544,27990,0.0177882716624193,0.223667079751519,0.166442796372824,0.0121337313764785,0.336810480976829,0.0180734649078307,0.247211231978742,0.0558693918490226,0.00581570228306516,0.299035095094149,0.635845576070978,-0.635845576070978
3545,3545,27989,0.0178895616262962,0.223753187768982,0.166087796395971,0.0121097219904183,0.336796369583682,0.0180606460243872,0.247200838661766,0.0559162889165638,0.00583625384184716,0.299055882986283,0.635852252569965,-0.635852252569965
3546,3546,27988,0.0178381342177401,0.223856638551363,0.166302427685877,0.012362481966348,0.337208468578389,0.0180671678435647,0.247188180417391,0.0558899865065576,0.00585954380943698,0.299059885323671,0.636268353902061,-0.636268353902061
3547,3547,27987,0.0176320359891766,0.223869018492311,0.166824329735531,0.0120960764188705,0.337009295768124,0.0180932963836133,0.247187421782531,0.0558204435280233,0.00594421962905145,0.299135159559207,0.636144455327331,-0.636144455327331
3548,3548,27986,0.0176059793714368,0.223976880798808,0.166947089535107,0.0158050829223568,0.340861487860155,0.0180966162628434,0.247174176491792,0.0558063296986998,0.00591982469855512,0.29909378230254,0.639955270162696,-0.639955270162696
