"rank_index","n_lead","n_rem","lead_mean_abs","lead_sd_dev","lead_skew_abs","lead_distortion","rem_mean_abs","rem_sd_dev","rem_skew_abs","rem_distortion","total_distortion","split_score"
3965,3965,27569,0.0196507758753757,0.219194398187026,0.174342068070837,0.32601620809782,0.017809952888967,0.248242539758019,0.0523451066155156,0.292225045954744,0.618241254052564,-0.618241254052564
3990,3990,27544,0.0203665344789305,0.219790534998099,0.170984807049519,0.325649473001789,0.0177045979150037,0.248180091390697,0.0527800679366637,0.292274723274032,0.617924196275822,-0.617924196275822
4015,4015,27519,0.0209390549513261,0.21940189999315,0.178766164878458,0.329724037383705,0.0176186493663367,0.248265556563187,0.0513310981115898,0.291549754985318,0.621273792369023,-0.621273792369023
4040,4040,27494,0.0199737387374142,0.219340080111696,0.179173734977076,0.328900686337648,0.0177574748324231,0.24830122272216,0.0511720492735641,0.291644722191365,0.620545408529013,-0.620545408529013
4065,4065,27469,0.019730059982868,0.219716433329626,0.178604632940703,0.328748809782846,0.0177915185740812,0.248270179038945,0.0511785961659578,0.291650995696005,0.620399805478851,-0.620399805478851
4090,4090,27444,0.0190264037870109,0.219260357748194,0.172620111954276,0.324596817512343,0.0178946190807798,0.248367036127029,0.0520412573627352,0.292282283889177,0.61687910140152,-0.61687910140152
4115,4115,27419,0.0183335059900946,0.21939620194229,0.169143928515013,0.322301672189891,0.0179975761476551,0.248372818391947,0.05254551437666,0.292643151727932,0.614944823917823,-0.614944823917823
4140,4140,27394,0.016880304661771,0.219346557433479,0.170202743355901,0.3213282337732,0.0182168889626218,0.248407711020903,0.0523118686561994,0.292780534311624,0.614108768084825,-0.614108768084825
4165,4165,27369,0.016726049315251,0.220347449630795,0.17034832714114,0.322247662516616,0.0182415843525074,0.248276756876407,0.0522500998087445,0.292643391133286,0.614891053649902,-0.614891053649902
4190,4190,27344,0.0176958261550308,0.220129281954392,0.165723787835668,0.320687002027257,0.0180943682691711,0.248337252193912,0.0528594386985115,0.292861339812338,0.613548341839595,-0.613548341839595
4215,4215,27319,0.0167854620585368,0.220249903553645,0.16441350147487,0.319242116349617,0.0182351914405748,0.248344420352765,0.0530214760860285,0.293090349836354,0.612332466185971,-0.612332466185971
4240,4240,27294,0.0149469748930508,0.219603831388756,0.16142662932054,0.315264120942077,0.0185221200262057,0.248475741223245,0.053469297751371,0.293732510125136,0.608996631067213,-0.608996631067213
4265,4265,27269,0.0138478317942406,0.219822521696052,0.161083489188219,0.314212098084402,0.0186973088466522,0.248468185773588,0.0534876562416701,0.293909322741075,0.608121420825478,-0.608121420825478
