"dataset_name","feature_id","gene_symbol","stat","lfc_shrunk","pvalue","padj","empirical_p","empirical_q","lfdr","resGA_padj","resLA_padj","deseq2_strong_call","deseq2_weak_call","standard_significant","HBFSS_significant","HBFSS_only_call","overlap_call","hc_p_threshold_dataset","hbfss_threshold_dataset","HBFSS","regulation_direction"
"RT2_ZT8_lead","248551","Mbp",0.348162696404022,0.0711528502645988,0.72771800118772,0.999886969258784,0.612997402850448,0.956793591355251,1,1,0.0545771954924031,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.0151229239543179,"upregulated"
"RT2_ZT8_lead","55601","Bc1",0.664513045679603,0.13556540870555,0.506362002110892,0.999886969258784,0.334352978202389,0.923539225045475,1,1,0.242751800258239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.064501317068236,"upregulated"
"RT2_ZT8_lead","415923","-",-0.123125553454781,-0.025400490372098,0.902007676503163,0.999886969258784,0.858037562291939,0.96874693698414,1,1,0.0764282149140345,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.00168897257738216,"downregulated"
"RT2_ZT8_lead","179269","Lcp1",-0.341289837168612,-0.0701578685973569,0.732885397901353,0.999886969258784,0.620025052430149,0.957262383172337,1,1,0.133493314805946,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.0145641254203819,"downregulated"
"RT2_ZT8_lead","25328","-",0.804552489229576,0.112167610640128,0.421077968202058,0.999886969258784,0.242472998878966,0.897534785987095,1,1,0.571497715932545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.0690208379784077,"upregulated"
"RT2_ZT8_lead","8277","Apoe",1.3824185159731,0.284423678240936,0.166843234050399,0.999886969258784,0.0446079250708353,0.664722918645589,0.913794909042854,1,0.317119059289413,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.384139200324058,"upregulated"
"RT2_ZT8_lead","565080","-",0.354215455179896,0.0516594989599874,0.72317742194793,0.999886969258784,0.60683762412552,0.956374152546631,1,1,0.484654581811763,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.0112063659944628,"upregulated"
"RT2_ZT8_lead","412143","Yipf1",0.196962283074142,0.0398609200383499,0.843857053319772,0.999886969258784,0.774770561287526,0.965503940701707,1,1,0.0296438860968864,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.00441766177606508,"upregulated"
"RT2_ZT8_lead","169957","Nsg1",-1.37217712072599,-0.281743976672575,0.170008306011726,0.999886969258784,0.0462116945842574,0.671070884956702,0.913794909042854,1,0.419851151477554,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.376198111115512,"downregulated"
"RT2_ZT8_lead","175929","Ndrg2",-0.362129913675775,-0.0691560713452387,0.717254950640478,0.999886969258784,0.598825237747276,0.95581622209989,1,1,0.0102167107079984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.0154010504783351,"downregulated"
"RT2_ZT8_lead","470412","-",-0.0851849266052075,-0.0123089703684753,0.932114373846925,0.999886969258784,0.901510127723484,0.970209122917025,1,1,0.410357714818807,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0175320861505617,1.75616640394201,0.00055426542689442,"downregulated"
