"percentile","rank_index","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
0.01,316,21.6231208875508,272.275355583944,24.6682842133863,2.12066950850258,43.1046526857553,3.56827439833259,17.7477841454487,1.52471108902831,31.2900538965766,2.74787788800721,3.35664363070342,1.32887729910944,2.60293256515722,22.5476147048837,39.5363782874227,16.2230730564204,28.5421760085694
0.02,632,13.3647678443058,127.113745232412,16.4184478329723,2.08602687404859,25.7113122650963,3.36641458881576,16.5897923124245,2.20477642036432,21.7075574976937,2.9332671046339,3.0264324548644,1.89940909486417,2.61592438797578,14.3324209589237,22.3448976762805,14.3850158920602,18.7742903930598
0.03,947,11.3728422852515,88.5911903745933,12.9560767281644,2.03044616636288,22.6303582108252,3.23015990103805,16.6000354734891,2.51345820754838,19.9990997926119,3.01040776594279,2.86275986851573,2.11712141174744,2.61400376791739,10.9256305618015,19.4001983097872,14.0865772659407,16.9886920266691
0.04,1263,10.0914763073578,69.2782359521685,11.4811328148971,2.12896878032925,22.1812176534924,3.37206989697764,16.2052275523214,2.92612574116919,19.6332474062986,3.18816125734749,3.02220713432228,2.49008695787084,2.76111303865583,9.35216403456782,18.8091477565148,13.2791018111522,16.4450861489511
0.05,1579,9.34284360397158,61.4167198404553,10.7060019048638,2.11556172116252,21.6117944468901,3.53456935448675,16.441074213264,3.11470000414655,18.9998048789765,3.35677851108294,3.13214229161201,2.64568311233293,2.86527180514768,8.59044018370132,18.0772250924034,13.3263742091175,15.6430263678936
0.06,1895,9.1051615702966,51.7250886257423,10.0950705830693,1.99596425330326,19.8238960536989,3.43142189989665,16.6819032151905,3.24259129064689,18.4089307522309,3.37620492399046,3.01245925631619,2.71724126968354,2.89047427370007,8.09910632976602,16.3924741538022,13.4393119245437,15.0327258282404
0.07,2211,10.2589949621487,50.9167658618793,9.36850443050127,1.96051180923658,16.761080743524,3.05201378415347,15.8636806513236,3.09854866184726,16.4809029827229,3.16709614783611,2.62441110855037,2.64907282211043,2.70431500587771,7.40799262126469,13.7090669593705,12.7651319894764,13.3138068348868
0.08,2526,9.05499780392582,43.1137291193441,9.77944786440202,2.14630756356374,17.6294535724485,3.78243810362351,16.0772775507182,3.41704889201674,17.1530297379927,3.59466712081906,3.2933722245165,2.93859322836183,3.16083854666,7.63314030083828,13.8470154688249,12.6602286587015,13.5583626171736
0.09,2842,8.89421997990206,38.7332526745225,8.39518678728361,1.92788775035592,17.6179577184791,3.3855168142156,15.9853963975801,3.41836501101676,16.4515734488049,3.41559554450981,2.93225721890746,2.95056769070735,2.87871374567992,6.46729903692769,14.2324409042635,12.5670313865633,13.0359779042951
0.1,3158,8.1310838950157,35.9163709311851,9.85442046142271,2.09644317126387,18.0126165466561,4.12474440851755,16.449182478266,3.78633956656466,16.7287042764651,4.06191959231846,3.56181980474096,3.28248012605266,3.58700509989221,7.75797729015884,13.8878721381385,12.6628429117013,12.6667846841466
0.11,3474,9.13085705994164,39.332363173431,8.85004765538303,1.97504126355196,15.4680788829891,3.1993943374758,15.8633367084681,3.39877239583341,15.7558231714206,3.33316602413307,2.73505514382739,2.88553559406955,2.82717712062088,6.87500639183107,12.2686845455133,12.4645643126347,12.4226571472876
0.12,3790,8.89849513148794,32.6711619480344,8.04288452410521,1.85477170977132,15.1610751894681,3.07818527096818,15.6950763956122,3.63253260538801,15.7832636034613,3.31747545121215,2.51213017213167,3.06399544689771,2.70166973490833,6.18811281433389,12.0828899184999,12.0625437902242,12.4657881522491
0.13,4105,8.08832785012939,33.7321760846313,10.7731644050045,2.05608748014489,16.3136820083426,3.57481429674924,15.7714749497682,3.81571760856487,16.7581095440675,3.77759730569085,3.05980209157561,3.27324027583567,3.2065496464286,8.71707692485962,12.7388677115934,11.9557573412033,12.9805122383766
0.14,4421,9.40933442730935,33.1300536771921,9.18488147365572,1.787793682685,15.5191623742027,2.99930161320099,16.1926385826454,3.45559319377926,15.5429666871121,3.26118417252005,2.3816665994199,2.95412648512845,2.74050134557888,7.39708779097072,12.5198607610017,12.7370453888661,12.2817825145921
0.15,4737,9.27813740049021,36.7392693411752,8.58128025347671,1.76383923816742,14.8491218332996,2.87549124582142,15.4883189308675,3.32590807052936,15.0756133218454,3.11182638407481,2.37240807004867,2.82834250318523,2.64499487693882,6.81744101530929,11.9736305874781,12.1624108603381,11.9637869377706
0.16,5053,8.68065752180566,33.4442659077494,8.68260119877087,1.66886817313543,15.2089610654201,2.946111434126,16.2386822563662,3.488780346842,15.6644483958546,3.20718055854369,2.48343556570868,2.99267276627847,2.77245383837022,7.01373302563544,12.2628496312941,12.7499019095242,12.457267837311
0.17,5369,7.54865635390431,28.3180254932115,8.58783824886366,2.97333716087161,18.0225804432719,4.68082257044683,16.1502329040117,4.64150061257407,15.7313153060338,4.59701053413737,4.04243967704533,3.90536013726594,3.84506901947896,5.61450108799205,13.341757872825,11.5087322914377,11.1343047718965
