"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
1,0.0100135403218188,1,318,318,7683,1492467.7,0.01571212001614,194.255850579201,0.0252838540386829,7683,0.000130157490563582,194.230566725162
2,0.0199955915231288,319,635,317,8072,14869151.6,0.0136345743953115,1842.0653617443,0.228204331236906,8072,0.00012388503468781,1841.83715741306
3,0.0300091318449476,636,953,318,6521.6,7323926.8,0.0124706859599956,1123.02606722277,0.172201003928908,6521.6,0.00015333660451423,1122.85386621884
4,0.0399911830462575,954,1270,317,5432,2310359,0.0117139330077169,425.32382179676,0.078299672642997,5432,0.000184094256259205,425.245522124117
5,0.0500047233680763,1271,1588,318,4938.8,1123375.6,0.0111870194039338,227.459220863368,0.046055564279454,4938.8,0.000202478334818174,227.413165299088
6,0.0599867745693863,1589,1905,317,3980.6,653174.4,0.0107329062041444,164.089433753705,0.0412222865280876,3980.6,0.000251218409285032,164.048211467177
7,0.0700003148912051,1906,2223,318,4489.8,837864.7,0.0103464366239326,186.615149895318,0.0415642456000976,4489.8,0.000222727070248118,186.573585649718
8,0.0800138552130239,2224,2541,318,14136.2,102724476.6,0.00995024719339719,7266.76734907542,0.514053801522009,14136.2,7.07403686988017e-05,7266.2532952739
9,0.0899959064143338,2542,2858,317,8961.2,5085371.5,0.00967905515101911,567.487780654377,0.0633272084826113,8961.2,0.000111592197473553,567.424453445894
10,0.100009446736153,2859,3176,318,7609.4,4336746.6,0.0094249505229256,569.919652009357,0.0748967923895914,7609.4,0.000131416406024128,569.844755216967
11,0.109991497937463,3177,3493,317,15059.6,58309874.5,0.00910997200938355,3871.94045658583,0.257107788824792,15059.6,6.6402826104279e-05,3871.68334879701
12,0.120005038259281,3494,3811,318,3678.8,296355.9,0.0089122684960927,80.557763401109,0.0218978371754673,3678.8,0.000271827769924976,80.5358655639336
13,0.129987089460591,3812,4128,317,6750.4,1219636.4,0.00863457027430011,180.676167338232,0.0267652535165667,6750.4,0.000148139369518843,180.649402084715
14,0.14000062978241,4129,4446,318,29835.6,554202302.6,0.00839621156997913,18575.2021946936,0.622585173239137,29835.6,3.35170065291129e-05,18574.5796095203
15,0.150014170104229,4447,4764,318,10357,6079579.4,0.00829000999070102,587.00196968234,0.0566768339946259,10357,9.65530559042194e-05,586.945292848346
16,0.159996221305539,4765,5081,317,11017,4059219.8,0.00806881089660134,368.450558228193,0.0334438193907772,11017,9.0768811836253e-05,368.417114408802
17,0.170009761627358,5082,5399,318,13417,7131351.7,0.00785309613296461,531.516113885369,0.0396151236405582,13417,7.45323097562794e-05,531.476498761729
18,0.179991812828668,5400,5716,317,3740.2,418213.9,0.00772938182135539,111.815918934816,0.0298957058271794,3740.2,0.000267365381530399,111.786023228989
19,0.190005353150487,5717,6034,318,11748.4,7587630,0.00752718911115981,645.843689353444,0.0549729060428181,11748.4,8.51179735112866e-05,645.788716447401
20,0.199987404351796,6035,6351,317,11359.4,3171990.9,0.00735107670508464,279.239299610895,0.0245822226183509,11359.4,8.80328186347871e-05,279.214717388277
21,0.210000944673615,6352,6669,318,10672.6,2105494.5,0.00720290091293271,197.280372167982,0.0184847527470327,10672.6,9.36978805539419e-05,197.261887415234
22,0.220014484995434,6670,6987,318,11184.6,5418433.1,0.00701696121240136,484.454794985963,0.0433144497779056,11184.6,8.94086511810883e-05,484.411480536185
23,0.229996536196744,6988,7304,317,5699.2,1932702.6,0.00694440142989261,339.118227119596,0.0595027770774136,5699.2,0.000175463222908478,339.058724342518
24,0.240010076518563,7305,7622,318,22384.2,52559475.3,0.00679556079310021,2348.06136918005,0.104898158932642,22384.2,4.46743685278009e-05,2347.95647102111
25,0.249992127719873,7623,7939,317,11900.2,2406468.9,0.00662248723724647,202.220878640695,0.0169930655485366,11900.2,8.40322011394766e-05,202.203885575147
26,0.260005668041692,7940,8257,318,7686.2,2077366.3,0.00649044921061037,270.27221513882,0.0351633076343083,7686.2,0.000130103302021805,270.237051831186
27,0.269987719243002,8258,8574,317,8042,1742007.2,0.00638085795253192,216.613678189505,0.0269352994515674,8042,0.000124347177319075,216.586742890054
28,0.28000125956482,8575,8892,318,13683,3095618.1,0.00625718844946627,226.238259153694,0.0165342585071764,13683,7.30833881458744e-05,226.221724895187
29,0.290014799886639,8893,9210,318,14024.4,2606292.1,0.00608571746246008,185.839829154901,0.0132511785997905,14024.4,7.13042982230969e-05,185.826577976302
30,0.299996851087949,9211,9527,317,1503.2,119504.9,0.0059815818114122,79.500332623736,0.0528873953058382,1503.2,0.000665247472059606,79.4474452284302
31,0.310010391409768,9528,9845,318,7386.4,805613.6,0.00596349395597295,109.067150438644,0.0147659415193659,7386.4,0.000135383948879021,109.052384497125
32,0.319992442611078,9846,10162,317,11781,2204187.3,0.00582599422672183,187.09679144385,0.0158812317667303,11781,8.48824378236143e-05,187.080910212084
33,0.330005982932897,10163,10480,318,34004.6,256709115.4,0.00566456686846259,7549.24673132459,0.222006632376931,34004.6,2.94077860054228e-05,7549.02472469221
34,0.339988034134207,10481,10797,317,12882.2,5443220.3,0.00552667332713402,422.538099082455,0.0328001505241694,12882.2,7.76264923693158e-05,422.505298931931
35,0.350001574456025,10798,11115,318,13613.2,1958606.1,0.0054090800280604,143.875510533894,0.0105688236809783,13613.2,7.34581141832927e-05,143.864941710213
36,0.360015114777844,11116,11433,318,14224.6,3828269.4,0.0052883089713272,269.130196982692,0.0189200537788544,14224.6,7.03007465939288e-05,269.111276928913
37,0.369997165979154,11434,11750,317,16213.6,3108383.1,0.00514741806476818,191.714554448118,0.0118243051788694,16213.6,6.1676617160902e-05,191.702730142939
