"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
73,"24864",0,0,0,0,0,0,0,0,-0.0777285773438496,2.81946024023535e-08
74,"25473",0,0,0,0,0,0,0,0,-0.0779917432562657,2.88055867169032e-08
75,"25630",0,0,0,0,0,0,0,0,-0.0782548803630951,2.94165710314529e-08
76,"25853",0,0,0,0,0,0,0,0,-0.0785179880533535,3.00275553460026e-08
77,"26562",0,0,0,0,0,0,0,0,-0.0787810657160566,3.06385396605523e-08
78,"28553",0,0,0,0,0,0,0,0,-0.0790441127402199,3.1249523975102e-08
79,"28759",0,0,0,0,0,0,0,0,-0.0793071285148593,3.18605082896517e-08
80,"29511",0,0,0,0,0,0,0,0,-0.0795701124289905,3.24714926042014e-08
81,"30241",0,0,0,0,0,0,0,0,-0.079833063871629,3.30824769187512e-08
82,"30514",0,0,0,0,0,0,0,0,-0.0800959822317906,3.36934612333009e-08
83,"31054",0,0,0,0,0,0,0,0,-0.0803588668984909,3.43044455478506e-08
84,"31074",0,0,0,0,0,0,0,0,-0.0806217172607457,3.49154298624003e-08
85,"33486",0,0,0,0,0,0,0,0,-0.0808845327075707,3.552641417695e-08
86,"34554",0,0,0,0,0,0,0,0,-0.0811473126279815,3.61373984914997e-08
87,"34738",0,0,0,0,0,0,0,0,-0.0814100564109938,3.67483828060494e-08
88,"35099",0,0,0,0,0,0,0,0,-0.0816727634456233,3.73593671205991e-08
89,"35207",0,0,0,0,0,0,0,0,-0.0819354331208856,3.79703514351488e-08
90,"35342",0,0,0,0,0,0,0,0,-0.0821980648257965,3.85813357496985e-08
91,"35804",0,0,0,0,0,0,0,0,-0.0824606579493717,3.91923200642482e-08
92,"36502",0,0,0,0,0,0,0,0,-0.0827232118806268,3.98033043787979e-08
93,"36945",0,0,0,0,0,0,0,0,-0.0829857260085775,4.04142886933476e-08
94,"37691",0,0,0,0,0,0,0,0,-0.0832481997222396,4.10252730078973e-08
95,"37858",0,0,0,0,0,0,0,0,-0.0835106324106286,4.1636257322447e-08
96,"38593",0,0,0,0,0,0,0,0,-0.0837730234627603,4.22472416369967e-08
97,"38926",0,0,0,0,0,0,0,0,-0.0840353722676504,4.28582259515464e-08
98,"39525",0,0,0,0,0,0,0,0,-0.0842976782143145,4.34692102660961e-08
99,"39747",0,0,0,0,0,0,0,0,-0.0845599406917684,4.40801945806458e-08
100,"39984",0,0,0,0,0,0,0,0,-0.0848221590890276,4.46911788951955e-08
101,"40007",0,0,0,0,0,0,0,0,-0.085084332795108,4.53021632097452e-08
102,"40151",0,0,0,0,0,0,0,0,-0.0853464611990252,4.59131475242949e-08
103,"40563",0,0,0,0,0,0,0,0,-0.0856085436897948,4.65241318388446e-08
104,"40877",0,0,0,0,0,0,0,0,-0.0858705796564326,4.71351161533943e-08
105,"40922",0,0,0,0,0,0,0,0,-0.0861325684879543,4.77461004679441e-08
106,"41242",0,0,0,0,0,0,0,0,-0.0863945095733755,4.83570847824938e-08
107,"41341",0,0,0,0,0,0,0,0,-0.0866564023017118,4.89680690970435e-08
108,"41591",0,0,0,0,0,0,0,0,-0.0869182460619791,4.95790534115932e-08
109,"41750",0,0,0,0,0,0,0,0,-0.087180040243193,5.01900377261429e-08
110,"42016",0,0,0,0,0,0,0,0,-0.0874417842343692,5.08010220406926e-08
111,"42030",0,0,0,0,0,0,0,0,-0.0877034774245233,5.14120063552423e-08
112,"42356",0,0,0,0,0,0,0,0,-0.0879651192026711,5.2022990669792e-08
113,"43888",0,0,0,0,0,0,0,0,-0.0882267089578282,5.26339749843417e-08
114,"44030",0,0,0,0,0,0,0,0,-0.0884882460790103,5.32449592988914e-08
115,"44156",0,0,0,0,0,0,0,0,-0.0887497299552331,5.38559436134411e-08
116,"44165",0,0,0,0,0,0,0,0,-0.0890111599755123,5.44669279279908e-08
117,"44628",0,0,0,0,0,0,0,0,-0.0892725355288636,5.50779122425405e-08
118,"45323",0,0,0,0,0,0,0,0,-0.0895338560043026,5.56888965570902e-08
119,"46126",0,0,0,0,0,0,0,0,-0.0897951207908451,5.62998808716399e-08
120,"46486",0,0,0,0,0,0,0,0,-0.0900563292775067,5.69108651861896e-08
121,"47506",0,0,0,0,0,0,0,0,-0.0903174808533031,5.75218495007393e-08
122,"49550",0,0,0,0,0,0,0,0,-0.09057857490725,5.8132833815289e-08
123,"49779",0,0,0,0,0,0,0,0,-0.0908396108283632,5.87438181298387e-08
124,"49780",0,0,0,0,0,0,0,0,-0.0911005880056581,5.93548024443884e-08
125,"50560",0,0,0,0,0,0,0,0,-0.0913615058281506,5.99657867589381e-08
126,"51131",0,0,0,0,0,0,0,0,-0.0916223636848564,6.05767710734878e-08
127,"51725",0,0,0,0,0,0,0,0,-0.0918831609647911,6.11877553880375e-08
128,"51746",0,0,0,0,0,0,0,0,-0.0921438970569704,6.17987397025872e-08
129,"52285",0,0,0,0,0,0,0,0,-0.09240457135041,6.2409724017137e-08
