"comparison_name","dataset_key","dataset_label","dataset_name","n_features","n_standard","n_hbfss","n_overlap","n_weak_cnh","n_strong_cnh","hc_p_threshold","hbfss_threshold"
"RT0_ZT6","raw_dataset","Raw","RT0_ZT6_raw_dataset",31553,9,61,9,3469,3,0.000532546091058572,3.27364279873213
"RT0_ZT6","leading_edge_dataset","Lead","RT0_ZT6_leading_edge_dataset",6722,3,15,3,2143,1,0.034292401519239,1.4648020998943
"RT0_ZT6","remainder_dataset","Rem","RT0_ZT6_remainder_dataset",24831,48,175,48,2127,2,0.0369015078921782,1.43295588706933
