"feature_id","gene_symbol","lfc_shrunk","empirical_p","padj","HBFSS","hc_pass","weak_cnh_pass","strong_cnh_pass","standard_pass","hbfss_pass","plot_class","overlap_standard_hbfss"
"116561","Abcc5",-0.110305619094279,0.0632404911617075,0.716828900508104,0.132256962982846,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116601","Abcc5",0.0444981835937495,0.175395661228025,0.874343088392816,0.0336397881842505,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116649","Map6d1",0.00730575707109597,0.787900264061137,0.988506521968541,0.000756355926370097,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116651","-",0.0863658676786034,0.16729343692445,0.865902690972399,0.0670649182678705,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116664","LOC120095700",-0.0589056493828449,0.0715089225416021,0.729562219257277,0.0674846543531285,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116674","LOC680329",0.0115921044423725,0.332375852745473,NA,0.00554532120886321,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116680","Mrpl40",-0.0124439066620958,0.495302113732651,0.971946548718598,0.00379700698291379,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116681","Mrpl40",-0.0442329934149963,0.0264384132852664,0.602832164187179,0.0697892517287102,TRUE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116696","LOC100362453",0.000303881413328684,0.99123022171384,0.99862399702381,1.16248776668766e-06,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116697","-",-0.0055476677337758,0.721852205035063,0.983879357036846,0.000785281868388205,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116711","Septin5",0.0104594031336603,0.541623632066072,0.975016090756328,0.00278536410285824,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116717","Septin5",-0.00516309038380407,0.81623689632055,0.988966012443207,0.000455300814777699,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116753","Comt",-0.0567919297777967,0.481941288812167,0.970855798884341,0.0180033748403508,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116814","Dgcr8",-0.0121144273422429,0.331963708564377,NA,0.0058017130364774,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116824","Ranbp1",-0.000839588053159129,0.954420923642527,NA,1.70100944699704e-05,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116825","Ranbp1",0.0918632338178542,0.196399418346209,0.88458226902266,0.0649344273362519,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116834","LOC102555338",0.00103622743198422,0.914319302838907,NA,4.03114350347502e-05,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116877","Ess2",-0.0040407178418866,0.761726170981907,NA,0.000477617386200251,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116878","Ess2",0.0164149470461904,0.481420435943002,0.970855798884341,0.00521134316293209,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116952","Med15",0.00235503547931512,0.852572181914606,NA,0.000163130580053774,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116963","Med15",0.0196015791912527,0.791406648262273,0.988506521968541,0.0019915264387404,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116967","LOC100360584",0.0237006007433777,0.420986568374738,0.959561098239374,0.00890506843413691,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116994","Lrrc74b",-0.00884652604212573,0.518735394101456,NA,0.00252173868206446,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116996","Thap7",-0.00427426965407606,0.842153794434519,0.991744010305825,0.000318897233196857,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"116998","Thap7",-0.0774676157818773,0.314691363073005,0.944826213436144,0.0388976655668879,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"117004","Crkl",0.0349262634265144,0.178601054781506,0.875523644162812,0.0261288958114973,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"117024","Pi4ka",0.0053120952293579,0.620254020116407,NA,0.00110189010311904,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"117085","Pi4ka",-0.0136210928984365,0.294091670873397,NA,0.00723984618267384,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"117094","Tmem191c",0.000848881605970144,0.937939923449458,NA,2.36201119984107e-05,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
"117098","-",0.00914357231275155,0.72014892825743,0.983772191254808,0.00130366933916867,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE
