"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,11,73,3,3,0,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.803093208252781,"first_stable_crossing"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",6213,0.0335276149601091,1.47459733969688,2,8,1,1,0,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.803093208252781,"first_stable_crossing"
"RT0_ZT6","RT0_ZT6_remainder_dataset",25340,0.0382798771872104,1.41702946423381,66,740,3,3,7,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.803093208252781,"first_stable_crossing"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,27,42,0,0,27,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.884378765776622,"first_crossing_fallback"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",3646,0.0340865495789524,1.46741695813343,66,3,0,0,66,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.884378765776622,"first_crossing_fallback"
"RT2_ZT8","RT2_ZT8_remainder_dataset",27888,0.023666142339777,1.62587252775259,43,100,0,0,42,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.884378765776622,"first_crossing_fallback"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,835,1423,23,23,35,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.851601490934361,"first_crossing_fallback"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",4698,0.0219676318468256,1.65821675834075,150,239,11,11,13,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.851601490934361,"first_crossing_fallback"
"RT4_ZT10","RT4_ZT10_remainder_dataset",26960,0.0439040575624545,1.35749534090703,972,1768,38,38,108,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.851601490934361,"first_crossing_fallback"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,88,190,0,0,88,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.855699810006333,"first_crossing_fallback"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",4557,0.095682391886149,1.01916797664609,137,42,0,0,137,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.855699810006333,"first_crossing_fallback"
"RT8_ZT14","RT8_ZT14_remainder_dataset",27023,0.0247335725084379,1.60671314976708,140,284,0,0,124,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.855699810006333,"first_crossing_fallback"
