"comparison","total_features","leading_edge_fixed_k","control_cutoff_anchor_rank","control_reference_rank_5000_from_right","control_terminal_start_rank","control_interval_rank_min","control_interval_rank_max","control_pre_evs_remainder_size","control_pre_evs_leading_edge_size","control_left_n","control_right_n","control_left_median_log_nb2","control_right_median_log_nb2","control_right_left_log_nb2_diff","control_left_median_nb_gap","control_right_median_nb_gap","control_right_left_nb_gap_diff","control_left_median_log_alpha_mu","control_right_median_log_alpha_mu","control_right_left_log_alpha_mu_diff","control_nb_support_threshold","treatment_cutoff_anchor_rank","treatment_reference_rank_5000_from_right","treatment_terminal_start_rank","treatment_interval_rank_min","treatment_interval_rank_max","treatment_pre_evs_remainder_size","treatment_pre_evs_leading_edge_size","treatment_left_n","treatment_right_n","treatment_left_median_log_nb2","treatment_right_median_log_nb2","treatment_right_left_log_nb2_diff","treatment_left_median_nb_gap","treatment_right_median_nb_gap","treatment_right_left_nb_gap_diff","treatment_left_median_log_alpha_mu","treatment_right_median_log_alpha_mu","treatment_right_left_log_alpha_mu_diff","treatment_nb_support_threshold"
"RT0_ZT6",31757,5000,26543,26758,26972,26543,26972,26542,5215,5215,5215,4.0517849478033,3.77045944110636,-0.281325506696946,1.88658077099771,1.75785791755237,-0.128722853445337,2.07944154167984,1.89711998488588,-0.182321556793954,0.359709831909404,26566,26758,27042,26566,27042,26565,5192,5192,5192,3.07731226054641,3.44998754583159,0.372675285285174,1.36310567608852,1.6094379124341,0.246332236345583,1.56003762006205,1.79175946922805,0.231721849166001,0.380592635116351
"RT2_ZT8",31757,5000,26591,26758,27009,26591,27009,26590,5167,5167,5167,2.86220088092947,3.31054301339402,0.448342132464556,1.1239300966524,1.55446588918909,0.430535792536688,1.32175583998232,1.76001077091347,0.438254930931155,0.363709557992685,26490,26758,27155,26490,27155,26489,5268,5268,5268,2.76631910922619,3.78645721150096,1.02013810227477,1.13497993283898,1.94591014905531,0.810930216216329,1.37054600415175,2.11839590153635,0.7478498973846,0.375887191647628
"RT4_ZT10",31757,5000,26389,26758,27050,26389,27050,26388,5369,5369,5369,2.56494935746154,2.94443897916644,0.379489621704904,0.926762031741451,1.28093384546206,0.354171813720613,1.16121448094915,1.47590651980958,0.314692038860427,0.366896212567925,26381,26758,27553,26381,27553,26380,5377,5377,5377,4.92362391710663,4.54329478227,-0.380329134836622,2.22414928070681,2.10076431114866,-0.123384969558155,2.31363492918063,2.18187438879858,-0.131760540382046,0.359822159149165
"RT8_ZT14",31757,5000,26520,26758,26937,26520,26937,26519,5238,5238,5238,3.84374416467485,3.78872478908365,-0.0550193755911992,1.64933583068215,1.84012428245733,0.190788451775179,1.76766191764899,1.98925637334849,0.221594455699495,0.386219542468262,26537,26758,26885,26537,26885,26536,5221,5221,5221,4.01457959375324,3.91999117507732,-0.0945884186759152,1.84582669049833,1.87675268206145,0.0309259915631168,1.97110039788387,2.02320182335696,0.0521014254730878,0.360533740555669
