"Comparison","Analysis","PAS","Gene","Direction","Apeglm_LFC","Std_p","Std_BH","Strong_p","Strong_BH","Weak_p","Weak_BH","EmpP","HBFSS","HCp","Htau","Std","Strong","Weak","HBFSS_sig","Ovlp","Support"
"RT0_ZT6","Original (No EVS)","481724","Kdelr3","upregulated",10.338641898899,1.83129455349761e-13,5.75594191109834e-09,7.30314499896315e-11,2.29545150462411e-06,0.999999999963484,0.999999999963484,5.52891066263328e-14,137.063101983847,0.000532546091058572,3.27364279873213,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT0_ZT6","Original (No EVS)","11310","Prmt1","upregulated",3.03343455827132,1.47188910456303e-12,2.31314732227603e-08,1.29708643429522e-06,0.013589574572111,0.999999351456783,0.999999999963484,4.84945417156268e-13,37.3546448411428,0.000532546091058572,3.27364279873213,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT0_ZT6","Original (No EVS)","165045","Slc4a4","upregulated",9.19505307591501,9.40292326259774e-12,9.85144270222365e-08,3.0250840417598e-09,4.75407082582762e-05,0.999999998487458,0.999999999963484,3.3530955789729e-12,105.509133668174,0.000532546091058572,3.27364279873213,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT0_ZT6","Original (No EVS)","500103","Gpd1","upregulated",1.9386700809064,1.75941825532465e-09,1.38250687957773e-05,0.00197216118972895,1,0.999013919405136,0.999348962222074,7.83920484082046e-10,17.6530024135735,0.000532546091058572,3.27364279873213,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT0_ZT6","Original (No EVS)","268475","-","upregulated",2.9380385516333,1.39468545694702e-07,0.000876727171946037,0.000300297640832392,1,0.999849851179584,0.999999999963484,7.47743849061067e-08,20.9371888574798,0.000532546091058572,3.27364279873213,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT0_ZT6","Original (No EVS)","18017","Dlg2","upregulated",7.51942927915824,1.14960929842182e-05,0.0516190997981374,0.00019637864820267,1,0.999901810675899,NA,7.41666234804761e-06,38.5731043430742,0.000532546091058572,3.27364279873213,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT0_ZT6","Original (No EVS)","115564","Tmem44","downregulated",-2.31945527743475,1.71899926096982e-05,0.0675373322144279,0.00753835840686499,1,0.996230820796568,0.996648492614779,1.12774684597472e-05,11.476173866934,0.000532546091058572,3.27364279873213,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT0_ZT6","Original (No EVS)","309239","Pacsin1","upregulated",2.2955938100994,2.77246931737509e-05,0.0871414831144166,0.00924628145882375,1,0.995376859270588,0.995877677816133,1.85538737975666e-05,10.861752248397,0.000532546091058572,3.27364279873213,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT0_ZT6","Original (No EVS)","116400","-","upregulated",1.50556162628852,3.36114112973406e-05,0.0960400244078829,0.0783099716771953,1,0.960845014161402,0.962216036927958,2.26739320281499e-05,6.99254056345717,0.000532546091058572,3.27364279873213,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT0_ZT6","Original (No EVS)","427784","-","upregulated",6.27553050644417,6.47849122197403e-05,0.142383809690431,0.00103698319207726,1,0.999481508403961,NA,4.49081790019346e-05,27.2839643016483,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","554403","-","upregulated",6.18782876350948,7.12956975197141e-05,0.142383809690431,0.00114486070872049,1,0.99942756964564,NA,4.96175750857031e-05,26.6346702415759,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","172009","Vstm2a","upregulated",6.99565267518756,8.22317086229265e-05,0.142383809690431,0.000918506077683075,1,0.999540746961158,NA,5.7567063564079e-05,29.6603495597868,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","41106","-","upregulated",2.34372813891712,8.48099165830781e-05,0.142383809690431,0.0120756560736701,1,0.993962171963165,0.994574211494258,5.94477624613621e-05,9.90427750950986,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","544013","Myl12a","upregulated",4.24160845936745,8.89564752630168e-05,0.142383809690431,0.00178085910223566,1,0.999109570448882,NA,6.24774164725839e-05,17.8328966233511,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","481721","Kcnj4","upregulated",6.97949142399833,9.06008779169807e-05,0.142383809690431,0.00098592053256965,1,0.999507039733715,NA,6.36805119613726e-05,29.2859003254821,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","500532","Nr4a1","upregulated",1.45776834382788,0.000111038927581485,0.166193549181603,0.10193236003555,1,0.949033819982225,0.9512662779306,7.87040414553797e-05,5.98268560685565,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","346199","Itga6","upregulated",6.56489473189077,0.000160162127347461,0.201362232986321,0.00166263366094594,1,0.999168683169527,NA,0.000115249710689991,25.8549198413408,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","578726","-","upregulated",5.95402894262148,0.00017595652589553,0.212711137131631,0.00223057529077298,1,0.998884712354614,NA,0.000127106281977207,23.195902346926,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","43356","-","upregulated",4.05789159019843,0.000196614099352095,0.220461242132884,0.00326164655450839,1,0.998369176722746,NA,0.000142678936534635,15.6051907682633,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","150983","-","upregulated",2.56401890600169,0.000206462915525682,0.220461242132884,0.0120186241123916,1,0.993990687943804,0.994574211494258,0.000150127494174646,9.80362824347994,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","4123","Rgs17","upregulated",1.44708842339191,0.000210424016543747,0.220461242132884,0.111008354752324,1,0.944495822623838,0.947115452994202,0.000153127371873341,5.52056588731738,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT0_ZT6","Original (No EVS)","468062","Tedc1","upregulated",1.54243719065774,0.000231767118958,0.230192735442446,0.0840475262042827,1,0.957976236897859,0.959423695326815,0.000169329964195164,5.8169412172316,0.000532546091058572,3.27364279873213,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
